ward,precinct,total,John A. Fritchey,John A. Fritchey Percent,precinct_id
1,7,6,6,100.0,01007
1,28,32,32,100.0,01028
32,7,68,68,100.0,32007
32,8,128,128,100.0,32008
32,9,171,171,100.0,32009
32,10,82,82,100.0,32010
32,13,50,50,100.0,32013
32,15,121,121,100.0,32015
32,16,1,1,100.0,32016
32,18,86,86,100.0,32018
32,19,128,128,100.0,32019
32,20,123,123,100.0,32020
32,21,101,101,100.0,32021
32,22,159,159,100.0,32022
32,23,131,131,100.0,32023
32,24,93,93,100.0,32024
32,25,96,96,100.0,32025
32,27,103,103,100.0,32027
32,28,78,78,100.0,32028
32,29,22,22,100.0,32029
32,30,56,56,100.0,32030
32,32,96,96,100.0,32032
32,34,14,14,100.0,32034
32,37,115,115,100.0,32037
32,38,97,97,100.0,32038
32,39,127,127,100.0,32039
32,40,126,126,100.0,32040
32,41,154,154,100.0,32041
32,42,142,142,100.0,32042
32,43,106,106,100.0,32043
32,44,72,72,100.0,32044
32,45,113,113,100.0,32045
32,47,116,116,100.0,32047
32,48,109,109,100.0,32048
32,49,80,80,100.0,32049
32,50,110,110,100.0,32050
33,7,177,177,100.0,33007
33,8,164,164,100.0,33008
33,10,245,245,100.0,33010
33,16,65,65,100.0,33016
33,24,149,149,100.0,33024
33,28,185,185,100.0,33028
40,5,106,106,100.0,40005
40,6,115,115,100.0,40006
40,20,74,74,100.0,40020
43,2,102,102,100.0,43002
43,6,92,92,100.0,43006
43,7,59,59,100.0,43007
43,20,117,117,100.0,43020
43,21,46,46,100.0,43021
43,22,61,61,100.0,43022
43,29,89,89,100.0,43029
43,31,84,84,100.0,43031
43,35,116,116,100.0,43035
43,39,61,61,100.0,43039
43,41,54,54,100.0,43041
43,50,82,82,100.0,43050
43,56,75,75,100.0,43056
43,57,73,73,100.0,43057
44,9,162,162,100.0,44009
44,11,152,152,100.0,44011
44,13,93,93,100.0,44013
44,16,117,117,100.0,44016
44,25,112,112,100.0,44025
44,27,118,118,100.0,44027
44,40,125,125,100.0,44040
44,43,133,133,100.0,44043
44,47,167,167,100.0,44047
47,1,175,175,100.0,47001
47,2,153,153,100.0,47002
47,3,126,126,100.0,47003
47,4,221,221,100.0,47004
47,6,234,234,100.0,47006
47,7,154,154,100.0,47007
47,8,229,229,100.0,47008
47,9,129,129,100.0,47009
47,12,158,158,100.0,47012
47,13,248,248,100.0,47013
47,14,120,120,100.0,47014
47,15,162,162,100.0,47015
47,16,160,160,100.0,47016
47,17,165,165,100.0,47017
47,18,167,167,100.0,47018
47,21,188,188,100.0,47021
47,24,132,132,100.0,47024
47,25,193,193,100.0,47025
47,27,144,144,100.0,47027
47,29,158,158,100.0,47029
47,35,222,222,100.0,47035
47,40,145,145,100.0,47040
47,42,129,129,100.0,47042
47,43,115,115,100.0,47043
47,44,150,150,100.0,47044
47,46,102,102,100.0,47046
47,47,173,173,100.0,47047
47,48,46,46,100.0,47048
47,49,133,133,100.0,47049
47,50,106,106,100.0,47050
47,51,115,115,100.0,47051
