ward,precinct,total,Clare Elizabeth McWilliams,Clare Elizabeth McWilliams Percent,Bonnie Therese Kennedy,Bonnie Therese Kennedy Percent,Peggy Chiampas,Peggy Chiampas Percent,James E. Snyder,James E. Snyder Percent,precinct_id
1,7,6,1,16.67,1,16.67,2,33.33,2,33.33,01007
30,1,89,23,25.84,21,23.6,21,23.6,24,26.97,30001
30,3,43,15,34.88,14,32.56,7,16.28,7,16.28,30003
30,8,7,4,57.14,2,28.57,0,0.0,1,14.29,30008
30,15,98,22,22.45,26,26.53,30,30.61,20,20.41,30015
32,9,77,14,18.18,19,24.68,21,27.27,23,29.87,32009
32,15,14,3,21.43,8,57.14,2,14.29,1,7.14,32015
32,19,41,7,17.07,10,24.39,21,51.22,3,7.32,32019
32,21,81,25,30.86,21,25.93,27,33.33,8,9.88,32021
32,22,124,21,16.94,26,20.97,59,47.58,18,14.52,32022
32,25,74,17,22.97,18,24.32,27,36.49,12,16.22,32025
33,5,51,16,31.37,8,15.69,18,35.29,9,17.65,33005
33,14,102,31,30.39,25,24.51,33,32.35,13,12.75,33014
33,18,55,14,25.45,16,29.09,19,34.55,6,10.91,33018
33,29,107,29,27.1,29,27.1,30,28.04,19,17.76,33029
33,34,85,26,30.59,27,31.76,19,22.35,13,15.29,33034
35,22,43,16,37.21,10,23.26,12,27.91,5,11.63,35022
35,33,46,16,34.78,8,17.39,12,26.09,10,21.74,35033
38,1,137,47,34.31,32,23.36,32,23.36,26,18.98,38001
38,4,48,19,39.58,14,29.17,7,14.58,8,16.67,38004
38,5,180,64,35.56,33,18.33,51,28.33,32,17.78,38005
38,7,123,45,36.59,41,33.33,18,14.63,19,15.45,38007
38,10,40,10,25.0,8,20.0,11,27.5,11,27.5,38010
38,41,175,63,36.0,31,17.71,47,26.86,34,19.43,38041
38,42,143,42,29.37,33,23.08,50,34.97,18,12.59,38042
39,1,138,26,18.84,17,12.32,74,53.62,21,15.22,39001
39,2,201,73,36.32,45,22.39,56,27.86,27,13.43,39002
39,3,155,43,27.74,20,12.9,70,45.16,22,14.19,39003
39,4,100,20,20.0,21,21.0,45,45.0,14,14.0,39004
39,5,84,26,30.95,26,30.95,22,26.19,10,11.9,39005
39,6,131,43,32.82,28,21.37,43,32.82,17,12.98,39006
39,7,113,55,48.67,23,20.35,19,16.81,16,14.16,39007
39,8,168,77,45.83,23,13.69,41,24.4,27,16.07,39008
39,9,192,117,60.94,20,10.42,27,14.06,28,14.58,39009
39,10,121,49,40.5,24,19.83,31,25.62,17,14.05,39010
39,11,197,109,55.33,34,17.26,33,16.75,21,10.66,39011
39,12,78,20,25.64,23,29.49,28,35.9,7,8.97,39012
39,13,71,28,39.44,15,21.13,21,29.58,7,9.86,39013
39,14,110,52,47.27,29,26.36,17,15.45,12,10.91,39014
39,15,113,31,27.43,26,23.01,40,35.4,16,14.16,39015
39,16,66,19,28.79,14,21.21,20,30.3,13,19.7,39016
39,17,86,24,27.91,20,23.26,34,39.53,8,9.3,39017
39,18,126,30,23.81,20,15.87,46,36.51,30,23.81,39018
39,19,98,24,24.49,32,32.65,24,24.49,18,18.37,39019
39,20,123,19,15.45,21,17.07,70,56.91,13,10.57,39020
39,21,86,29,33.72,13,15.12,31,36.05,13,15.12,39021
39,22,101,52,51.49,21,20.79,16,15.84,12,11.88,39022
39,23,80,28,35.0,18,22.5,19,23.75,15,18.75,39023
39,24,106,47,44.34,16,15.09,30,28.3,13,12.26,39024
39,25,117,30,25.64,41,35.04,20,17.09,26,22.22,39025
