ward,precinct,total,Jesse White,Jesse White Percent,precinct_id
27,1,56,56,100.0,27001
27,2,145,145,100.0,27002
27,3,132,132,100.0,27003
27,4,117,117,100.0,27004
27,5,28,28,100.0,27005
27,6,92,92,100.0,27006
27,7,80,80,100.0,27007
27,8,49,49,100.0,27008
27,9,242,242,100.0,27009
27,10,246,246,100.0,27010
27,11,99,99,100.0,27011
27,12,41,41,100.0,27012
27,13,35,35,100.0,27013
27,14,75,75,100.0,27014
27,15,96,96,100.0,27015
27,16,33,33,100.0,27016
27,17,61,61,100.0,27017
27,18,44,44,100.0,27018
27,19,172,172,100.0,27019
27,20,192,192,100.0,27020
27,21,73,73,100.0,27021
27,22,125,125,100.0,27022
27,23,55,55,100.0,27023
27,24,142,142,100.0,27024
27,25,108,108,100.0,27025
27,26,115,115,100.0,27026
27,27,55,55,100.0,27027
27,28,122,122,100.0,27028
27,29,111,111,100.0,27029
27,30,86,86,100.0,27030
27,31,168,168,100.0,27031
27,32,123,123,100.0,27032
27,33,116,116,100.0,27033
27,34,92,92,100.0,27034
27,35,198,198,100.0,27035
27,36,144,144,100.0,27036
27,37,84,84,100.0,27037
27,38,107,107,100.0,27038
27,39,90,90,100.0,27039
27,40,94,94,100.0,27040
27,41,116,116,100.0,27041
27,42,80,80,100.0,27042
27,43,100,100,100.0,27043
27,44,105,105,100.0,27044
27,45,148,148,100.0,27045
27,46,136,136,100.0,27046
27,47,105,105,100.0,27047
27,48,129,129,100.0,27048
27,49,121,121,100.0,27049
27,50,131,131,100.0,27050
27,51,103,103,100.0,27051
27,52,39,39,100.0,27052
27,53,71,71,100.0,27053
27,54,107,107,100.0,27054
27,55,37,37,100.0,27055
27,56,73,73,100.0,27056
27,57,65,65,100.0,27057
27,58,122,122,100.0,27058
27,59,147,147,100.0,27059
27,60,169,169,100.0,27060
27,61,24,24,100.0,27061
27,62,134,134,100.0,27062
27,63,174,174,100.0,27063
27,64,120,120,100.0,27064
27,65,30,30,100.0,27065
27,66,76,76,100.0,27066
