ward,precinct,total,Peggy A. Roth,Peggy A. Roth Percent,precinct_id
43,1,63,63,100.0,43001
43,2,91,91,100.0,43002
43,3,91,91,100.0,43003
43,4,99,99,100.0,43004
43,5,70,70,100.0,43005
43,6,83,83,100.0,43006
43,7,49,49,100.0,43007
43,8,104,104,100.0,43008
43,9,60,60,100.0,43009
43,10,30,30,100.0,43010
43,11,47,47,100.0,43011
43,12,147,147,100.0,43012
43,13,55,55,100.0,43013
43,14,90,90,100.0,43014
43,15,94,94,100.0,43015
43,16,95,95,100.0,43016
43,17,51,51,100.0,43017
43,18,125,125,100.0,43018
43,19,73,73,100.0,43019
43,20,107,107,100.0,43020
43,21,43,43,100.0,43021
43,22,58,58,100.0,43022
43,23,86,86,100.0,43023
43,24,79,79,100.0,43024
43,25,98,98,100.0,43025
43,26,87,87,100.0,43026
43,27,81,81,100.0,43027
43,28,68,68,100.0,43028
43,29,85,85,100.0,43029
43,30,44,44,100.0,43030
43,31,81,81,100.0,43031
43,32,84,84,100.0,43032
43,33,56,56,100.0,43033
43,34,52,52,100.0,43034
43,35,105,105,100.0,43035
43,36,81,81,100.0,43036
43,37,75,75,100.0,43037
43,38,82,82,100.0,43038
43,39,51,51,100.0,43039
43,40,57,57,100.0,43040
43,41,54,54,100.0,43041
43,42,90,90,100.0,43042
43,43,82,82,100.0,43043
43,44,95,95,100.0,43044
43,45,29,29,100.0,43045
43,46,99,99,100.0,43046
43,47,88,88,100.0,43047
43,48,105,105,100.0,43048
43,49,58,58,100.0,43049
43,50,73,73,100.0,43050
43,51,154,154,100.0,43051
43,52,99,99,100.0,43052
43,53,115,115,100.0,43053
43,54,73,73,100.0,43054
43,55,86,86,100.0,43055
43,56,70,70,100.0,43056
43,57,68,68,100.0,43057
43,58,133,133,100.0,43058
43,59,112,112,100.0,43059
43,60,43,43,100.0,43060
43,61,53,53,100.0,43061
43,62,68,68,100.0,43062
43,63,62,62,100.0,43063
43,64,65,65,100.0,43064
43,65,38,38,100.0,43065
43,66,32,32,100.0,43066
43,67,54,54,100.0,43067
