ward,precinct,total,"Theodore """"Ted"""" Thomas","Theodore """"Ted"""" Thomas Percent",precinct_id
15,1,91,91,100.0,15001
15,2,115,115,100.0,15002
15,3,117,117,100.0,15003
15,4,89,89,100.0,15004
15,5,92,92,100.0,15005
15,6,121,121,100.0,15006
15,7,107,107,100.0,15007
15,8,153,153,100.0,15008
15,9,123,123,100.0,15009
15,10,86,86,100.0,15010
15,11,145,145,100.0,15011
15,12,88,88,100.0,15012
15,13,76,76,100.0,15013
15,14,134,134,100.0,15014
15,15,80,80,100.0,15015
15,16,70,70,100.0,15016
15,17,103,103,100.0,15017
15,18,96,96,100.0,15018
15,19,104,104,100.0,15019
15,20,122,122,100.0,15020
15,21,123,123,100.0,15021
15,22,139,139,100.0,15022
15,23,90,90,100.0,15023
15,24,110,110,100.0,15024
15,25,104,104,100.0,15025
15,26,97,97,100.0,15026
15,27,92,92,100.0,15027
15,28,118,118,100.0,15028
15,29,47,47,100.0,15029
15,30,147,147,100.0,15030
15,31,90,90,100.0,15031
15,32,114,114,100.0,15032
15,33,97,97,100.0,15033
15,34,77,77,100.0,15034
15,35,106,106,100.0,15035
15,36,88,88,100.0,15036
15,37,100,100,100.0,15037
15,38,107,107,100.0,15038
15,39,124,124,100.0,15039
15,40,116,116,100.0,15040
15,41,164,164,100.0,15041
15,42,76,76,100.0,15042
15,43,110,110,100.0,15043
15,44,134,134,100.0,15044
15,45,53,53,100.0,15045
15,46,108,108,100.0,15046
15,47,129,129,100.0,15047
15,48,88,88,100.0,15048
15,49,71,71,100.0,15049
15,50,97,97,100.0,15050
15,51,89,89,100.0,15051
15,52,74,74,100.0,15052
