ward,precinct,total,Joseph Berrios,Joseph Berrios Percent,precinct_id
31,1,49,49,100.0,31001
31,2,63,63,100.0,31002
31,3,77,77,100.0,31003
31,4,86,86,100.0,31004
31,5,77,77,100.0,31005
31,6,113,113,100.0,31006
31,7,60,60,100.0,31007
31,8,60,60,100.0,31008
31,9,92,92,100.0,31009
31,10,38,38,100.0,31010
31,11,58,58,100.0,31011
31,12,57,57,100.0,31012
31,13,66,66,100.0,31013
31,14,56,56,100.0,31014
31,15,44,44,100.0,31015
31,16,47,47,100.0,31016
31,17,69,69,100.0,31017
31,18,86,86,100.0,31018
31,19,74,74,100.0,31019
31,20,52,52,100.0,31020
31,21,96,96,100.0,31021
31,22,52,52,100.0,31022
31,23,56,56,100.0,31023
31,24,79,79,100.0,31024
31,25,68,68,100.0,31025
31,26,34,34,100.0,31026
31,27,60,60,100.0,31027
31,28,81,81,100.0,31028
31,29,74,74,100.0,31029
31,30,81,81,100.0,31030
31,31,111,111,100.0,31031
31,32,96,96,100.0,31032
31,33,85,85,100.0,31033
31,34,61,61,100.0,31034
31,35,58,58,100.0,31035
31,36,99,99,100.0,31036
31,37,93,93,100.0,31037
31,38,55,55,100.0,31038
31,39,71,71,100.0,31039
31,40,85,85,100.0,31040
31,41,61,61,100.0,31041
31,42,80,80,100.0,31042
31,43,74,74,100.0,31043
31,44,67,67,100.0,31044
31,45,58,58,100.0,31045
31,46,81,81,100.0,31046
31,47,92,92,100.0,31047
31,48,59,59,100.0,31048
31,49,53,53,100.0,31049
31,50,89,89,100.0,31050
31,51,65,65,100.0,31051
