ward,precinct,total,Donne E. Trotter,Donne E. Trotter Percent,precinct_id
5,4,175,175,100.0,05004
5,12,133,133,100.0,05012
5,20,67,67,100.0,05020
5,50,178,178,100.0,05050
6,1,274,274,100.0,06001
6,2,266,266,100.0,06002
6,3,251,251,100.0,06003
6,8,208,208,100.0,06008
6,9,165,165,100.0,06009
6,10,275,275,100.0,06010
6,13,176,176,100.0,06013
6,14,201,201,100.0,06014
6,16,253,253,100.0,06016
6,17,277,277,100.0,06017
6,21,224,224,100.0,06021
6,22,200,200,100.0,06022
6,23,183,183,100.0,06023
6,24,221,221,100.0,06024
6,25,154,154,100.0,06025
6,26,226,226,100.0,06026
6,27,305,305,100.0,06027
6,28,353,353,100.0,06028
6,29,283,283,100.0,06029
6,31,269,269,100.0,06031
6,34,206,206,100.0,06034
6,35,288,288,100.0,06035
6,37,279,279,100.0,06037
6,38,266,266,100.0,06038
6,39,190,190,100.0,06039
6,41,205,205,100.0,06041
6,43,218,218,100.0,06043
6,44,228,228,100.0,06044
6,45,146,146,100.0,06045
6,46,200,200,100.0,06046
6,47,239,239,100.0,06047
6,50,249,249,100.0,06050
6,51,179,179,100.0,06051
6,52,166,166,100.0,06052
6,53,199,199,100.0,06053
6,54,186,186,100.0,06054
6,55,159,159,100.0,06055
6,56,142,142,100.0,06056
6,57,126,126,100.0,06057
6,58,259,259,100.0,06058
6,59,217,217,100.0,06059
6,60,135,135,100.0,06060
6,62,71,71,100.0,06062
6,63,189,189,100.0,06063
6,64,251,251,100.0,06064
7,1,237,237,100.0,07001
7,2,236,236,100.0,07002
7,4,134,134,100.0,07004
7,5,121,121,100.0,07005
7,6,140,140,100.0,07006
7,7,103,103,100.0,07007
7,12,102,102,100.0,07012
7,13,130,130,100.0,07013
7,19,290,290,100.0,07019
7,21,184,184,100.0,07021
7,24,146,146,100.0,07024
7,25,196,196,100.0,07025
7,26,247,247,100.0,07026
7,27,283,283,100.0,07027
7,29,111,111,100.0,07029
7,30,218,218,100.0,07030
7,31,184,184,100.0,07031
7,33,133,133,100.0,07033
7,34,159,159,100.0,07034
7,36,207,207,100.0,07036
7,37,88,88,100.0,07037
7,38,124,124,100.0,07038
7,41,140,140,100.0,07041
7,42,253,253,100.0,07042
7,43,202,202,100.0,07043
7,46,0,0,0.0,07046
7,47,129,129,100.0,07047
7,49,108,108,100.0,07049
