ward,precinct,total,Edward M. Burke,Edward M. Burke Percent,precinct_id
14,1,121,121,100.0,14001
14,2,113,113,100.0,14002
14,3,172,172,100.0,14003
14,4,92,92,100.0,14004
14,5,184,184,100.0,14005
14,6,128,128,100.0,14006
14,7,130,130,100.0,14007
14,8,90,90,100.0,14008
14,9,154,154,100.0,14009
14,10,135,135,100.0,14010
14,11,127,127,100.0,14011
14,12,104,104,100.0,14012
14,13,149,149,100.0,14013
14,14,86,86,100.0,14014
14,15,218,218,100.0,14015
14,16,131,131,100.0,14016
14,17,174,174,100.0,14017
14,18,108,108,100.0,14018
14,19,216,216,100.0,14019
14,20,118,118,100.0,14020
14,21,149,149,100.0,14021
14,22,135,135,100.0,14022
14,23,113,113,100.0,14023
14,24,119,119,100.0,14024
14,25,161,161,100.0,14025
14,26,89,89,100.0,14026
14,27,87,87,100.0,14027
14,28,132,132,100.0,14028
14,29,171,171,100.0,14029
14,30,115,115,100.0,14030
14,31,171,171,100.0,14031
14,32,100,100,100.0,14032
14,33,128,128,100.0,14033
14,34,127,127,100.0,14034
14,35,76,76,100.0,14035
14,36,180,180,100.0,14036
14,37,108,108,100.0,14037
