ward,precinct,total,Mary Lane Mikva,Mary Lane Mikva Percent,"John R. """"Jack"""" Duffy","John R. """"Jack"""" Duffy Percent",precinct_id
2,1,159,107,67.3,52,32.7,02001
2,7,188,99,52.66,89,47.34,02007
2,8,165,131,79.39,34,20.61,02008
2,11,74,60,81.08,14,18.92,02011
2,12,0,0,0.0,0,0.0,02012
2,18,253,157,62.06,96,37.94,02018
2,20,6,6,100.0,0,0.0,02020
2,21,157,98,62.42,59,37.58,02021
2,22,257,195,75.88,62,24.12,02022
2,26,146,93,63.7,53,36.3,02026
2,35,39,30,76.92,9,23.08,02035
2,37,151,103,68.21,48,31.79,02037
2,40,171,105,61.4,66,38.6,02040
2,43,172,124,72.09,48,27.91,02043
2,49,110,92,83.64,18,16.36,02049
2,54,151,129,85.43,22,14.57,02054
2,55,31,19,61.29,12,38.71,02055
2,58,49,37,75.51,12,24.49,02058
2,59,166,138,83.13,28,16.87,02059
3,3,80,58,72.5,22,27.5,03003
3,6,88,39,44.32,49,55.68,03006
3,28,67,43,64.18,24,35.82,03028
3,54,99,73,73.74,26,26.26,03054
3,61,102,61,59.8,41,40.2,03061
3,63,55,34,61.82,21,38.18,03063
11,14,88,51,57.95,37,42.05,11014
11,27,10,9,90.0,1,10.0,11027
11,36,30,12,40.0,18,60.0,11036
25,14,54,33,61.11,21,38.89,25014
25,16,50,35,70.0,15,30.0,25016
25,18,102,61,59.8,41,40.2,25018
27,5,24,20,83.33,4,16.67,27005
27,6,70,43,61.43,27,38.57,27006
27,9,213,176,82.63,37,17.37,27009
27,12,31,25,80.65,6,19.35,27012
27,13,19,9,47.37,10,52.63,27013
27,14,60,45,75.0,15,25.0,27014
27,16,30,22,73.33,8,26.67,27016
27,20,168,123,73.21,45,26.79,27020
27,21,66,45,68.18,21,31.82,27021
27,28,97,61,62.89,36,37.11,27028
27,37,33,16,48.48,17,51.52,27037
27,39,75,54,72.0,21,28.0,27039
27,42,62,49,79.03,13,20.97,27042
27,43,92,60,65.22,32,34.78,27043
27,50,114,80,70.18,34,29.82,27050
27,51,96,67,69.79,29,30.21,27051
27,52,38,31,81.58,7,18.42,27052
27,65,21,12,57.14,9,42.86,27065
27,66,64,54,84.38,10,15.63,27066
32,7,55,34,61.82,21,38.18,32007
32,8,110,80,72.73,30,27.27,32008
32,10,77,54,70.13,23,29.87,32010
32,13,48,38,79.17,10,20.83,32013
32,18,85,67,78.82,18,21.18,32018
32,20,23,17,73.91,6,26.09,32020
32,23,126,86,68.25,40,31.75,32023
32,27,41,35,85.37,6,14.63,32027
32,32,98,72,73.47,26,26.53,32032
32,37,104,53,50.96,51,49.04,32037
32,38,92,64,69.57,28,30.43,32038
32,39,124,101,81.45,23,18.55,32039
32,43,93,78,83.87,15,16.13,32043
32,44,71,56,78.87,15,21.13,32044
32,46,4,3,75.0,1,25.0,32046
32,47,103,71,68.93,32,31.07,32047
32,48,105,83,79.05,22,20.95,32048
32,49,67,53,79.1,14,20.9,32049
32,50,123,102,82.93,21,17.07,32050
32,51,101,83,82.18,18,17.82,32051
40,3,110,86,78.18,24,21.82,40003
40,4,130,103,79.23,27,20.77,40004
40,7,108,76,70.37,32,29.63,40007
40,11,108,86,79.63,22,20.37,40011
40,16,194,164,84.54,30,15.46,40016
40,22,43,35,81.4,8,18.6,40022
40,23,168,133,79.17,35,20.83,40023
40,33,114,82,71.93,32,28.07,40033
40,40,54,39,72.22,15,27.78,40040
40,41,138,117,84.78,21,15.22,40041
40,42,160,124,77.5,36,22.5,40042
40,43,131,105,80.15,26,19.85,40043
40,45,180,132,73.33,48,26.67,40045
40,46,136,98,72.06,38,27.94,40046
42,1,137,117,85.4,20,14.6,42001
42,2,86,62,72.09,24,27.91,42002
42,3,75,55,73.33,20,26.67,42003
42,4,111,82,73.87,29,26.13,42004
42,5,103,79,76.7,24,23.3,42005
42,6,226,160,70.8,66,29.2,42006
42,7,132,100,75.76,32,24.24,42007
42,8,172,139,80.81,33,19.19,42008
42,9,115,75,65.22,40,34.78,42009
42,10,70,61,87.14,9,12.86,42010
42,11,116,93,80.17,23,19.83,42011
42,12,75,52,69.33,23,30.67,42012
42,13,215,174,80.93,41,19.07,42013
42,14,96,73,76.04,23,23.96,42014
42,15,141,108,76.6,33,23.4,42015
42,16,66,57,86.36,9,13.64,42016
42,17,110,87,79.09,23,20.91,42017
42,19,37,32,86.49,5,13.51,42019
42,20,66,46,69.7,20,30.3,42020
42,22,77,56,72.73,21,27.27,42022
42,23,134,119,88.81,15,11.19,42023
42,24,149,115,77.18,34,22.82,42024
42,25,116,86,74.14,30,25.86,42025
42,26,118,71,60.17,47,39.83,42026
42,27,172,110,63.95,62,36.05,42027
42,28,140,102,72.86,38,27.14,42028
42,29,130,115,88.46,15,11.54,42029
42,30,63,43,68.25,20,31.75,42030
42,31,63,49,77.78,14,22.22,42031
42,32,138,96,69.57,42,30.43,42032
