ward,precinct,total,Michael Volini,Michael Volini Percent,precinct_id
48,1,172,172,100.0,48001
48,2,118,118,100.0,48002
48,3,190,190,100.0,48003
48,4,163,163,100.0,48004
48,5,142,142,100.0,48005
48,6,184,184,100.0,48006
48,7,135,135,100.0,48007
48,8,108,108,100.0,48008
48,9,142,142,100.0,48009
48,10,110,110,100.0,48010
48,11,212,212,100.0,48011
48,12,126,126,100.0,48012
48,13,107,107,100.0,48013
48,14,184,184,100.0,48014
48,15,100,100,100.0,48015
48,16,124,124,100.0,48016
48,17,124,124,100.0,48017
48,18,146,146,100.0,48018
48,19,161,161,100.0,48019
48,20,70,70,100.0,48020
48,21,64,64,100.0,48021
48,22,186,186,100.0,48022
48,23,138,138,100.0,48023
48,24,152,152,100.0,48024
48,25,152,152,100.0,48025
48,26,158,158,100.0,48026
48,27,83,83,100.0,48027
48,28,148,148,100.0,48028
48,29,147,147,100.0,48029
48,30,155,155,100.0,48030
48,31,128,128,100.0,48031
48,32,133,133,100.0,48032
48,33,128,128,100.0,48033
48,34,77,77,100.0,48034
48,35,125,125,100.0,48035
48,36,129,129,100.0,48036
48,37,118,118,100.0,48037
48,38,199,199,100.0,48038
48,39,117,117,100.0,48039
48,40,71,71,100.0,48040
48,41,79,79,100.0,48041
48,42,126,126,100.0,48042
48,43,148,148,100.0,48043
48,44,135,135,100.0,48044
48,45,115,115,100.0,48045
48,46,110,110,100.0,48046
48,47,103,103,100.0,48047
48,48,140,140,100.0,48048
48,49,38,38,100.0,48049
48,50,158,158,100.0,48050
48,51,208,208,100.0,48051
48,52,91,91,100.0,48052
48,53,115,115,100.0,48053
48,54,93,93,100.0,48054
48,55,33,33,100.0,48055
48,56,119,119,100.0,48056
