ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert Dallas,Robert Dallas Percent,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,precinct_id
1,1,76,48,63.16,19,25.0,9,11.84,01001
1,6,97,67,69.07,11,11.34,19,19.59,01006
1,11,17,12,70.59,1,5.88,4,23.53,01011
1,14,45,33,73.33,1,2.22,11,24.44,01014
2,1,195,161,82.56,8,4.1,26,13.33,02001
2,2,9,8,88.89,1,11.11,0,0.0,02002
2,3,120,99,82.5,7,5.83,14,11.67,02003
2,4,157,146,92.99,3,1.91,8,5.1,02004
2,5,99,90,90.91,2,2.02,7,7.07,02005
2,6,89,69,77.53,5,5.62,15,16.85,02006
2,7,259,228,88.03,8,3.09,23,8.88,02007
2,8,213,179,84.04,10,4.69,24,11.27,02008
2,9,135,121,89.63,2,1.48,12,8.89,02009
2,10,56,51,91.07,2,3.57,3,5.36,02010
2,11,108,89,82.41,6,5.56,13,12.04,02011
2,12,99,77,77.78,9,9.09,13,13.13,02012
2,13,152,140,92.11,1,0.66,11,7.24,02013
2,14,3,2,66.67,0,0.0,1,33.33,02014
2,15,38,28,73.68,4,10.53,6,15.79,02015
2,16,117,98,83.76,1,0.85,18,15.38,02016
2,17,157,138,87.9,3,1.91,16,10.19,02017
2,18,322,252,78.26,21,6.52,49,15.22,02018
2,19,110,97,88.18,6,5.45,7,6.36,02019
2,20,8,7,87.5,1,12.5,0,0.0,02020
2,21,253,239,94.47,3,1.19,11,4.35,02021
2,22,316,248,78.48,10,3.16,58,18.35,02022
2,23,134,111,82.84,3,2.24,20,14.93,02023
2,24,121,109,90.08,1,0.83,11,9.09,02024
2,25,97,79,81.44,5,5.15,13,13.4,02025
2,26,208,179,86.06,5,2.4,24,11.54,02026
2,27,144,136,94.44,0,0.0,8,5.56,02027
2,28,44,31,70.45,1,2.27,12,27.27,02028
2,29,77,60,77.92,2,2.6,15,19.48,02029
2,30,124,112,90.32,2,1.61,10,8.06,02030
2,32,104,94,90.38,4,3.85,6,5.77,02032
2,33,122,110,90.16,3,2.46,9,7.38,02033
2,34,242,234,96.69,3,1.24,5,2.07,02034
2,35,50,36,72.0,4,8.0,10,20.0,02035
2,36,96,89,92.71,2,2.08,5,5.21,02036
2,37,177,139,78.53,2,1.13,36,20.34,02037
2,38,199,175,87.94,8,4.02,16,8.04,02038
2,39,162,134,82.72,4,2.47,24,14.81,02039
2,40,225,191,84.89,9,4.0,25,11.11,02040
2,41,111,102,91.89,4,3.6,5,4.5,02041
2,42,60,51,85.0,2,3.33,7,11.67,02042
2,43,244,212,86.89,8,3.28,24,9.84,02043
2,45,146,125,85.62,4,2.74,17,11.64,02045
2,47,190,178,93.68,2,1.05,10,5.26,02047
2,48,119,106,89.08,1,0.84,12,10.08,02048
2,49,137,106,77.37,7,5.11,24,17.52,02049
2,50,111,67,60.36,8,7.21,36,32.43,02050
2,51,158,136,86.08,3,1.9,19,12.03,02051
2,52,165,147,89.09,4,2.42,14,8.48,02052
2,53,80,70,87.5,3,3.75,7,8.75,02053
2,54,188,150,79.79,3,1.6,35,18.62,02054
2,55,36,28,77.78,2,5.56,6,16.67,02055
2,56,183,165,90.16,3,1.64,15,8.2,02056
2,57,105,92,87.62,3,2.86,10,9.52,02057
2,58,68,56,82.35,5,7.35,7,10.29,02058
2,59,196,159,81.12,5,2.55,32,16.33,02059
3,1,155,138,89.03,2,1.29,15,9.68,03001
3,2,295,279,94.58,0,0.0,16,5.42,03002
3,3,128,110,85.94,5,3.91,13,10.16,03003
3,4,64,45,70.31,5,7.81,14,21.88,03004
3,6,100,83,83.0,4,4.0,13,13.0,03006
3,8,35,29,82.86,1,2.86,5,14.29,03008
3,9,145,129,88.97,7,4.83,9,6.21,03009
3,10,99,89,89.9,1,1.01,9,9.09,03010
3,11,98,93,94.9,0,0.0,5,5.1,03011
3,12,203,190,93.6,4,1.97,9,4.43,03012
3,14,93,89,95.7,2,2.15,2,2.15,03014
3,15,180,163,90.56,0,0.0,17,9.44,03015
3,16,340,316,92.94,4,1.18,20,5.88,03016
3,17,132,112,84.85,3,2.27,17,12.88,03017
3,18,128,118,92.19,4,3.13,6,4.69,03018
