ward,precinct,total,Wayne A. Strnad,Wayne A. Strnad Percent,"William """"Willie"""" Delgado","William """"Willie"""" Delgado Percent",precinct_id
26,4,51,8,15.69,43,84.31,26004
26,6,47,5,10.64,42,89.36,26006
26,13,70,18,25.71,52,74.29,26013
26,16,35,5,14.29,30,85.71,26016
26,26,38,6,15.79,32,84.21,26026
26,30,57,5,8.77,52,91.23,26030
26,42,33,1,3.03,32,96.97,26042
26,54,41,7,17.07,34,82.93,26054
26,60,43,8,18.6,35,81.4,26060
26,62,60,7,11.67,53,88.33,26062
29,2,90,23,25.56,67,74.44,29002
29,6,31,12,38.71,19,61.29,29006
29,7,58,23,39.66,35,60.34,29007
29,9,45,12,26.67,33,73.33,29009
29,24,34,7,20.59,27,79.41,29024
29,30,26,4,15.38,22,84.62,29030
29,32,75,29,38.67,46,61.33,29032
29,39,90,29,32.22,61,67.78,29039
29,52,77,23,29.87,54,70.13,29052
29,53,84,18,21.43,66,78.57,29053
29,54,67,20,29.85,47,70.15,29054
30,2,53,14,26.42,39,73.58,30002
30,4,78,12,15.38,66,84.62,30004
30,5,48,3,6.25,45,93.75,30005
30,6,41,8,19.51,33,80.49,30006
30,9,24,6,25.0,18,75.0,30009
30,10,89,23,25.84,66,74.16,30010
30,11,48,14,29.17,34,70.83,30011
30,12,59,14,23.73,45,76.27,30012
30,17,109,40,36.7,69,63.3,30017
30,18,17,0,0.0,17,100.0,30018
30,21,54,21,38.89,33,61.11,30021
30,22,91,10,10.99,81,89.01,30022
30,24,69,10,14.49,59,85.51,30024
30,27,75,10,13.33,65,86.67,30027
30,28,69,13,18.84,56,81.16,30028
30,34,90,19,21.11,71,78.89,30034
30,35,69,24,34.78,45,65.22,30035
30,37,43,13,30.23,30,69.77,30037
30,40,78,10,12.82,68,87.18,30040
30,41,79,7,8.86,72,91.14,30041
31,3,55,13,23.64,42,76.36,31003
31,10,30,2,6.67,28,93.33,31010
31,12,39,5,12.82,34,87.18,31012
31,15,34,11,32.35,23,67.65,31015
31,17,50,6,12.0,44,88.0,31017
31,20,38,21,55.26,17,44.74,31020
31,21,64,12,18.75,52,81.25,31021
31,23,49,16,32.65,33,67.35,31023
31,24,49,8,16.33,41,83.67,31024
31,25,57,11,19.3,46,80.7,31025
31,27,54,9,16.67,45,83.33,31027
31,29,48,21,43.75,27,56.25,31029
31,34,43,5,11.63,38,88.37,31034
31,35,44,10,22.73,34,77.27,31035
31,36,70,11,15.71,59,84.29,31036
31,37,77,9,11.69,68,88.31,31037
31,39,59,1,1.69,58,98.31,31039
31,40,56,10,17.86,46,82.14,31040
31,42,62,14,22.58,48,77.42,31042
31,43,56,15,26.79,41,73.21,31043
31,44,40,5,12.5,35,87.5,31044
31,45,47,20,42.55,27,57.45,31045
31,51,51,6,11.76,45,88.24,31051
35,2,58,15,25.86,43,74.14,35002
35,23,74,10,13.51,64,86.49,35023
35,35,79,18,22.78,61,77.22,35035
36,1,83,21,25.3,62,74.7,36001
36,3,93,37,39.78,56,60.22,36003
36,4,41,11,26.83,30,73.17,36004
36,6,12,5,41.67,7,58.33,36006
36,36,85,36,42.35,49,57.65,36036
36,41,54,19,35.19,35,64.81,36041
36,51,149,38,25.5,111,74.5,36051
36,53,29,12,41.38,17,58.62,36053
37,1,58,4,6.9,54,93.1,37001
37,2,97,28,28.87,69,71.13,37002
37,11,40,16,40.0,24,60.0,37011
37,39,37,15,40.54,22,59.46,37039
37,42,22,2,9.09,20,90.91,37042
37,47,16,4,25.0,12,75.0,37047
37,50,78,15,19.23,63,80.77,37050
37,52,63,20,31.75,43,68.25,37052
38,16,105,31,29.52,74,70.48,38016
38,53,3,1,33.33,2,66.67,38053
