ward,precinct,total,Timothy Patrick Murphy,Timothy Patrick Murphy Percent,John Noonan Farrell,John Noonan Farrell Percent,Lisa R. Curcio,Lisa R. Curcio Percent,Mary Lou Ryan Norwell,Mary Lou Ryan Norwell Percent,Mary Beth Duffy,Mary Beth Duffy Percent,Edwin Jon Belz,Edwin Jon Belz Percent,Susan Patricia Malone,Susan Patricia Malone Percent,Terrence J. McConville,Terrence J. McConville Percent,precinct_id
1,1,119,32,26.89,6,5.04,22,18.49,3,2.52,12,10.08,13,10.92,27,22.69,4,3.36,01001
1,2,131,17,12.98,5,3.82,50,38.17,3,2.29,18,13.74,7,5.34,20,15.27,11,8.4,01002
1,3,79,15,18.99,2,2.53,28,35.44,7,8.86,7,8.86,5,6.33,11,13.92,4,5.06,01003
1,4,116,23,19.83,3,2.59,41,35.34,4,3.45,17,14.66,6,5.17,19,16.38,3,2.59,01004
1,5,95,18,18.95,3,3.16,28,29.47,6,6.32,11,11.58,7,7.37,20,21.05,2,2.11,01005
1,6,96,20,20.83,3,3.13,29,30.21,9,9.38,9,9.38,4,4.17,18,18.75,4,4.17,01006
1,7,127,27,21.26,4,3.15,43,33.86,6,4.72,18,14.17,7,5.51,19,14.96,3,2.36,01007
1,8,118,24,20.34,5,4.24,45,38.14,10,8.47,11,9.32,2,1.69,18,15.25,3,2.54,01008
1,9,130,16,12.31,8,6.15,47,36.15,4,3.08,19,14.62,7,5.38,23,17.69,6,4.62,01009
1,10,75,14,18.67,7,9.33,20,26.67,4,5.33,9,12.0,2,2.67,16,21.33,3,4.0,01010
1,11,109,23,21.1,5,4.59,30,27.52,3,2.75,9,8.26,15,13.76,22,20.18,2,1.83,01011
1,12,103,19,18.45,2,1.94,44,42.72,0,0.0,7,6.8,12,11.65,15,14.56,4,3.88,01012
1,13,127,41,32.28,2,1.57,35,27.56,5,3.94,16,12.6,3,2.36,23,18.11,2,1.57,01013
1,14,155,27,17.42,6,3.87,60,38.71,8,5.16,12,7.74,6,3.87,34,21.94,2,1.29,01014
1,15,76,19,25.0,1,1.32,23,30.26,2,2.63,7,9.21,4,5.26,18,23.68,2,2.63,01015
1,16,84,28,33.33,4,4.76,24,28.57,7,8.33,3,3.57,3,3.57,12,14.29,3,3.57,01016
1,17,108,27,25.0,5,4.63,36,33.33,2,1.85,8,7.41,5,4.63,18,16.67,7,6.48,01017
1,18,101,14,13.86,3,2.97,35,34.65,10,9.9,8,7.92,4,3.96,25,24.75,2,1.98,01018
1,19,134,22,16.42,3,2.24,44,32.84,4,2.99,16,11.94,8,5.97,33,24.63,4,2.99,01019
1,20,113,31,27.43,4,3.54,33,29.2,11,9.73,8,7.08,2,1.77,19,16.81,5,4.42,01020
1,21,121,25,20.66,6,4.96,46,38.02,7,5.79,13,10.74,4,3.31,18,14.88,2,1.65,01021
1,22,107,22,20.56,5,4.67,45,42.06,7,6.54,9,8.41,3,2.8,15,14.02,1,0.93,01022
1,23,117,22,18.8,6,5.13,37,31.62,5,4.27,11,9.4,7,5.98,29,24.79,0,0.0,01023
1,24,198,47,23.74,10,5.05,49,24.75,12,6.06,20,10.1,9,4.55,46,23.23,5,2.53,01024
1,25,92,18,19.57,3,3.26,40,43.48,4,4.35,7,7.61,2,2.17,17,18.48,1,1.09,01025
1,26,103,33,32.04,3,2.91,35,33.98,2,1.94,7,6.8,11,10.68,10,9.71,2,1.94,01026
1,27,99,14,14.14,6,6.06,38,38.38,8,8.08,7,7.07,7,7.07,15,15.15,4,4.04,01027
1,28,137,25,18.25,6,4.38,45,32.85,16,11.68,17,12.41,6,4.38,17,12.41,5,3.65,01028
1,29,93,15,16.13,3,3.23,29,31.18,5,5.38,11,11.83,7,7.53,21,22.58,2,2.15,01029
1,30,176,36,20.45,8,4.55,63,35.8,14,7.95,13,7.39,7,3.98,31,17.61,4,2.27,01030
1,31,50,10,20.0,1,2.0,15,30.0,5,10.0,7,14.0,2,4.0,8,16.0,2,4.0,01031
1,32,81,18,22.22,8,9.88,22,27.16,5,6.17,9,11.11,3,3.7,11,13.58,5,6.17,01032
1,33,117,30,25.64,2,1.71,39,33.33,8,6.84,6,5.13,6,5.13,23,19.66,3,2.56,01033
1,34,68,9,13.24,6,8.82,23,33.82,5,7.35,6,8.82,3,4.41,10,14.71,6,8.82,01034
1,35,51,12,23.53,6,11.76,18,35.29,1,1.96,3,5.88,3,5.88,7,13.73,1,1.96,01035
1,36,102,22,21.57,3,2.94,27,26.47,4,3.92,10,9.8,5,4.9,28,27.45,3,2.94,01036
1,37,111,28,25.23,6,5.41,34,30.63,5,4.5,16,14.41,3,2.7,18,16.22,1,0.9,01037
1,38,66,15,22.73,2,3.03,24,36.36,6,9.09,6,9.09,2,3.03,11,16.67,0,0.0,01038
1,39,158,38,24.05,9,5.7,45,28.48,10,6.33,12,7.59,9,5.7,27,17.09,8,5.06,01039
1,40,49,11,22.45,0,0.0,14,28.57,3,6.12,6,12.24,1,2.04,13,26.53,1,2.04,01040
2,1,154,39,25.32,6,3.9,38,24.68,10,6.49,19,12.34,9,5.84,26,16.88,7,4.55,02001
2,2,8,4,50.0,1,12.5,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,02002
2,3,89,29,32.58,9,10.11,12,13.48,8,8.99,12,13.48,6,6.74,10,11.24,3,3.37,02003
2,4,99,43,43.43,3,3.03,12,12.12,8,8.08,11,11.11,1,1.01,19,19.19,2,2.02,02004
2,5,72,22,30.56,4,5.56,3,4.17,6,8.33,13,18.06,2,2.78,17,23.61,5,6.94,02005
2,6,66,17,25.76,2,3.03,19,28.79,2,3.03,5,7.58,1,1.52,18,27.27,2,3.03,02006
2,7,201,62,30.85,5,2.49,25,12.44,21,10.45,23,11.44,8,3.98,48,23.88,9,4.48,02007
2,8,164,31,18.9,2,1.22,44,26.83,7,4.27,18,10.98,10,6.1,44,26.83,8,4.88,02008
2,9,110,42,38.18,8,7.27,6,5.45,16,14.55,16,14.55,1,0.91,17,15.45,4,3.64,02009
2,10,39,12,30.77,1,2.56,7,17.95,3,7.69,6,15.38,2,5.13,4,10.26,4,10.26,02010
2,11,82,12,14.63,2,2.44,30,36.59,4,4.88,2,2.44,8,9.76,19,23.17,5,6.1,02011
2,12,68,16,23.53,4,5.88,15,22.06,3,4.41,5,7.35,4,5.88,18,26.47,3,4.41,02012
2,13,112,21,18.75,6,5.36,33,29.46,3,2.68,13,11.61,6,5.36,26,23.21,4,3.57,02013
2,14,246,76,30.89,14,5.69,35,14.23,16,6.5,24,9.76,10,4.07,56,22.76,15,6.1,02014
