ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Anthony W. Williams,Anthony W. Williams Percent,Everett Drayden Shumpert,Everett Drayden Shumpert Percent,Melvin (Mel) J. Reynolds,Melvin (Mel) J. Reynolds Percent,precinct_id
5,1,211,194,91.94,9,4.27,1,0.47,7,3.32,05001
5,4,188,177,94.15,5,2.66,0,0.0,6,3.19,05004
5,6,259,246,94.98,5,1.93,2,0.77,6,2.32,05006
5,7,274,248,90.51,10,3.65,0,0.0,16,5.84,05007
5,11,284,269,94.72,6,2.11,1,0.35,8,2.82,05011
5,14,342,313,91.52,11,3.22,2,0.58,16,4.68,05014
5,21,273,257,94.14,5,1.83,1,0.37,10,3.66,05021
5,24,208,196,94.23,4,1.92,0,0.0,8,3.85,05024
5,26,242,229,94.63,5,2.07,0,0.0,8,3.31,05026
5,28,250,239,95.6,2,0.8,0,0.0,9,3.6,05028
5,29,265,248,93.58,8,3.02,0,0.0,9,3.4,05029
5,31,207,191,92.27,7,3.38,1,0.48,8,3.86,05031
5,32,335,319,95.22,9,2.69,1,0.3,6,1.79,05032
5,34,232,213,91.81,6,2.59,2,0.86,11,4.74,05034
5,36,142,133,93.66,3,2.11,1,0.7,5,3.52,05036
5,37,200,179,89.5,13,6.5,1,0.5,7,3.5,05037
5,38,264,240,90.91,10,3.79,2,0.76,12,4.55,05038
5,40,245,234,95.51,8,3.27,0,0.0,3,1.22,05040
5,42,269,254,94.42,6,2.23,1,0.37,8,2.97,05042
5,43,289,277,95.85,5,1.73,0,0.0,7,2.42,05043
5,44,276,267,96.74,3,1.09,1,0.36,5,1.81,05044
5,46,276,240,86.96,14,5.07,7,2.54,15,5.43,05046
5,47,169,154,91.12,6,3.55,0,0.0,9,5.33,05047
5,49,53,49,92.45,4,7.55,0,0.0,0,0.0,05049
5,54,353,322,91.22,10,2.83,1,0.28,20,5.67,05054
6,21,257,248,96.5,4,1.56,0,0.0,5,1.95,06021
6,22,225,212,94.22,4,1.78,1,0.44,8,3.56,06022
6,64,300,278,92.67,6,2.0,1,0.33,15,5.0,06064
7,1,276,257,93.12,5,1.81,0,0.0,14,5.07,07001
7,2,275,258,93.82,1,0.36,0,0.0,16,5.82,07002
7,3,162,150,92.59,1,0.62,2,1.23,9,5.56,07003
7,4,168,153,91.07,8,4.76,0,0.0,7,4.17,07004
7,5,157,128,81.53,10,6.37,2,1.27,17,10.83,07005
7,6,172,158,91.86,3,1.74,2,1.16,9,5.23,07006
7,7,138,119,86.23,8,5.8,1,0.72,10,7.25,07007
7,8,61,54,88.52,2,3.28,0,0.0,5,8.2,07008
7,9,215,202,93.95,5,2.33,0,0.0,8,3.72,07009
7,10,147,136,92.52,3,2.04,2,1.36,6,4.08,07010
7,11,223,209,93.72,3,1.35,0,0.0,11,4.93,07011
7,12,160,148,92.5,4,2.5,0,0.0,8,5.0,07012
7,13,162,152,93.83,2,1.23,0,0.0,8,4.94,07013
7,14,252,221,87.7,9,3.57,1,0.4,21,8.33,07014
7,15,127,113,88.98,4,3.15,0,0.0,10,7.87,07015
7,16,168,155,92.26,3,1.79,0,0.0,10,5.95,07016
7,17,134,121,90.3,5,3.73,1,0.75,7,5.22,07017
7,18,132,117,88.64,6,4.55,1,0.76,8,6.06,07018
7,19,341,317,92.96,3,0.88,4,1.17,17,4.99,07019
7,20,91,85,93.41,4,4.4,0,0.0,2,2.2,07020
7,21,211,190,90.05,7,3.32,2,0.95,12,5.69,07021
7,22,158,146,92.41,2,1.27,2,1.27,8,5.06,07022
7,23,151,143,94.7,1,0.66,0,0.0,7,4.64,07023
7,24,188,174,92.55,8,4.26,0,0.0,6,3.19,07024
7,25,237,219,92.41,5,2.11,0,0.0,13,5.49,07025
7,26,289,274,94.81,3,1.04,1,0.35,11,3.81,07026
7,27,319,291,91.22,8,2.51,2,0.63,18,5.64,07027
