ward,precinct,total,Deborah L. Graham,Deborah L. Graham Percent,precinct_id
28,64,67,67,100.0,28064
28,67,61,61,100.0,28067
28,71,90,90,100.0,28071
29,4,160,160,100.0,29004
29,5,154,154,100.0,29005
29,8,116,116,100.0,29008
29,11,229,229,100.0,29011
29,13,154,154,100.0,29013
29,18,290,290,100.0,29018
29,23,174,174,100.0,29023
29,29,160,160,100.0,29029
29,33,147,147,100.0,29033
29,35,133,133,100.0,29035
29,37,164,164,100.0,29037
29,40,304,304,100.0,29040
29,41,210,210,100.0,29041
29,43,250,250,100.0,29043
29,44,175,175,100.0,29044
29,45,141,141,100.0,29045
29,46,135,135,100.0,29046
29,47,246,246,100.0,29047
29,50,179,179,100.0,29050
29,51,144,144,100.0,29051
36,2,94,94,100.0,36002
36,16,204,204,100.0,36016
36,22,144,144,100.0,36022
36,23,65,65,100.0,36023
36,24,132,132,100.0,36024
36,33,119,119,100.0,36033
36,44,144,144,100.0,36044
36,45,111,111,100.0,36045
36,54,189,189,100.0,36054
36,55,169,169,100.0,36055
37,5,137,137,100.0,37005
37,6,145,145,100.0,37006
37,7,102,102,100.0,37007
37,9,141,141,100.0,37009
37,18,125,125,100.0,37018
37,23,121,121,100.0,37023
37,29,140,140,100.0,37029
37,32,127,127,100.0,37032
37,35,70,70,100.0,37035
37,36,111,111,100.0,37036
37,37,120,120,100.0,37037
37,38,141,141,100.0,37038
37,45,78,78,100.0,37045
37,46,134,134,100.0,37046
37,53,118,118,100.0,37053
