ward,precinct,total,Richard T. Bradley,Richard T. Bradley Percent,precinct_id
1,7,73,73,100.0,01007
1,16,61,61,100.0,01016
1,19,98,98,100.0,01019
1,28,72,72,100.0,01028
1,39,23,23,100.0,01039
30,1,107,107,100.0,30001
30,3,128,128,100.0,30003
30,7,67,67,100.0,30007
30,8,100,100,100.0,30008
30,13,51,51,100.0,30013
30,14,21,21,100.0,30014
30,15,111,111,100.0,30015
30,16,52,52,100.0,30016
30,30,84,84,100.0,30030
30,38,128,128,100.0,30038
30,39,78,78,100.0,30039
31,8,48,48,100.0,31008
31,26,24,24,100.0,31026
33,1,129,129,100.0,33001
33,2,212,212,100.0,33002
33,3,112,112,100.0,33003
33,4,129,129,100.0,33004
33,5,52,52,100.0,33005
33,6,169,169,100.0,33006
33,9,80,80,100.0,33009
33,11,136,136,100.0,33011
33,12,164,164,100.0,33012
33,13,216,216,100.0,33013
33,14,112,112,100.0,33014
33,15,79,79,100.0,33015
33,17,141,141,100.0,33017
33,18,2,2,100.0,33018
33,19,146,146,100.0,33019
33,20,92,92,100.0,33020
33,21,167,167,100.0,33021
33,22,218,218,100.0,33022
33,23,183,183,100.0,33023
33,25,183,183,100.0,33025
33,26,101,101,100.0,33026
33,27,73,73,100.0,33027
33,29,125,125,100.0,33029
33,30,88,88,100.0,33030
33,31,141,141,100.0,33031
33,32,134,134,100.0,33032
33,33,91,91,100.0,33033
33,34,97,97,100.0,33034
35,1,4,4,100.0,35001
35,4,140,140,100.0,35004
35,22,52,52,100.0,35022
35,24,0,0,0.0,35024
35,26,136,136,100.0,35026
35,33,76,76,100.0,35033
38,10,18,18,100.0,38010
38,24,46,46,100.0,38024
38,34,62,62,100.0,38034
39,12,44,44,100.0,39012
39,13,76,76,100.0,39013
39,22,80,80,100.0,39022
39,23,92,92,100.0,39023
39,24,103,103,100.0,39024
39,27,120,120,100.0,39027
39,28,122,122,100.0,39028
39,29,129,129,100.0,39029
39,30,68,68,100.0,39030
39,31,64,64,100.0,39031
39,44,126,126,100.0,39044
39,46,78,78,100.0,39046
