ward,precinct,total,"Maria Antonia """"Toni"""" Berrios","Maria Antonia """"Toni"""" Berrios Percent","Pedro De Jesus, Jr.","Pedro De Jesus, Jr. Percent",precinct_id
1,7,41,24,58.54,17,41.46,01007
1,9,164,127,77.44,37,22.56,01009
1,13,153,113,73.86,40,26.14,01013
1,19,9,6,66.67,3,33.33,01019
1,20,169,90,53.25,79,46.75,01020
1,24,232,140,60.34,92,39.66,01024
1,29,123,91,73.98,32,26.02,01029
1,30,213,162,76.06,51,23.94,01030
1,31,29,19,65.52,10,34.48,01031
1,34,86,61,70.93,25,29.07,01034
1,38,74,49,66.22,25,33.78,01038
1,39,153,115,75.16,38,24.84,01039
26,8,76,49,64.47,27,35.53,26008
26,19,138,77,55.8,61,44.2,26019
26,34,83,45,54.22,38,45.78,26034
26,51,88,66,75.0,22,25.0,26051
30,9,132,115,87.12,17,12.88,30009
30,19,71,55,77.46,16,22.54,30019
30,25,76,65,85.53,11,14.47,30025
30,36,108,77,71.3,31,28.7,30036
31,1,52,44,84.62,8,15.38,31001
31,2,70,58,82.86,12,17.14,31002
31,4,108,89,82.41,19,17.59,31004
31,5,89,65,73.03,24,26.97,31005
31,6,131,100,76.34,31,23.66,31006
31,7,74,38,51.35,36,48.65,31007
31,9,104,88,84.62,16,15.38,31009
31,11,70,55,78.57,15,21.43,31011
31,13,84,51,60.71,33,39.29,31013
31,14,78,57,73.08,21,26.92,31014
31,16,54,46,85.19,8,14.81,31016
31,18,104,87,83.65,17,16.35,31018
31,19,87,79,90.8,8,9.2,31019
31,22,67,51,76.12,16,23.88,31022
31,28,94,68,72.34,26,27.66,31028
31,30,88,74,84.09,14,15.91,31030
31,31,132,87,65.91,45,34.09,31031
31,32,118,104,88.14,14,11.86,31032
31,33,99,80,80.81,19,19.19,31033
31,38,63,47,74.6,16,25.4,31038
31,41,73,57,78.08,16,21.92,31041
31,46,97,84,86.6,13,13.4,31046
31,47,114,81,71.05,33,28.95,31047
31,48,67,44,65.67,23,34.33,31048
31,49,56,48,85.71,8,14.29,31049
31,50,106,81,76.42,25,23.58,31050
32,14,129,99,76.74,30,23.26,32014
32,16,133,106,79.7,27,20.3,32016
35,1,158,111,70.25,47,29.75,35001
35,3,88,63,71.59,25,28.41,35003
35,5,159,105,66.04,54,33.96,35005
35,6,119,66,55.46,53,44.54,35006
35,7,178,94,52.81,84,47.19,35007
35,8,163,98,60.12,65,39.88,35008
35,9,144,95,65.97,49,34.03,35009
35,10,138,96,69.57,42,30.43,35010
35,11,137,95,69.34,42,30.66,35011
35,12,197,117,59.39,80,40.61,35012
35,13,86,70,81.4,16,18.6,35013
35,14,137,95,69.34,42,30.66,35014
35,15,132,88,66.67,44,33.33,35015
35,16,147,89,60.54,58,39.46,35016
35,17,155,96,61.94,59,38.06,35017
35,18,180,111,61.67,69,38.33,35018
35,19,132,59,44.7,73,55.3,35019
35,20,123,84,68.29,39,31.71,35020
35,21,162,122,75.31,40,24.69,35021
35,24,62,57,91.94,5,8.06,35024
35,25,151,82,54.3,69,45.7,35025
35,27,209,100,47.85,109,52.15,35027
35,28,169,94,55.62,75,44.38,35028
35,29,183,104,56.83,79,43.17,35029
35,30,221,109,49.32,112,50.68,35030
35,31,178,113,63.48,65,36.52,35031
35,33,39,29,74.36,10,25.64,35033
35,34,162,83,51.23,79,48.77,35034
38,53,14,11,78.57,3,21.43,38053
