ward,precinct,total,Ricardo Munoz,Ricardo Munoz Percent,precinct_id
22,1,66,66,100.0,22001
22,2,62,62,100.0,22002
22,3,62,62,100.0,22003
22,4,84,84,100.0,22004
22,5,113,113,100.0,22005
22,6,97,97,100.0,22006
22,7,153,153,100.0,22007
22,8,67,67,100.0,22008
22,9,107,107,100.0,22009
22,10,85,85,100.0,22010
22,11,86,86,100.0,22011
22,12,75,75,100.0,22012
22,13,100,100,100.0,22013
22,14,72,72,100.0,22014
22,15,105,105,100.0,22015
22,16,89,89,100.0,22016
22,17,77,77,100.0,22017
22,18,84,84,100.0,22018
22,19,122,122,100.0,22019
22,20,102,102,100.0,22020
22,21,177,177,100.0,22021
22,22,55,55,100.0,22022
22,23,57,57,100.0,22023
22,24,78,78,100.0,22024
22,25,61,61,100.0,22025
22,26,70,70,100.0,22026
22,27,85,85,100.0,22027
22,28,59,59,100.0,22028
22,29,54,54,100.0,22029
22,30,90,90,100.0,22030
