ward,precinct,total,Marcellus Barnes (Dean),Marcellus Barnes (Dean) Percent,"Chester Wilson, Jr. (Edwards)","Chester Wilson, Jr. (Edwards) Percent",Gilbert Delgado (Kerry),Gilbert Delgado (Kerry) Percent,Calvin Jordan (Braun),Calvin Jordan (Braun) Percent,precinct_id
5,1,164,21,12.8,11,6.71,89,54.27,43,26.22,05001
5,4,146,18,12.33,12,8.22,59,40.41,57,39.04,05004
5,6,203,24,11.82,18,8.87,90,44.33,71,34.98,05006
5,7,204,33,16.18,23,11.27,93,45.59,55,26.96,05007
5,11,211,28,13.27,16,7.58,141,66.82,26,12.32,05011
5,14,278,35,12.59,22,7.91,170,61.15,51,18.35,05014
5,21,218,39,17.89,28,12.84,87,39.91,64,29.36,05021
5,24,170,16,9.41,12,7.06,112,65.88,30,17.65,05024
5,26,167,34,20.36,13,7.78,71,42.51,49,29.34,05026
5,28,196,28,14.29,22,11.22,100,51.02,46,23.47,05028
5,29,211,28,13.27,19,9.0,109,51.66,55,26.07,05029
5,31,161,27,16.77,17,10.56,68,42.24,49,30.43,05031
5,32,256,33,12.89,21,8.2,139,54.3,63,24.61,05032
5,34,182,25,13.74,25,13.74,78,42.86,54,29.67,05034
5,36,123,21,17.07,17,13.82,50,40.65,35,28.46,05036
5,37,162,19,11.73,13,8.02,108,66.67,22,13.58,05037
5,38,205,16,7.8,24,11.71,147,71.71,18,8.78,05038
5,40,202,34,16.83,16,7.92,94,46.53,58,28.71,05040
5,42,184,29,15.76,23,12.5,83,45.11,49,26.63,05042
5,43,236,25,10.59,25,10.59,129,54.66,57,24.15,05043
5,44,220,37,16.82,26,11.82,100,45.45,57,25.91,05044
5,46,234,27,11.54,18,7.69,161,68.8,28,11.97,05046
5,47,142,17,11.97,10,7.04,74,52.11,41,28.87,05047
5,49,39,9,23.08,6,15.38,15,38.46,9,23.08,05049
5,54,277,35,12.64,27,9.75,137,49.46,78,28.16,05054
6,21,186,16,8.6,19,10.22,86,46.24,65,34.95,06021
6,22,184,30,16.3,28,15.22,79,42.93,47,25.54,06022
6,64,237,36,15.19,23,9.7,109,45.99,69,29.11,06064
7,1,231,20,8.66,21,9.09,78,33.77,112,48.48,07001
7,2,206,28,13.59,15,7.28,70,33.98,93,45.15,07002
7,3,134,15,11.19,19,14.18,60,44.78,40,29.85,07003
7,4,138,22,15.94,12,8.7,34,24.64,70,50.72,07004
7,5,132,15,11.36,10,7.58,48,36.36,59,44.7,07005
7,6,135,15,11.11,14,10.37,45,33.33,61,45.19,07006
7,7,107,16,14.95,17,15.89,23,21.5,51,47.66,07007
7,8,56,8,14.29,9,16.07,24,42.86,15,26.79,07008
7,9,183,21,11.48,16,8.74,77,42.08,69,37.7,07009
7,10,124,12,9.68,18,14.52,50,40.32,44,35.48,07010
7,11,178,21,11.8,16,8.99,79,44.38,62,34.83,07011
7,12,115,15,13.04,5,4.35,41,35.65,54,46.96,07012
7,13,125,18,14.4,13,10.4,51,40.8,43,34.4,07013
7,14,207,27,13.04,15,7.25,98,47.34,67,32.37,07014
7,15,102,10,9.8,7,6.86,42,41.18,43,42.16,07015
7,16,126,18,14.29,8,6.35,53,42.06,47,37.3,07016
7,17,104,19,18.27,16,15.38,28,26.92,41,39.42,07017
7,18,125,23,18.4,6,4.8,59,47.2,37,29.6,07018
7,19,262,46,17.56,23,8.78,86,32.82,107,40.84,07019
7,20,80,14,17.5,8,10.0,27,33.75,31,38.75,07020
7,21,174,24,13.79,21,12.07,74,42.53,55,31.61,07021
7,22,133,17,12.78,8,6.02,49,36.84,59,44.36,07022
7,23,111,13,11.71,10,9.01,51,45.95,37,33.33,07023
7,24,150,26,17.33,16,10.67,38,25.33,70,46.67,07024
7,25,187,20,10.7,15,8.02,66,35.29,86,45.99,07025
7,26,225,32,14.22,25,11.11,80,35.56,88,39.11,07026
7,27,260,19,7.31,24,9.23,115,44.23,102,39.23,07027
7,28,161,26,16.15,18,11.18,54,33.54,63,39.13,07028
7,29,117,11,9.4,9,7.69,42,35.9,55,47.01,07029
7,30,190,23,12.11,28,14.74,85,44.74,54,28.42,07030
7,31,172,23,13.37,22,12.79,69,40.12,58,33.72,07031
7,32,135,12,8.89,15,11.11,62,45.93,46,34.07,07032
7,33,131,24,18.32,7,5.34,55,41.98,45,34.35,07033
7,34,166,14,8.43,18,10.84,71,42.77,63,37.95,07034
7,35,89,9,10.11,8,8.99,33,37.08,39,43.82,07035
7,36,198,27,13.64,18,9.09,77,38.89,76,38.38,07036
7,37,89,9,10.11,10,11.24,34,38.2,36,40.45,07037
7,38,115,14,12.17,11,9.57,43,37.39,47,40.87,07038
7,39,144,27,18.75,12,8.33,45,31.25,60,41.67,07039
7,40,149,29,19.46,17,11.41,48,32.21,55,36.91,07040
7,41,133,19,14.29,11,8.27,58,43.61,45,33.83,07041
7,42,233,26,11.16,21,9.01,103,44.21,83,35.62,07042
7,43,177,33,18.64,11,6.21,86,48.59,47,26.55,07043
7,44,218,26,11.93,22,10.09,105,48.17,65,29.82,07044
7,45,279,22,7.89,28,10.04,101,36.2,128,45.88,07045
7,46,53,21,39.62,4,7.55,15,28.3,13,24.53,07046
7,47,128,19,14.84,9,7.03,36,28.13,64,50.0,07047
7,48,64,12,18.75,0,0.0,27,42.19,25,39.06,07048
7,49,101,12,11.88,11,10.89,35,34.65,43,42.57,07049
7,50,128,16,12.5,17,13.28,43,33.59,52,40.63,07050
7,51,145,24,16.55,9,6.21,55,37.93,57,39.31,07051
7,52,157,17,10.83,17,10.83,58,36.94,65,41.4,07052
7,53,145,20,13.79,10,6.9,56,38.62,59,40.69,07053
7,54,67,10,14.93,8,11.94,31,46.27,18,26.87,07054
7,55,142,20,14.08,12,8.45,48,33.8,62,43.66,07055
7,56,132,17,12.88,10,7.58,55,41.67,50,37.88,07056
7,57,132,15,11.36,15,11.36,52,39.39,50,37.88,07057
7,58,218,22,10.09,20,9.17,87,39.91,89,40.83,07058
7,59,84,10,11.9,7,8.33,35,41.67,32,38.1,07059
7,60,123,19,15.45,12,9.76,43,34.96,49,39.84,07060
7,61,164,17,10.37,14,8.54,35,21.34,98,59.76,07061
7,62,161,25,15.53,14,8.7,58,36.02,64,39.75,07062
7,63,136,21,15.44,17,12.5,44,32.35,54,39.71,07063
7,64,143,19,13.29,23,16.08,49,34.27,52,36.36,07064
7,65,124,23,18.55,6,4.84,54,43.55,41,33.06,07065
8,3,216,32,14.81,22,10.19,79,36.57,83,38.43,08003
8,4,208,28,13.46,15,7.21,84,40.38,81,38.94,08004
8,5,251,32,12.75,21,8.37,98,39.04,100,39.84,08005
8,7,148,22,14.86,17,11.49,50,33.78,59,39.86,08007
8,8,226,35,15.49,17,7.52,102,45.13,72,31.86,08008
8,9,268,32,11.94,27,10.07,123,45.9,86,32.09,08009
8,15,174,21,12.07,16,9.2,81,46.55,56,32.18,08015
8,17,173,25,14.45,22,12.72,64,36.99,62,35.84,08017
8,19,259,25,9.65,25,9.65,107,41.31,102,39.38,08019
8,23,182,23,12.64,12,6.59,87,47.8,60,32.97,08023
8,24,214,43,20.09,18,8.41,93,43.46,60,28.04,08024
8,25,189,20,10.58,17,8.99,72,38.1,80,42.33,08025
8,26,145,14,9.66,14,9.66,65,44.83,52,35.86,08026
8,27,224,27,12.05,22,9.82,86,38.39,89,39.73,08027
8,28,177,20,11.3,15,8.47,72,40.68,70,39.55,08028
8,32,306,47,15.36,27,8.82,125,40.85,107,34.97,08032
8,34,203,32,15.76,18,8.87,92,45.32,61,30.05,08034
8,36,179,20,11.17,15,8.38,70,39.11,74,41.34,08036
8,39,224,38,16.96,22,9.82,87,38.84,77,34.38,08039
8,42,214,31,14.49,18,8.41,87,40.65,78,36.45,08042
8,44,163,19,11.66,15,9.2,60,36.81,69,42.33,08044
8,46,142,16,11.27,11,7.75,52,36.62,63,44.37,08046
8,47,190,25,13.16,24,12.63,78,41.05,63,33.16,08047
8,49,231,29,12.55,24,10.39,87,37.66,91,39.39,08049
8,50,196,24,12.24,21,10.71,85,43.37,66,33.67,08050
8,51,243,26,10.7,25,10.29,112,46.09,80,32.92,08051
8,57,191,21,10.99,23,12.04,77,40.31,70,36.65,08057
8,60,167,20,11.98,16,9.58,73,43.71,58,34.73,08060
8,62,175,16,9.14,22,12.57,79,45.14,58,33.14,08062
8,63,241,27,11.2,19,7.88,99,41.08,96,39.83,08063
8,65,132,21,15.91,14,10.61,45,34.09,52,39.39,08065
8,66,259,48,18.53,27,10.42,101,39.0,83,32.05,08066
8,70,219,29,13.24,33,15.07,87,39.73,70,31.96,08070
9,1,233,38,16.31,26,11.16,102,43.78,67,28.76,09001
9,2,192,39,20.31,33,17.19,66,34.38,54,28.13,09002
9,3,128,19,14.84,22,17.19,36,28.13,51,39.84,09003
9,4,216,25,11.57,21,9.72,62,28.7,108,50.0,09004
9,5,162,33,20.37,11,6.79,62,38.27,56,34.57,09005
9,6,200,25,12.5,42,21.0,73,36.5,60,30.0,09006
9,7,171,37,21.64,10,5.85,70,40.94,54,31.58,09007
9,8,134,17,12.69,18,13.43,61,45.52,38,28.36,09008
9,9,220,37,16.82,22,10.0,89,40.45,72,32.73,09009
9,10,180,31,17.22,24,13.33,81,45.0,44,24.44,09010
9,11,112,25,22.32,9,8.04,31,27.68,47,41.96,09011
9,12,170,27,15.88,18,10.59,70,41.18,55,32.35,09012
9,13,266,41,15.41,23,8.65,135,50.75,67,25.19,09013
9,14,265,54,20.38,26,9.81,122,46.04,63,23.77,09014
9,15,88,11,12.5,10,11.36,35,39.77,32,36.36,09015
