ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,203,203,100.0,04001
4,9,402,402,100.0,04009
4,17,239,239,100.0,04017
4,21,271,271,100.0,04021
4,22,311,311,100.0,04022
4,28,165,165,100.0,04028
4,29,174,174,100.0,04029
4,32,263,263,100.0,04032
4,34,182,182,100.0,04034
4,38,329,329,100.0,04038
4,41,113,113,100.0,04041
4,43,147,147,100.0,04043
4,44,142,142,100.0,04044
4,45,352,352,100.0,04045
4,47,315,315,100.0,04047
4,48,317,317,100.0,04048
4,54,93,93,100.0,04054
4,55,171,171,100.0,04055
5,1,174,174,100.0,05001
5,3,120,120,100.0,05003
5,5,151,151,100.0,05005
5,6,206,206,100.0,05006
5,7,237,237,100.0,05007
5,8,281,281,100.0,05008
5,11,258,258,100.0,05011
5,14,309,309,100.0,05014
5,17,196,196,100.0,05017
5,21,209,209,100.0,05021
5,22,198,198,100.0,05022
5,24,192,192,100.0,05024
5,25,173,173,100.0,05025
5,26,202,202,100.0,05026
5,27,260,260,100.0,05027
5,28,216,216,100.0,05028
5,29,208,208,100.0,05029
5,30,189,189,100.0,05030
5,31,158,158,100.0,05031
5,32,268,268,100.0,05032
5,33,123,123,100.0,05033
5,34,189,189,100.0,05034
5,35,164,164,100.0,05035
5,36,119,119,100.0,05036
5,37,174,174,100.0,05037
5,38,245,245,100.0,05038
5,39,243,243,100.0,05039
5,40,201,201,100.0,05040
5,41,211,211,100.0,05041
5,42,191,191,100.0,05042
5,43,241,241,100.0,05043
5,44,212,212,100.0,05044
5,46,253,253,100.0,05046
5,47,141,141,100.0,05047
5,48,156,156,100.0,05048
5,49,36,36,100.0,05049
5,53,241,241,100.0,05053
5,54,296,296,100.0,05054
5,55,156,156,100.0,05055
7,3,135,135,100.0,07003
7,8,52,52,100.0,07008
7,9,166,166,100.0,07009
7,10,111,111,100.0,07010
7,11,164,164,100.0,07011
7,14,203,203,100.0,07014
7,15,105,105,100.0,07015
7,16,124,124,100.0,07016
7,17,96,96,100.0,07017
7,18,116,116,100.0,07018
7,20,72,72,100.0,07020
7,22,134,134,100.0,07022
7,23,101,101,100.0,07023
7,28,158,158,100.0,07028
7,32,135,135,100.0,07032
7,35,94,94,100.0,07035
7,39,150,150,100.0,07039
7,40,152,152,100.0,07040
7,44,227,227,100.0,07044
7,45,280,280,100.0,07045
7,46,36,36,100.0,07046
7,48,73,73,100.0,07048
7,54,61,61,100.0,07054
7,56,140,140,100.0,07056
7,63,124,124,100.0,07063
7,64,159,159,100.0,07064
7,65,121,121,100.0,07065
8,70,220,220,100.0,08070
10,1,92,92,100.0,10001
10,4,110,110,100.0,10004
10,7,24,24,100.0,10007
10,18,104,104,100.0,10018
10,23,0,0,0.0,10023
10,25,142,142,100.0,10025
10,37,87,87,100.0,10037
10,43,40,40,100.0,10043
10,45,72,72,100.0,10045
10,47,103,103,100.0,10047
10,48,96,96,100.0,10048
10,49,81,81,100.0,10049
20,26,138,138,100.0,20026
20,34,183,183,100.0,20034
20,38,19,19,100.0,20038
