ward,precinct,total,Annazette R. Collins,Annazette R. Collins Percent,precinct_id
1,6,91,63,69.23,01006
1,8,57,33,57.89,01008
1,12,99,66,66.67,01012
1,14,13,9,69.23,01014
1,21,0,0,0.0,01021
1,31,29,19,65.52,01031
1,32,1,1,100.0,01032
1,35,49,34,69.39,01035
2,5,92,58,63.04,02005
2,15,31,21,67.74,02015
2,19,90,66,73.33,02019
2,23,101,66,65.35,02023
2,24,104,67,64.42,02024
2,27,111,87,78.38,02027
2,45,129,87,67.44,02045
2,47,175,121,69.14,02047
2,48,115,66,57.39,02048
2,52,145,95,65.52,02052
2,53,69,46,66.67,02053
2,56,166,95,57.23,02056
2,57,85,48,56.47,02057
24,18,129,85,65.89,24018
24,29,147,91,61.9,24029
24,33,122,92,75.41,24033
24,55,76,59,77.63,24055
24,59,86,54,62.79,24059
26,7,7,3,42.86,26007
26,17,39,25,64.1,26017
26,28,4,3,75.0,26028
26,32,0,0,0.0,26032
26,33,26,20,76.92,26033
26,46,81,55,67.9,26046
27,2,139,86,61.87,27002
27,3,132,78,59.09,27003
27,8,52,42,80.77,27008
27,10,66,45,68.18,27010
27,11,102,58,56.86,27011
27,15,82,55,67.07,27015
27,18,39,24,61.54,27018
27,19,159,94,59.12,27019
27,22,116,79,68.1,27022
27,23,55,43,78.18,27023
27,24,135,96,71.11,27024
27,25,110,72,65.45,27025
27,26,112,86,76.79,27026
27,27,56,38,67.86,27027
27,29,105,51,48.57,27029
27,30,89,58,65.17,27030
27,31,146,81,55.48,27031
27,33,111,68,61.26,27033
27,34,96,71,73.96,27034
27,36,147,81,55.1,27036
27,40,81,65,80.25,27040
27,41,1,1,100.0,27041
27,44,112,64,57.14,27044
27,45,161,110,68.32,27045
27,46,121,83,68.6,27046
27,47,100,63,63.0,27047
27,48,120,86,71.67,27048
27,49,116,71,61.21,27049
27,50,114,79,69.3,27050
27,53,75,29,38.67,27053
27,54,29,21,72.41,27054
27,55,34,18,52.94,27055
27,56,1,0,0.0,27056
27,60,153,102,66.67,27060
27,61,30,20,66.67,27061
27,62,129,78,60.47,27062
27,63,165,125,75.76,27063
27,64,114,68,59.65,27064
28,2,97,66,68.04,28002
28,3,89,66,74.16,28003
28,5,136,99,72.79,28005
28,6,74,60,81.08,28006
28,7,152,88,57.89,28007
28,9,90,56,62.22,28009
28,10,40,26,65.0,28010
28,11,132,56,42.42,28011
28,13,113,63,55.75,28013
28,15,79,51,64.56,28015
28,16,167,76,45.51,28016
28,18,181,128,70.72,28018
28,20,160,120,75.0,28020
28,22,128,93,72.66,28022
28,23,159,119,74.84,28023
28,24,96,66,68.75,28024
28,25,115,84,73.04,28025
28,26,149,112,75.17,28026
28,28,117,83,70.94,28028
28,30,107,71,66.36,28030
28,31,127,76,59.84,28031
28,32,122,79,64.75,28032
28,33,114,69,60.53,28033
28,36,137,105,76.64,28036
28,37,159,135,84.91,28037
28,41,60,44,73.33,28041
28,43,100,78,78.0,28043
28,44,103,62,60.19,28044
28,46,125,109,87.2,28046
28,50,71,57,80.28,28050
28,59,94,78,82.98,28059
32,2,141,82,58.16,32002
32,4,156,97,62.18,32004
32,5,83,54,65.06,32005
32,6,110,65,59.09,32006
32,26,100,71,71.0,32026
32,29,96,67,69.79,32029
32,31,138,87,63.04,32031
32,33,100,59,59.0,32033
32,34,120,85,70.83,32034
32,35,149,96,64.43,32035
32,36,131,81,61.83,32036
32,37,0,0,0.0,32037
32,46,28,19,67.86,32046
32,50,1,0,0.0,32050
32,51,100,63,63.0,32051
32,52,70,45,64.29,32052
37,3,66,36,54.55,37003
37,4,57,43,75.44,37004
37,8,100,65,65.0,37008
37,12,105,59,56.19,37012
37,13,106,79,74.53,37013
37,17,161,114,70.81,37017
37,19,45,28,62.22,37019
37,51,106,70,66.04,37051
37,56,114,87,76.32,37056
43,1,71,52,73.24,43001
43,3,93,51,54.84,43003
43,5,70,45,64.29,43005
43,9,66,37,56.06,43009
43,10,32,21,65.63,43010
43,11,49,30,61.22,43011
43,13,52,33,63.46,43013
43,15,85,43,50.59,43015
43,28,66,33,50.0,43028
43,40,69,45,65.22,43040
43,47,88,50,56.82,43047
