ward,precinct,total,Fred G. Lebed (Dean),Fred G. Lebed (Dean) Percent,Marion Murphy (Dean),Marion Murphy (Dean) Percent,Joseph M. Burns (Dean),Joseph M. Burns (Dean) Percent,Patricia E. Bolivar (Dean),Patricia E. Bolivar (Dean) Percent,Rachel M. Ostendorf (Dean),Rachel M. Ostendorf (Dean) Percent,Marjorie D. Zamora (Kucinich),Marjorie D. Zamora (Kucinich) Percent,Michael Foerstel (Kucinich),Michael Foerstel (Kucinich) Percent,"Theresa M. """"Teri"""" Pluta (Kucinich)","Theresa M. """"Teri"""" Pluta (Kucinich) Percent",Carl J. Holmgren (Kucinich),Carl J. Holmgren (Kucinich) Percent,"Pamela M. """"Pam"""" Paxton (Kucinich)","Pamela M. """"Pam"""" Paxton (Kucinich) Percent",Timothy A. Prorok (Kucinich),Timothy A. Prorok (Kucinich) Percent,Alfredo A. Pedroza (Braun),Alfredo A. Pedroza (Braun) Percent,John Fitzgerald (Braun),John Fitzgerald (Braun) Percent,Robert K. Gorman (Braun),Robert K. Gorman (Braun) Percent,Elizabeth Pedroza (Braun),Elizabeth Pedroza (Braun) Percent,Thomas J. Dart (Edwards),Thomas J. Dart (Edwards) Percent,Terrie Pickerill (Edwards),Terrie Pickerill (Edwards) Percent,Paul D. Newman (Edwards),Paul D. Newman (Edwards) Percent,Dolores J. Foertsch (Edwards),Dolores J. Foertsch (Edwards) Percent,Alvan Hui Tong Leung (Edwards),Alvan Hui Tong Leung (Edwards) Percent,Angela V. Venegas (Edwards),Angela V. Venegas (Edwards) Percent,Michael B. Stillman (Clark),Michael B. Stillman (Clark) Percent,John D. Carr (Clark),John D. Carr (Clark) Percent,Ron Pratl (Clark),Ron Pratl (Clark) Percent,Hollie Bush (Clark),Hollie Bush (Clark) Percent,Mary Newman (Clark),Mary Newman (Clark) Percent,Lisa Forde (Clark),Lisa Forde (Clark) Percent,Lisa Benigno-Praznowski (Kerry),Lisa Benigno-Praznowski (Kerry) Percent,James M. Ryan (Kerry),James M. Ryan (Kerry) Percent,Nora E. Rowley (Kerry),Nora E. Rowley (Kerry) Percent,Martin Joyce (Kerry),Martin Joyce (Kerry) Percent,Virginia L. Reyes (Kerry),Virginia L. Reyes (Kerry) Percent,Matthew J. O'Shea (Kerry),Matthew J. O'Shea (Kerry) Percent,Lenore Goodfriend (Lieberman),Lenore Goodfriend (Lieberman) Percent,Christopher Jutton (Lieberman),Christopher Jutton (Lieberman) Percent,"John """"Jack"""" Neven (Lieberman)","John """"Jack"""" Neven (Lieberman) Percent",Mary Jo Noonan (Lieberman),Mary Jo Noonan (Lieberman) Percent,Diane Viverito (Lieberman),Diane Viverito (Lieberman) Percent,precinct_id
3,51,112,7,6.25,6,5.36,9,8.04,11,9.82,7,6.25,8,7.14,1,0.89,2,1.79,0,0.0,1,0.89,1,0.89,6,5.36,0,0.0,0,0.0,2,1.79,1,0.89,0,0.0,0,0.0,0,0.0,0,0.0,3,2.68,0,0.0,0,0.0,0,0.0,0,0.0,1,0.89,1,0.89,5,4.46,3,2.68,5,4.46,4,3.57,7,6.25,3,2.68,2,1.79,3,2.68,1,0.89,2,1.79,3,2.68,03051
11,1,344,9,2.62,8,2.33,7,2.03,11,3.2,8,2.33,8,2.33,3,0.87,8,2.33,3,0.87,7,2.03,5,1.45,2,0.58,10,2.91,1,0.29,4,1.16,8,2.33,7,2.03,6,1.74,6,1.74,7,2.03,9,2.62,2,0.58,2,0.58,3,0.87,3,0.87,1,0.29,4,1.16,29,8.43,29,8.43,26,7.56,32,9.3,29,8.43,29,8.43,3,0.87,1,0.29,1,0.29,6,1.74,1,0.29,11001
11,2,350,11,3.14,13,3.71,13,3.71,7,2.0,8,2.29,9,2.57,1,0.29,3,0.86,2,0.57,1,0.29,2,0.57,11,3.14,6,1.71,0,0.0,5,1.43,6,1.71,4,1.14,5,1.43,4,1.14,4,1.14,12,3.43,1,0.29,2,0.57,0,0.0,1,0.29,2,0.57,0,0.0,29,8.29,37,10.57,32,9.14,37,10.57,37,10.57,30,8.57,0,0.0,0,0.0,2,0.57,3,0.86,1,0.29,11002
11,4,406,6,1.48,6,1.48,9,2.22,12,2.96,4,0.99,10,2.46,2,0.49,3,0.74,1,0.25,5,1.23,7,1.72,7,1.72,5,1.23,3,0.74,8,1.97,5,1.23,6,1.48,8,1.97,6,1.48,8,1.97,8,1.97,1,0.25,4,0.99,2,0.49,1,0.25,1,0.25,1,0.25,38,9.36,47,11.58,41,10.1,42,10.34,43,10.59,36,8.87,1,0.25,1,0.25,3,0.74,2,0.49,2,0.49,11004
11,5,194,7,3.61,4,2.06,5,2.58,6,3.09,3,1.55,4,2.06,4,2.06,3,1.55,6,3.09,5,2.58,3,1.55,3,1.55,5,2.58,2,1.03,1,0.52,2,1.03,2,1.03,2,1.03,1,0.52,3,1.55,3,1.55,1,0.52,2,1.03,2,1.03,1,0.52,1,0.52,1,0.52,20,10.31,18,9.28,17,8.76,15,7.73,19,9.79,13,6.7,0,0.0,0,0.0,0,0.0,0,0.0,1,0.52,11005
11,6,445,7,1.57,11,2.47,13,2.92,19,4.27,5,1.12,10,2.25,4,0.9,6,1.35,2,0.45,3,0.67,2,0.45,9,2.02,11,2.47,2,0.45,4,0.9,6,1.35,5,1.12,6,1.35,4,0.9,4,0.9,16,3.6,3,0.67,4,0.9,1,0.22,4,0.9,4,0.9,3,0.67,34,7.64,39,8.76,41,9.21,38,8.54,53,11.91,38,8.54,5,1.12,2,0.45,4,0.9,3,0.67,6,1.35,11006
11,7,342,8,2.34,13,3.8,9,2.63,9,2.63,7,2.05,14,4.09,7,2.05,10,2.92,8,2.34,6,1.75,5,1.46,5,1.46,7,2.05,0,0.0,2,0.58,6,1.75,5,1.46,6,1.75,7,2.05,4,1.17,7,2.05,1,0.29,1,0.29,1,0.29,4,1.17,2,0.58,2,0.58,29,8.48,28,8.19,33,9.65,29,8.48,26,7.6,24,7.02,2,0.58,0,0.0,3,0.88,1,0.29,4,1.17,11007
11,8,397,10,2.52,14,3.53,14,3.53,10,2.52,8,2.02,14,3.53,11,2.77,16,4.03,13,3.27,11,2.77,10,2.52,3,0.76,9,2.27,1,0.25,6,1.51,5,1.26,5,1.26,7,1.76,6,1.51,4,1.01,6,1.51,3,0.76,3,0.76,3,0.76,4,1.01,3,0.76,2,0.5,29,7.3,35,8.82,35,8.82,24,6.05,28,7.05,25,6.3,3,0.76,1,0.25,1,0.25,1,0.25,4,1.01,11008
11,9,370,9,2.43,9,2.43,9,2.43,11,2.97,8,2.16,6,1.62,6,1.62,9,2.43,3,0.81,8,2.16,3,0.81,4,1.08,2,0.54,1,0.27,8,2.16,3,0.81,7,1.89,7,1.89,6,1.62,4,1.08,7,1.89,1,0.27,0,0.0,0,0.0,0,0.0,3,0.81,1,0.27,30,8.11,38,10.27,38,10.27,39,10.54,36,9.73,32,8.65,4,1.08,2,0.54,2,0.54,3,0.81,1,0.27,11009
11,11,697,10,1.43,15,2.15,15,2.15,17,2.44,12,1.72,10,1.43,6,0.86,12,1.72,6,0.86,6,0.86,5,0.72,9,1.29,9,1.29,6,0.86,13,1.87,11,1.58,13,1.87,18,2.58,14,2.01,13,1.87,17,2.44,1,0.14,4,0.57,2,0.29,3,0.43,8,1.15,5,0.72,72,10.33,68,9.76,68,9.76,61,8.75,66,9.47,58,8.32,7,1.0,2,0.29,4,0.57,9,1.29,6,0.86,11011
11,12,490,16,3.27,16,3.27,15,3.06,9,1.84,6,1.22,5,1.02,1,0.2,5,1.02,2,0.41,3,0.61,3,0.61,3,0.61,9,1.84,6,1.22,1,0.2,14,2.86,10,2.04,9,1.84,10,2.04,9,1.84,10,2.04,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,51,10.41,59,12.04,51,10.41,52,10.61,48,9.8,49,10.0,2,0.41,2,0.41,0,0.0,1,0.2,1,0.2,11012
11,13,357,11,3.08,11,3.08,9,2.52,13,3.64,8,2.24,9,2.52,5,1.4,6,1.68,5,1.4,5,1.4,5,1.4,4,1.12,2,0.56,0,0.0,1,0.28,4,1.12,5,1.4,3,0.84,5,1.4,4,1.12,5,1.4,0,0.0,1,0.28,1,0.28,0,0.0,1,0.28,1,0.28,31,8.68,37,10.36,32,8.96,33,9.24,35,9.8,35,9.8,4,1.12,2,0.56,2,0.56,4,1.12,4,1.12,11013
11,15,418,8,1.91,11,2.63,11,2.63,8,1.91,6,1.44,3,0.72,2,0.48,5,1.2,1,0.24,3,0.72,2,0.48,2,0.48,6,1.44,1,0.24,2,0.48,6,1.44,1,0.24,2,0.48,3,0.72,1,0.24,4,0.96,4,0.96,4,0.96,3,0.72,7,1.67,5,1.2,3,0.72,46,11.0,49,11.72,50,11.96,44,10.53,44,10.53,45,10.77,3,0.72,4,0.96,2,0.48,5,1.2,4,0.96,11015
11,16,615,10,1.63,15,2.44,15,2.44,25,4.07,15,2.44,14,2.28,5,0.81,15,2.44,7,1.14,12,1.95,5,0.81,13,2.11,10,1.63,5,0.81,10,1.63,8,1.3,12,1.95,11,1.79,10,1.63,9,1.46,17,2.76,0,0.0,3,0.49,3,0.49,2,0.33,3,0.49,4,0.65,49,7.97,54,8.78,52,8.46,52,8.46,60,9.76,53,8.62,3,0.49,0,0.0,7,1.14,5,0.81,5,0.81,11016
11,17,570,16,2.81,26,4.56,17,2.98,18,3.16,12,2.11,14,2.46,3,0.53,12,2.11,3,0.53,8,1.4,3,0.53,14,2.46,6,1.05,0,0.0,4,0.7,7,1.23,4,0.7,10,1.75,7,1.23,6,1.05,11,1.93,2,0.35,1,0.18,2,0.35,3,0.53,4,0.7,4,0.7,53,9.3,51,8.95,54,9.47,51,8.95,57,10.0,49,8.6,6,1.05,5,0.88,3,0.53,6,1.05,4,0.7,11017
11,18,201,6,2.99,6,2.99,5,2.49,7,3.48,5,2.49,6,2.99,2,1.0,5,2.49,1,0.5,1,0.5,2,1.0,2,1.0,1,0.5,0,0.0,3,1.49,1,0.5,1,0.5,1,0.5,1,0.5,2,1.0,2,1.0,3,1.49,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,19,9.45,19,9.45,21,10.45,20,9.95,20,9.95,16,7.96,2,1.0,1,0.5,1,0.5,1,0.5,2,1.0,11018
11,19,355,10,2.82,12,3.38,8,2.25,15,4.23,8,2.25,9,2.54,5,1.41,6,1.69,6,1.69,5,1.41,3,0.85,6,1.69,4,1.13,0,0.0,6,1.69,6,1.69,5,1.41,5,1.41,7,1.97,7,1.97,8,2.25,2,0.56,4,1.13,3,0.85,2,0.56,3,0.85,3,0.85,28,7.89,34,9.58,30,8.45,28,7.89,34,9.58,30,8.45,0,0.0,0,0.0,1,0.28,2,0.56,1,0.28,11019
11,20,405,12,2.96,18,4.44,14,3.46,13,3.21,9,2.22,6,1.48,3,0.74,4,0.99,3,0.74,9,2.22,0,0.0,4,0.99,5,1.23,2,0.49,2,0.49,14,3.46,8,1.98,9,2.22,9,2.22,9,2.22,11,2.72,1,0.25,1,0.25,1,0.25,3,0.74,0,0.0,0,0.0,34,8.4,32,7.9,33,8.15,33,8.15,32,7.9,32,7.9,5,1.23,5,1.23,5,1.23,6,1.48,4,0.99,11020
11,21,480,3,0.63,11,2.29,10,2.08,7,1.46,7,1.46,7,1.46,5,1.04,10,2.08,6,1.25,8,1.67,6,1.25,3,0.63,9,1.88,1,0.21,2,0.42,10,2.08,5,1.04,9,1.88,7,1.46,6,1.25,4,0.83,3,0.63,4,0.83,3,0.63,2,0.42,4,0.83,1,0.21,48,10.0,59,12.29,48,10.0,51,10.63,47,9.79,47,9.79,2,0.42,1,0.21,1,0.21,4,0.83,3,0.63,11021
11,22,306,9,2.94,13,4.25,13,4.25,8,2.61,7,2.29,4,1.31,2,0.65,4,1.31,1,0.33,2,0.65,1,0.33,4,1.31,9,2.94,2,0.65,4,1.31,5,1.63,6,1.96,4,1.31,2,0.65,1,0.33,3,0.98,0,0.0,1,0.33,0,0.0,0,0.0,1,0.33,2,0.65,28,9.15,33,10.78,30,9.8,29,9.48,33,10.78,28,9.15,1,0.33,2,0.65,1,0.33,1,0.33,1,0.33,11022
11,23,313,7,2.24,13,4.15,7,2.24,9,2.88,8,2.56,5,1.6,4,1.28,7,2.24,3,0.96,5,1.6,1,0.32,0,0.0,8,2.56,0,0.0,1,0.32,3,0.96,4,1.28,3,0.96,2,0.64,5,1.6,3,0.96,1,0.32,1,0.32,1,0.32,3,0.96,0,0.0,0,0.0,30,9.58,28,8.95,38,12.14,31,9.9,29,9.27,27,8.63,5,1.6,5,1.6,1,0.32,2,0.64,3,0.96,11023
11,24,804,15,1.87,20,2.49,12,1.49,13,1.62,12,1.49,9,1.12,7,0.87,7,0.87,6,0.75,7,0.87,4,0.5,5,0.62,7,0.87,3,0.37,2,0.25,18,2.24,11,1.37,10,1.24,9,1.12,9,1.12,11,1.37,2,0.25,3,0.37,2,0.25,3,0.37,4,0.5,2,0.25,88,10.95,94,11.69,87,10.82,90,11.19,86,10.7,82,10.2,5,0.62,5,0.62,6,0.75,6,0.75,7,0.87,11024
11,25,270,6,2.22,10,3.7,9,3.33,10,3.7,4,1.48,5,1.85,4,1.48,6,2.22,4,1.48,3,1.11,3,1.11,5,1.85,4,1.48,0,0.0,2,0.74,3,1.11,3,1.11,3,1.11,4,1.48,1,0.37,3,1.11,2,0.74,2,0.74,1,0.37,2,0.74,4,1.48,1,0.37,25,9.26,26,9.63,28,10.37,24,8.89,28,10.37,24,8.89,1,0.37,2,0.74,0,0.0,0,0.0,0,0.0,11025
11,26,750,19,2.53,23,3.07,29,3.87,26,3.47,11,1.47,17,2.27,10,1.33,19,2.53,7,0.93,12,1.6,7,0.93,20,2.67,15,2.0,3,0.4,12,1.6,12,1.6,7,0.93,11,1.47,17,2.27,10,1.33,22,2.93,1,0.13,4,0.53,4,0.53,7,0.93,6,0.8,5,0.67,64,8.53,63,8.4,61,8.13,55,7.33,75,10.0,51,6.8,7,0.93,3,0.4,6,0.8,3,0.4,6,0.8,11026
11,29,619,16,2.58,20,3.23,17,2.75,25,4.04,12,1.94,15,2.42,8,1.29,17,2.75,10,1.62,12,1.94,9,1.45,23,3.72,10,1.62,1,0.16,8,1.29,10,1.62,9,1.45,8,1.29,6,0.97,8,1.29,16,2.58,2,0.32,7,1.13,1,0.16,5,0.81,3,0.48,4,0.65,43,6.95,50,8.08,44,7.11,37,5.98,52,8.4,30,4.85,8,1.29,23,3.72,14,2.26,8,1.29,9,1.45,11029
11,30,377,6,1.59,6,1.59,3,0.8,15,3.98,4,1.06,10,2.65,8,2.12,11,2.92,11,2.92,14,3.71,8,2.12,14,3.71,5,1.33,2,0.53,12,3.18,4,1.06,3,0.8,4,1.06,5,1.33,5,1.33,8,2.12,2,0.53,2,0.53,2,0.53,2,0.53,2,0.53,4,1.06,33,8.75,30,7.96,34,9.02,31,8.22,38,10.08,26,6.9,1,0.27,1,0.27,0,0.0,0,0.0,3,0.8,11030
11,31,409,10,2.44,10,2.44,8,1.96,11,2.69,9,2.2,3,0.73,4,0.98,6,1.47,3,0.73,6,1.47,3,0.73,3,0.73,1,0.24,1,0.24,0,0.0,7,1.71,6,1.47,10,2.44,7,1.71,8,1.96,8,1.96,2,0.49,1,0.24,3,0.73,2,0.49,2,0.49,6,1.47,40,9.78,40,9.78,40,9.78,42,10.27,40,9.78,37,9.05,1,0.24,1,0.24,2,0.49,2,0.49,4,0.98,11031
11,32,253,6,2.37,8,3.16,8,3.16,7,2.77,3,1.19,6,2.37,4,1.58,5,1.98,4,1.58,8,3.16,5,1.98,0,0.0,6,2.37,3,1.19,1,0.4,4,1.58,2,0.79,3,1.19,4,1.58,4,1.58,1,0.4,1,0.4,4,1.58,1,0.4,1,0.4,3,1.19,1,0.4,22,8.7,27,10.67,22,8.7,25,9.88,23,9.09,18,7.11,1,0.4,2,0.79,0,0.0,3,1.19,2,0.79,11032
11,33,264,4,1.52,7,2.65,6,2.27,5,1.89,2,0.76,2,0.76,0,0.0,1,0.38,0,0.0,4,1.52,2,0.76,1,0.38,1,0.38,1,0.38,0,0.0,0,0.0,1,0.38,3,1.14,3,1.14,3,1.14,2,0.76,1,0.38,1,0.38,1,0.38,1,0.38,0,0.0,1,0.38,35,13.26,36,13.64,32,12.12,36,13.64,32,12.12,30,11.36,1,0.38,2,0.76,0,0.0,0,0.0,2,0.76,11033
11,34,46,1,2.17,1,2.17,1,2.17,0,0.0,0,0.0,2,4.35,0,0.0,1,2.17,1,2.17,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,2,4.35,0,0.0,3,6.52,1,2.17,2,4.35,1,2.17,2,4.35,1,2.17,0,0.0,1,2.17,0,0.0,0,0.0,0,0.0,4,8.7,4,8.7,3,6.52,3,6.52,3,6.52,4,8.7,1,2.17,1,2.17,0,0.0,0,0.0,1,2.17,11034
11,35,447,5,1.12,15,3.36,6,1.34,7,1.57,3,0.67,4,0.89,1,0.22,2,0.45,0,0.0,5,1.12,1,0.22,5,1.12,10,2.24,2,0.45,2,0.45,8,1.79,5,1.12,6,1.34,4,0.89,5,1.12,6,1.34,2,0.45,3,0.67,5,1.12,4,0.89,3,0.67,4,0.89,47,10.51,60,13.42,54,12.08,50,11.19,49,10.96,50,11.19,2,0.45,0,0.0,4,0.89,2,0.45,1,0.22,11035
11,37,417,5,1.2,7,1.68,8,1.92,8,1.92,6,1.44,6,1.44,5,1.2,9,2.16,6,1.44,11,2.64,7,1.68,0,0.0,3,0.72,0,0.0,0,0.0,11,2.64,8,1.92,8,1.92,8,1.92,9,2.16,9,2.16,0,0.0,2,0.48,2,0.48,2,0.48,2,0.48,2,0.48,42,10.07,52,12.47,46,11.03,42,10.07,41,9.83,34,8.15,2,0.48,1,0.24,1,0.24,2,0.48,3,0.72,11037
11,38,924,18,1.95,23,2.49,22,2.38,24,2.6,14,1.52,8,0.87,5,0.54,8,0.87,4,0.43,9,0.97,7,0.76,3,0.32,12,1.3,6,0.65,4,0.43,16,1.73,14,1.52,16,1.73,15,1.62,17,1.84,13,1.41,4,0.43,5,0.54,1,0.11,2,0.22,4,0.43,2,0.22,97,10.5,109,11.8,106,11.47,104,11.26,99,10.71,94,10.17,4,0.43,2,0.22,4,0.43,4,0.43,4,0.43,11038
11,39,694,11,1.59,11,1.59,10,1.44,8,1.15,6,0.86,10,1.44,6,0.86,12,1.73,8,1.15,10,1.44,9,1.3,8,1.15,8,1.15,2,0.29,7,1.01,10,1.44,5,0.72,7,1.01,5,0.72,5,0.72,5,0.72,1,0.14,5,0.72,1,0.14,3,0.43,4,0.58,3,0.43,81,11.67,93,13.4,83,11.96,79,11.38,82,11.82,67,9.65,1,0.14,2,0.29,2,0.29,2,0.29,7,1.01,11039
11,40,375,5,1.33,7,1.87,10,2.67,5,1.33,4,1.07,8,2.13,5,1.33,7,1.87,3,0.8,6,1.6,4,1.07,3,0.8,4,1.07,4,1.07,5,1.33,6,1.6,2,0.53,5,1.33,3,0.8,5,1.33,5,1.33,2,0.53,2,0.53,1,0.27,1,0.27,1,0.27,2,0.53,38,10.13,44,11.73,39,10.4,39,10.4,39,10.4,38,10.13,3,0.8,1,0.27,2,0.53,5,1.33,4,1.07,11040
11,41,222,9,4.05,10,4.5,7,3.15,5,2.25,5,2.25,3,1.35,3,1.35,4,1.8,0,0.0,1,0.45,1,0.45,5,2.25,5,2.25,0,0.0,2,0.9,0,0.0,1,0.45,3,1.35,0,0.0,2,0.9,2,0.9,1,0.45,3,1.35,2,0.9,1,0.45,1,0.45,2,0.9,21,9.46,23,10.36,21,9.46,20,9.01,23,10.36,16,7.21,2,0.9,1,0.45,3,1.35,3,1.35,3,1.35,11041
11,42,370,12,3.24,10,2.7,10,2.7,13,3.51,9,2.43,6,1.62,3,0.81,2,0.54,6,1.62,3,0.81,3,0.81,9,2.43,4,1.08,2,0.54,9,2.43,7,1.89,6,1.62,6,1.62,5,1.35,7,1.89,7,1.89,2,0.54,3,0.81,4,1.08,5,1.35,3,0.81,2,0.54,26,7.03,36,9.73,33,8.92,30,8.11,28,7.57,33,8.92,3,0.81,3,0.81,3,0.81,2,0.54,2,0.54,11042
11,43,413,15,3.63,16,3.87,16,3.87,11,2.66,11,2.66,7,1.69,2,0.48,7,1.69,2,0.48,7,1.69,3,0.73,2,0.48,5,1.21,0,0.0,2,0.48,3,0.73,1,0.24,4,0.97,2,0.48,4,0.97,2,0.48,1,0.24,1,0.24,0,0.0,0,0.0,0,0.0,0,0.0,43,10.41,46,11.14,44,10.65,45,10.9,45,10.9,38,9.2,3,0.73,3,0.73,3,0.73,1,0.24,6,1.45,11043
11,44,445,13,2.92,21,4.72,16,3.6,17,3.82,11,2.47,17,3.82,7,1.57,15,3.37,8,1.8,10,2.25,9,2.02,12,2.7,5,1.12,0,0.0,9,2.02,3,0.67,4,0.9,3,0.67,4,0.9,5,1.12,9,2.02,1,0.22,0,0.0,1,0.22,1,0.22,1,0.22,4,0.9,38,8.54,41,9.21,35,7.87,35,7.87,42,9.44,30,6.74,0,0.0,0,0.0,1,0.22,4,0.9,1,0.22,11044
11,45,189,8,4.23,8,4.23,7,3.7,10,5.29,9,4.76,1,0.53,2,1.06,5,2.65,1,0.53,1,0.53,1,0.53,2,1.06,1,0.53,0,0.0,2,1.06,3,1.59,2,1.06,2,1.06,3,1.59,1,0.53,3,1.59,0,0.0,1,0.53,0,0.0,5,2.65,1,0.53,0,0.0,16,8.47,16,8.47,17,8.99,11,5.82,15,7.94,12,6.35,2,1.06,2,1.06,3,1.59,4,2.12,4,2.12,11045
11,47,474,8,1.69,11,2.32,12,2.53,9,1.9,9,1.9,11,2.32,7,1.48,15,3.16,11,2.32,16,3.38,8,1.69,8,1.69,8,1.69,1,0.21,0,0.0,8,1.69,9,1.9,10,2.11,9,1.9,8,1.69,9,1.9,1,0.21,4,0.84,0,0.0,2,0.42,3,0.63,2,0.42,43,9.07,48,10.13,45,9.49,38,8.02,39,8.23,38,8.02,4,0.84,2,0.42,1,0.21,4,0.84,2,0.42,11047
11,48,146,4,2.74,4,2.74,2,1.37,4,2.74,3,2.05,0,0.0,1,0.68,0,0.0,1,0.68,1,0.68,0,0.0,0,0.0,1,0.68,1,0.68,1,0.68,2,1.37,3,2.05,2,1.37,2,1.37,2,1.37,2,1.37,1,0.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,9.59,19,13.01,15,10.27,16,10.96,16,10.96,16,10.96,1,0.68,1,0.68,2,1.37,2,1.37,1,0.68,11048
11,49,343,7,2.04,13,3.79,12,3.5,8,2.33,7,2.04,6,1.75,7,2.04,8,2.33,7,2.04,5,1.46,6,1.75,3,0.87,11,3.21,2,0.58,4,1.17,8,2.33,6,1.75,7,2.04,6,1.75,3,0.87,5,1.46,1,0.29,2,0.58,1,0.29,1,0.29,3,0.87,1,0.29,26,7.58,32,9.33,25,7.29,29,8.45,22,6.41,32,9.33,3,0.87,2,0.58,3,0.87,2,0.58,5,1.46,11049
11,50,330,8,2.42,7,2.12,10,3.03,9,2.73,4,1.21,11,3.33,3,0.91,6,1.82,4,1.21,7,2.12,3,0.91,4,1.21,6,1.82,2,0.61,3,0.91,0,0.0,2,0.61,6,1.82,4,1.21,3,0.91,4,1.21,1,0.3,0,0.0,1,0.3,1,0.3,1,0.3,1,0.3,33,10.0,34,10.3,34,10.3,30,9.09,35,10.61,27,8.18,4,1.21,3,0.91,2,0.61,2,0.61,3,0.91,11050
13,1,928,19,2.05,32,3.45,23,2.48,21,2.26,18,1.94,10,1.08,9,0.97,17,1.83,7,0.75,12,1.29,7,0.75,5,0.54,22,2.37,7,0.75,5,0.54,22,2.37,15,1.62,19,2.05,19,2.05,12,1.29,17,1.83,8,0.86,12,1.29,7,0.75,11,1.19,8,0.86,13,1.4,78,8.41,80,8.62,86,9.27,72,7.76,73,7.87,73,7.87,7,0.75,9,0.97,14,1.51,16,1.72,15,1.62,13001
13,2,420,13,3.1,21,5.0,17,4.05,20,4.76,13,3.1,6,1.43,4,0.95,5,1.19,5,1.19,5,1.19,3,0.71,4,0.95,6,1.43,4,0.95,3,0.71,9,2.14,4,0.95,6,1.43,6,1.43,4,0.95,5,1.19,1,0.24,1,0.24,0,0.0,1,0.24,4,0.95,1,0.24,34,8.1,41,9.76,34,8.1,33,7.86,38,9.05,35,8.33,2,0.48,4,0.95,1,0.24,7,1.67,5,1.19,13002
13,4,846,18,2.13,33,3.9,18,2.13,21,2.48,17,2.01,13,1.54,7,0.83,13,1.54,10,1.18,13,1.54,8,0.95,3,0.35,19,2.25,3,0.35,4,0.47,14,1.65,14,1.65,15,1.77,14,1.65,12,1.42,13,1.54,9,1.06,12,1.42,7,0.83,9,1.06,5,0.59,6,0.71,60,7.09,62,7.33,56,6.62,57,6.74,53,6.26,56,6.62,28,3.31,26,3.07,26,3.07,28,3.31,25,2.96,13004
