ward,precinct,total,Carrie M. Austin,Carrie M. Austin Percent,precinct_id
34,1,270,270,100.0,34001
34,2,195,195,100.0,34002
34,3,149,149,100.0,34003
34,4,165,165,100.0,34004
34,5,134,134,100.0,34005
34,6,113,113,100.0,34006
34,7,282,282,100.0,34007
34,8,248,248,100.0,34008
34,9,164,164,100.0,34009
34,10,282,282,100.0,34010
34,11,139,139,100.0,34011
34,12,198,198,100.0,34012
34,13,184,184,100.0,34013
34,14,146,146,100.0,34014
34,15,163,163,100.0,34015
34,16,114,114,100.0,34016
34,17,163,163,100.0,34017
34,18,149,149,100.0,34018
34,19,156,156,100.0,34019
34,20,298,298,100.0,34020
34,21,236,236,100.0,34021
34,22,252,252,100.0,34022
34,23,165,165,100.0,34023
34,24,203,203,100.0,34024
34,25,120,120,100.0,34025
34,26,171,171,100.0,34026
34,27,115,115,100.0,34027
34,28,141,141,100.0,34028
34,29,273,273,100.0,34029
34,30,284,284,100.0,34030
34,31,118,118,100.0,34031
34,32,239,239,100.0,34032
34,33,111,111,100.0,34033
34,34,220,220,100.0,34034
34,35,256,256,100.0,34035
34,36,231,231,100.0,34036
34,37,96,96,100.0,34037
34,38,125,125,100.0,34038
34,39,134,134,100.0,34039
34,40,201,201,100.0,34040
34,41,178,178,100.0,34041
34,42,248,248,100.0,34042
34,43,218,218,100.0,34043
34,44,283,283,100.0,34044
34,45,245,245,100.0,34045
34,46,140,140,100.0,34046
34,47,108,108,100.0,34047
34,48,210,210,100.0,34048
34,49,239,239,100.0,34049
34,50,179,179,100.0,34050
34,51,288,288,100.0,34051
34,52,161,161,100.0,34052
34,53,161,161,100.0,34053
34,54,164,164,100.0,34054
34,55,139,139,100.0,34055
34,56,144,144,100.0,34056
34,57,93,93,100.0,34057
34,58,153,153,100.0,34058
34,59,169,169,100.0,34059
34,60,118,118,100.0,34060
34,61,96,96,100.0,34061
34,62,249,249,100.0,34062
34,63,191,191,100.0,34063
34,64,45,45,100.0,34064
34,65,65,65,100.0,34065
34,66,206,206,100.0,34066
34,67,177,177,100.0,34067
34,68,126,126,100.0,34068
34,69,162,162,100.0,34069
34,70,196,196,100.0,34070
34,71,168,168,100.0,34071
34,72,144,144,100.0,34072
34,73,161,161,100.0,34073
