ward,precinct,total,Michael A. Wojcik,Michael A. Wojcik Percent,precinct_id
30,1,108,108,100.0,30001
30,2,65,65,100.0,30002
30,3,138,138,100.0,30003
30,4,97,97,100.0,30004
30,5,52,52,100.0,30005
30,6,55,55,100.0,30006
30,7,103,103,100.0,30007
30,8,129,129,100.0,30008
30,9,162,162,100.0,30009
30,10,118,118,100.0,30010
30,11,80,80,100.0,30011
30,12,69,69,100.0,30012
30,13,60,60,100.0,30013
30,14,33,33,100.0,30014
30,15,112,112,100.0,30015
30,16,73,73,100.0,30016
30,17,139,139,100.0,30017
30,18,25,25,100.0,30018
30,19,54,54,100.0,30019
30,20,80,80,100.0,30020
30,21,66,66,100.0,30021
30,22,102,102,100.0,30022
30,23,76,76,100.0,30023
30,24,63,63,100.0,30024
30,25,69,69,100.0,30025
30,26,59,59,100.0,30026
30,27,106,106,100.0,30027
30,28,89,89,100.0,30028
30,29,39,39,100.0,30029
30,30,118,118,100.0,30030
30,31,66,66,100.0,30031
30,32,38,38,100.0,30032
30,33,80,80,100.0,30033
30,34,110,110,100.0,30034
30,35,74,74,100.0,30035
30,36,103,103,100.0,30036
30,37,64,64,100.0,30037
30,38,147,147,100.0,30038
30,39,90,90,100.0,30039
30,40,88,88,100.0,30040
30,41,83,83,100.0,30041
