ward,precinct,total,James C. Murray,James C. Murray Percent,Patrick T. Murphy,Patrick T. Murphy Percent,Margaret Ann Carey,Margaret Ann Carey Percent,Mary Therese Quinn,Mary Therese Quinn Percent,Richard Frederick Johnson,Richard Frederick Johnson Percent,precinct_id
1,1,115,23,20.0,37,32.17,20,17.39,25,21.74,10,8.7,01001
1,2,119,42,35.29,23,19.33,24,20.17,21,17.65,9,7.56,01002
1,3,83,25,30.12,17,20.48,17,20.48,16,19.28,8,9.64,01003
1,4,115,33,28.7,26,22.61,29,25.22,21,18.26,6,5.22,01004
1,5,102,19,18.63,28,27.45,23,22.55,20,19.61,12,11.76,01005
1,6,91,11,12.09,37,40.66,23,25.27,17,18.68,3,3.3,01006
1,7,133,25,18.8,42,31.58,33,24.81,25,18.8,8,6.02,01007
1,8,114,25,21.93,30,26.32,21,18.42,22,19.3,16,14.04,01008
1,9,130,38,29.23,36,27.69,27,20.77,16,12.31,13,10.0,01009
1,10,76,16,21.05,20,26.32,19,25.0,11,14.47,10,13.16,01010
1,11,111,22,19.82,32,28.83,32,28.83,16,14.41,9,8.11,01011
1,12,100,25,25.0,26,26.0,19,19.0,18,18.0,12,12.0,01012
1,13,127,33,25.98,33,25.98,28,22.05,23,18.11,10,7.87,01013
1,14,159,32,20.13,42,26.42,43,27.04,28,17.61,14,8.81,01014
1,15,71,15,21.13,22,30.99,13,18.31,10,14.08,11,15.49,01015
1,16,82,25,30.49,23,28.05,17,20.73,9,10.98,8,9.76,01016
1,17,111,33,29.73,32,28.83,21,18.92,16,14.41,9,8.11,01017
1,18,99,34,34.34,15,15.15,21,21.21,16,16.16,13,13.13,01018
1,19,133,33,24.81,40,30.08,28,21.05,26,19.55,6,4.51,01019
1,20,123,44,35.77,19,15.45,34,27.64,16,13.01,10,8.13,01020
1,21,126,35,27.78,29,23.02,32,25.4,17,13.49,13,10.32,01021
1,22,105,38,36.19,25,23.81,23,21.9,10,9.52,9,8.57,01022
1,23,116,19,16.38,30,25.86,22,18.97,30,25.86,15,12.93,01023
1,24,198,43,21.72,51,25.76,50,25.25,43,21.72,11,5.56,01024
1,25,93,30,32.26,21,22.58,19,20.43,16,17.2,7,7.53,01025
1,26,109,29,26.61,29,26.61,19,17.43,17,15.6,15,13.76,01026
1,27,100,30,30.0,25,25.0,17,17.0,20,20.0,8,8.0,01027
1,28,132,30,22.73,36,27.27,34,25.76,19,14.39,13,9.85,01028
1,29,87,26,29.89,21,24.14,16,18.39,19,21.84,5,5.75,01029
1,30,174,45,25.86,36,20.69,37,21.26,37,21.26,19,10.92,01030
1,31,53,16,30.19,12,22.64,11,20.75,12,22.64,2,3.77,01031
1,32,80,17,21.25,24,30.0,19,23.75,15,18.75,5,6.25,01032
1,33,113,25,22.12,39,34.51,31,27.43,13,11.5,5,4.42,01033
1,34,69,11,15.94,15,21.74,15,21.74,18,26.09,10,14.49,01034
1,35,52,11,21.15,14,26.92,10,19.23,14,26.92,3,5.77,01035
1,36,105,16,15.24,30,28.57,30,28.57,20,19.05,9,8.57,01036
1,37,114,24,21.05,21,18.42,28,24.56,33,28.95,8,7.02,01037
1,38,62,12,19.35,21,33.87,15,24.19,6,9.68,8,12.9,01038
1,39,153,33,21.57,46,30.07,36,23.53,25,16.34,13,8.5,01039
1,40,44,8,18.18,17,38.64,9,20.45,9,20.45,1,2.27,01040
2,1,163,22,13.5,64,39.26,29,17.79,25,15.34,23,14.11,02001
2,2,8,2,25.0,0,0.0,0,0.0,2,25.0,4,50.0,02002
2,3,96,16,16.67,28,29.17,21,21.88,17,17.71,14,14.58,02003
2,4,102,24,23.53,36,35.29,16,15.69,13,12.75,13,12.75,02004
2,5,74,15,20.27,16,21.62,16,21.62,14,18.92,13,17.57,02005
2,6,73,12,16.44,25,34.25,20,27.4,10,13.7,6,8.22,02006
2,7,210,42,20.0,61,29.05,41,19.52,24,11.43,42,20.0,02007
2,8,175,29,16.57,54,30.86,38,21.71,17,9.71,37,21.14,02008
2,9,109,22,20.18,36,33.03,22,20.18,16,14.68,13,11.93,02009
2,10,39,11,28.21,8,20.51,11,28.21,6,15.38,3,7.69,02010
2,11,85,23,27.06,29,34.12,13,15.29,8,9.41,12,14.12,02011
2,12,80,7,8.75,34,42.5,17,21.25,12,15.0,10,12.5,02012
2,13,121,31,25.62,43,35.54,12,9.92,17,14.05,18,14.88,02013
2,14,264,52,19.7,76,28.79,47,17.8,38,14.39,51,19.32,02014
2,15,30,6,20.0,6,20.0,7,23.33,2,6.67,9,30.0,02015
