ward,precinct,total,Bernard J. Hansen,Bernard J. Hansen Percent,precinct_id
44,1,129,129,100.0,44001
44,2,121,121,100.0,44002
44,3,167,167,100.0,44003
44,4,161,161,100.0,44004
44,5,157,157,100.0,44005
44,6,101,101,100.0,44006
44,7,143,143,100.0,44007
44,8,51,51,100.0,44008
44,9,145,145,100.0,44009
44,10,70,70,100.0,44010
44,11,132,132,100.0,44011
44,12,75,75,100.0,44012
44,13,88,88,100.0,44013
44,14,102,102,100.0,44014
44,15,159,159,100.0,44015
44,16,112,112,100.0,44016
44,17,138,138,100.0,44017
44,18,83,83,100.0,44018
44,19,84,84,100.0,44019
44,20,87,87,100.0,44020
44,21,136,136,100.0,44021
44,22,166,166,100.0,44022
44,23,118,118,100.0,44023
44,24,86,86,100.0,44024
44,25,116,116,100.0,44025
44,26,89,89,100.0,44026
44,27,110,110,100.0,44027
44,28,72,72,100.0,44028
44,29,101,101,100.0,44029
44,30,113,113,100.0,44030
44,31,113,113,100.0,44031
44,32,79,79,100.0,44032
44,33,189,189,100.0,44033
44,34,94,94,100.0,44034
44,35,105,105,100.0,44035
44,36,95,95,100.0,44036
44,37,182,182,100.0,44037
44,38,101,101,100.0,44038
44,39,89,89,100.0,44039
44,40,116,116,100.0,44040
44,41,106,106,100.0,44041
44,42,134,134,100.0,44042
44,43,128,128,100.0,44043
44,44,165,165,100.0,44044
44,45,141,141,100.0,44045
44,46,85,85,100.0,44046
44,47,147,147,100.0,44047
44,48,97,97,100.0,44048
44,49,253,253,100.0,44049
44,50,117,117,100.0,44050
