ward,precinct,total,Robin Flanagan (Kucinich),Robin Flanagan (Kucinich) Percent,Geraldine M. McPartlin (Dean),Geraldine M. McPartlin (Dean) Percent,Sarah Alipourian (Gephardt),Sarah Alipourian (Gephardt) Percent,Renae Ogletree (Edwards),Renae Ogletree (Edwards) Percent,Margaret Cushing (Clark),Margaret Cushing (Clark) Percent,Shanna S Jafri (Kerry),Shanna S Jafri (Kerry) Percent,precinct_id
1,7,15,1,6.67,1,6.67,1,6.67,2,13.33,0,0.0,10,66.67,01007
1,28,54,6,11.11,8,14.81,4,7.41,6,11.11,3,5.56,27,50.0,01028
29,2,92,14,15.22,16,17.39,4,4.35,14,15.22,9,9.78,35,38.04,29002
29,9,49,11,22.45,6,12.24,3,6.12,5,10.2,4,8.16,20,40.82,29009
29,24,47,11,23.4,5,10.64,2,4.26,5,10.64,4,8.51,20,42.55,29024
29,32,88,19,21.59,7,7.95,8,9.09,8,9.09,15,17.05,31,35.23,29032
29,53,73,11,15.07,7,9.59,6,8.22,5,6.85,11,15.07,33,45.21,29053
29,54,89,14,15.73,15,16.85,10,11.24,10,11.24,5,5.62,35,39.33,29054
30,1,101,12,11.88,7,6.93,1,0.99,12,11.88,11,10.89,58,57.43,30001
30,2,60,14,23.33,10,16.67,4,6.67,1,1.67,8,13.33,23,38.33,30002
30,3,127,27,21.26,15,11.81,12,9.45,7,5.51,1,0.79,65,51.18,30003
30,7,84,14,16.67,10,11.9,7,8.33,7,8.33,9,10.71,37,44.05,30007
30,8,110,18,16.36,13,11.82,9,8.18,6,5.45,9,8.18,55,50.0,30008
30,9,138,24,17.39,15,10.87,11,7.97,15,10.87,12,8.7,61,44.2,30009
30,10,116,22,18.97,14,12.07,8,6.9,10,8.62,14,12.07,48,41.38,30010
30,11,58,10,17.24,5,8.62,1,1.72,11,18.97,5,8.62,26,44.83,30011
30,12,66,13,19.7,5,7.58,4,6.06,9,13.64,8,12.12,27,40.91,30012
30,13,53,12,22.64,5,9.43,4,7.55,5,9.43,2,3.77,25,47.17,30013
30,14,32,4,12.5,0,0.0,2,6.25,3,9.38,2,6.25,21,65.63,30014
30,15,105,20,19.05,15,14.29,7,6.67,6,5.71,7,6.67,50,47.62,30015
30,16,67,16,23.88,6,8.96,6,8.96,9,13.43,5,7.46,25,37.31,30016
30,17,61,13,21.31,7,11.48,4,6.56,3,4.92,8,13.11,26,42.62,30017
30,25,13,2,15.38,2,15.38,2,15.38,1,7.69,2,15.38,4,30.77,30025
30,28,76,16,21.05,9,11.84,3,3.95,8,10.53,7,9.21,33,43.42,30028
30,30,104,23,22.12,11,10.58,7,6.73,12,11.54,12,11.54,39,37.5,30030
30,34,95,14,14.74,10,10.53,7,7.37,10,10.53,10,10.53,44,46.32,30034
30,37,57,14,24.56,6,10.53,0,0.0,5,8.77,2,3.51,30,52.63,30037
30,38,132,30,22.73,14,10.61,3,2.27,9,6.82,8,6.06,68,51.52,30038
30,39,82,16,19.51,9,10.98,5,6.1,6,7.32,10,12.2,36,43.9,30039
30,40,84,17,20.24,11,13.1,8,9.52,10,11.9,7,8.33,31,36.9,30040
31,3,67,12,17.91,6,8.96,2,2.99,9,13.43,5,7.46,33,49.25,31003
31,8,56,10,17.86,9,16.07,2,3.57,5,8.93,6,10.71,24,42.86,31008
31,9,87,15,17.24,5,5.75,3,3.45,11,12.64,5,5.75,48,55.17,31009
31,15,36,5,13.89,6,16.67,3,8.33,3,8.33,6,16.67,13,36.11,31015
31,16,26,5,19.23,2,7.69,0,0.0,6,23.08,1,3.85,12,46.15,31016
31,19,59,12,20.34,8,13.56,3,5.08,8,13.56,7,11.86,21,35.59,31019
31,26,30,6,20.0,3,10.0,1,3.33,0,0.0,5,16.67,15,50.0,31026
31,28,67,10,14.93,13,19.4,12,17.91,7,10.45,6,8.96,19,28.36,31028
31,29,67,10,14.93,8,11.94,3,4.48,9,13.43,7,10.45,30,44.78,31029
31,32,81,16,19.75,10,12.35,5,6.17,6,7.41,6,7.41,38,46.91,31032
