ward,precinct,total,Patrick Dennis Riley,Patrick Dennis Riley Percent,Jeanne Marie Reynolds,Jeanne Marie Reynolds Percent,Michelle Jordan,Michelle Jordan Percent,Kathleen Ann Panozzo,Kathleen Ann Panozzo Percent,William Burnett Raines,William Burnett Raines Percent,precinct_id
1,1,117,30,25.64,17,14.53,34,29.06,25,21.37,11,9.4,01001
1,2,128,14,10.94,21,16.41,57,44.53,27,21.09,9,7.03,01002
1,3,80,9,11.25,13,16.25,32,40.0,22,27.5,4,5.0,01003
1,4,117,24,20.51,16,13.68,45,38.46,21,17.95,11,9.4,01004
1,5,97,10,10.31,17,17.53,48,49.48,16,16.49,6,6.19,01005
1,6,90,16,17.78,15,16.67,26,28.89,25,27.78,8,8.89,01006
1,7,120,25,20.83,23,19.17,40,33.33,26,21.67,6,5.0,01007
1,8,113,16,14.16,8,7.08,61,53.98,18,15.93,10,8.85,01008
1,9,134,22,16.42,28,20.9,52,38.81,19,14.18,13,9.7,01009
1,10,76,6,7.89,15,19.74,32,42.11,21,27.63,2,2.63,01010
1,11,109,18,16.51,14,12.84,44,40.37,27,24.77,6,5.5,01011
1,12,96,12,12.5,17,17.71,35,36.46,22,22.92,10,10.42,01012
1,13,131,31,23.66,23,17.56,44,33.59,24,18.32,9,6.87,01013
1,14,149,21,14.09,21,14.09,72,48.32,20,13.42,15,10.07,01014
1,15,67,15,22.39,16,23.88,25,37.31,7,10.45,4,5.97,01015
1,16,89,19,21.35,12,13.48,43,48.31,6,6.74,9,10.11,01016
1,17,109,16,14.68,22,20.18,50,45.87,15,13.76,6,5.5,01017
1,18,104,14,13.46,14,13.46,44,42.31,24,23.08,8,7.69,01018
1,19,129,28,21.71,20,15.5,49,37.98,23,17.83,9,6.98,01019
1,20,107,28,26.17,14,13.08,42,39.25,17,15.89,6,5.61,01020
1,21,120,23,19.17,14,11.67,61,50.83,15,12.5,7,5.83,01021
1,22,99,21,21.21,17,17.17,37,37.37,15,15.15,9,9.09,01022
1,23,114,20,17.54,26,22.81,37,32.46,25,21.93,6,5.26,01023
1,24,193,49,25.39,26,13.47,72,37.31,34,17.62,12,6.22,01024
1,25,90,15,16.67,13,14.44,47,52.22,11,12.22,4,4.44,01025
1,26,107,24,22.43,10,9.35,56,52.34,11,10.28,6,5.61,01026
1,27,100,27,27.0,10,10.0,42,42.0,15,15.0,6,6.0,01027
1,28,131,24,18.32,27,20.61,57,43.51,12,9.16,11,8.4,01028
1,29,85,16,18.82,11,12.94,38,44.71,14,16.47,6,7.06,01029
1,30,171,39,22.81,26,15.2,64,37.43,28,16.37,14,8.19,01030
1,31,53,8,15.09,13,24.53,21,39.62,10,18.87,1,1.89,01031
1,32,75,16,21.33,12,16.0,31,41.33,13,17.33,3,4.0,01032
1,33,114,25,21.93,15,13.16,46,40.35,20,17.54,8,7.02,01033
1,34,67,10,14.93,12,17.91,22,32.84,16,23.88,7,10.45,01034
1,35,48,9,18.75,9,18.75,14,29.17,12,25.0,4,8.33,01035
1,36,106,19,17.92,22,20.75,38,35.85,21,19.81,6,5.66,01036
1,37,110,23,20.91,19,17.27,42,38.18,20,18.18,6,5.45,01037
1,38,63,12,19.05,13,20.63,19,30.16,9,14.29,10,15.87,01038
1,39,153,44,28.76,33,21.57,40,26.14,28,18.3,8,5.23,01039
1,40,46,11,23.91,9,19.57,11,23.91,13,28.26,2,4.35,01040
2,1,153,30,19.61,15,9.8,78,50.98,18,11.76,12,7.84,02001
2,2,8,2,25.0,2,25.0,1,12.5,0,0.0,3,37.5,02002
2,3,95,18,18.95,15,15.79,38,40.0,12,12.63,12,12.63,02003
2,4,117,22,18.8,15,12.82,67,57.26,4,3.42,9,7.69,02004
2,5,89,14,15.73,12,13.48,48,53.93,4,4.49,11,12.36,02005
2,6,71,13,18.31,9,12.68,27,38.03,16,22.54,6,8.45,02006
2,7,228,28,12.28,45,19.74,129,56.58,6,2.63,20,8.77,02007
2,8,170,16,9.41,30,17.65,88,51.76,20,11.76,16,9.41,02008
2,9,115,17,14.78,17,14.78,60,52.17,7,6.09,14,12.17,02009
2,10,50,12,24.0,8,16.0,26,52.0,2,4.0,2,4.0,02010
2,11,80,6,7.5,9,11.25,48,60.0,14,17.5,3,3.75,02011
2,12,71,12,16.9,12,16.9,25,35.21,17,23.94,5,7.04,02012
2,13,126,15,11.9,15,11.9,69,54.76,13,10.32,14,11.11,02013
2,14,268,26,9.7,31,11.57,183,68.28,6,2.24,22,8.21,02014
2,15,35,3,8.57,12,34.29,18,51.43,2,5.71,0,0.0,02015
2,16,92,18,19.57,11,11.96,49,53.26,8,8.7,6,6.52,02016
2,17,132,27,20.45,21,15.91,68,51.52,4,3.03,12,9.09,02017
2,18,256,37,14.45,29,11.33,128,50.0,44,17.19,18,7.03,02018
2,19,93,17,18.28,11,11.83,51,54.84,3,3.23,11,11.83,02019
2,20,165,20,12.12,22,13.33,93,56.36,8,4.85,22,13.33,02020
2,21,173,25,14.45,21,12.14,93,53.76,13,7.51,21,12.14,02021
2,22,245,36,14.69,29,11.84,123,50.2,36,14.69,21,8.57,02022
2,23,109,17,15.6,11,10.09,56,51.38,10,9.17,15,13.76,02023
2,24,87,18,20.69,9,10.34,47,54.02,4,4.6,9,10.34,02024
2,25,77,14,18.18,11,14.29,33,42.86,15,19.48,4,5.19,02025
2,26,159,21,13.21,27,16.98,94,59.12,14,8.81,3,1.89,02026
2,27,104,23,22.12,12,11.54,57,54.81,3,2.88,9,8.65,02027
2,28,40,6,15.0,3,7.5,21,52.5,7,17.5,3,7.5,02028
2,29,61,7,11.48,12,19.67,31,50.82,5,8.2,6,9.84,02029
2,30,103,25,24.27,15,14.56,44,42.72,8,7.77,11,10.68,02030
2,31,174,28,16.09,20,11.49,97,55.75,2,1.15,27,15.52,02031
2,32,87,24,27.59,13,14.94,43,49.43,2,2.3,5,5.75,02032
2,33,92,14,15.22,17,18.48,46,50.0,3,3.26,12,13.04,02033
2,34,165,30,18.18,16,9.7,86,52.12,9,5.45,24,14.55,02034
2,35,40,2,5.0,8,20.0,19,47.5,7,17.5,4,10.0,02035
2,36,79,20,25.32,5,6.33,40,50.63,5,6.33,9,11.39,02036
2,37,149,18,12.08,35,23.49,64,42.95,19,12.75,13,8.72,02037
2,38,174,34,19.54,21,12.07,92,52.87,15,8.62,12,6.9,02038
