ward,precinct,total,Larry McKeon,Larry McKeon Percent,precinct_id
40,1,30,30,100.0,40001
40,2,74,74,100.0,40002
40,9,70,70,100.0,40009
40,10,78,78,100.0,40010
40,14,85,85,100.0,40014
40,15,129,129,100.0,40015
40,18,130,130,100.0,40018
40,19,90,90,100.0,40019
40,21,111,111,100.0,40021
40,22,52,52,100.0,40022
40,23,178,178,100.0,40023
40,24,2,2,100.0,40024
40,25,88,88,100.0,40025
40,33,118,118,100.0,40033
40,35,39,39,100.0,40035
40,36,130,130,100.0,40036
40,39,100,100,100.0,40039
40,40,55,55,100.0,40040
40,41,149,149,100.0,40041
40,42,131,131,100.0,40042
40,43,124,124,100.0,40043
40,44,85,85,100.0,40044
40,45,172,172,100.0,40045
40,46,130,130,100.0,40046
46,2,163,163,100.0,46002
46,4,128,128,100.0,46004
46,6,123,123,100.0,46006
46,7,180,180,100.0,46007
46,8,148,148,100.0,46008
46,9,149,149,100.0,46009
46,11,184,184,100.0,46011
46,12,121,121,100.0,46012
46,14,117,117,100.0,46014
46,16,144,144,100.0,46016
46,19,186,186,100.0,46019
46,20,136,136,100.0,46020
46,21,40,40,100.0,46021
46,22,107,107,100.0,46022
46,23,121,121,100.0,46023
46,25,96,96,100.0,46025
46,26,137,137,100.0,46026
46,27,126,126,100.0,46027
46,32,151,151,100.0,46032
46,34,176,176,100.0,46034
46,35,108,108,100.0,46035
46,38,66,66,100.0,46038
46,39,132,132,100.0,46039
46,40,96,96,100.0,46040
46,41,134,134,100.0,46041
46,42,159,159,100.0,46042
47,5,149,149,100.0,47005
47,10,149,149,100.0,47010
47,11,308,308,100.0,47011
47,19,268,268,100.0,47019
47,20,195,195,100.0,47020
47,22,186,186,100.0,47022
47,23,86,86,100.0,47023
47,26,240,240,100.0,47026
47,28,266,266,100.0,47028
47,30,193,193,100.0,47030
47,31,158,158,100.0,47031
47,32,191,191,100.0,47032
47,33,181,181,100.0,47033
47,34,215,215,100.0,47034
47,36,259,259,100.0,47036
47,37,215,215,100.0,47037
47,38,201,201,100.0,47038
47,39,179,179,100.0,47039
47,41,297,297,100.0,47041
47,45,180,180,100.0,47045
48,4,161,161,100.0,48004
48,17,124,124,100.0,48017
48,21,66,66,100.0,48021
48,23,151,151,100.0,48023
48,24,156,156,100.0,48024
48,25,146,146,100.0,48025
48,34,73,73,100.0,48034
48,35,134,134,100.0,48035
48,40,80,80,100.0,48040
48,49,49,49,100.0,48049
48,55,37,37,100.0,48055
48,56,112,112,100.0,48056
50,34,0,0,0.0,50034
