ward,precinct,total,Jon F. Erickson,Jon F. Erickson Percent,John H. Ehrlich,John H. Ehrlich Percent,Brian M. Collins,Brian M. Collins Percent,Sheryl Ann Pethers,Sheryl Ann Pethers Percent,precinct_id
2,1,149,36,24.16,28,18.79,40,26.85,45,30.2,02001
2,7,211,52,24.64,22,10.43,81,38.39,56,26.54,02007
2,8,178,30,16.85,35,19.66,36,20.22,77,43.26,02008
2,11,80,19,23.75,26,32.5,13,16.25,22,27.5,02011
2,12,0,0,0.0,0,0.0,0,0.0,0,0.0,02012
2,18,247,48,19.43,43,17.41,94,38.06,62,25.1,02018
2,20,5,1,20.0,1,20.0,0,0.0,3,60.0,02020
2,21,158,40,25.32,28,17.72,48,30.38,42,26.58,02021
2,22,243,47,19.34,60,24.69,60,24.69,76,31.28,02022
2,26,150,37,24.67,30,20.0,43,28.67,40,26.67,02026
2,35,40,8,20.0,7,17.5,5,12.5,20,50.0,02035
2,37,146,26,17.81,22,15.07,51,34.93,47,32.19,02037
2,40,174,35,20.11,22,12.64,46,26.44,71,40.8,02040
2,43,182,39,21.43,36,19.78,49,26.92,58,31.87,02043
2,49,108,17,15.74,21,19.44,25,23.15,45,41.67,02049
2,54,155,32,20.65,40,25.81,27,17.42,56,36.13,02054
2,55,30,1,3.33,8,26.67,9,30.0,12,40.0,02055
2,58,54,15,27.78,6,11.11,15,27.78,18,33.33,02058
2,59,157,32,20.38,43,27.39,37,23.57,45,28.66,02059
3,3,79,23,29.11,13,16.46,23,29.11,20,25.32,03003
3,6,98,20,20.41,8,8.16,38,38.78,32,32.65,03006
3,28,69,9,13.04,10,14.49,21,30.43,29,42.03,03028
3,54,94,22,23.4,19,20.21,25,26.6,28,29.79,03054
3,61,106,20,18.87,9,8.49,42,39.62,35,33.02,03061
3,63,66,16,24.24,13,19.7,7,10.61,30,45.45,03063
11,14,85,28,32.94,19,22.35,22,25.88,16,18.82,11014
11,27,13,5,38.46,4,30.77,3,23.08,1,7.69,11027
11,36,26,8,30.77,7,26.92,5,19.23,6,23.08,11036
25,14,74,42,56.76,8,10.81,7,9.46,17,22.97,25014
25,16,97,52,53.61,8,8.25,15,15.46,22,22.68,25016
25,18,252,170,67.46,18,7.14,27,10.71,37,14.68,25018
27,5,21,6,28.57,5,23.81,4,19.05,6,28.57,27005
27,6,78,25,32.05,8,10.26,30,38.46,15,19.23,27006
27,9,216,145,67.13,14,6.48,37,17.13,20,9.26,27009
27,12,30,7,23.33,7,23.33,7,23.33,9,30.0,27012
27,13,25,2,8.0,6,24.0,8,32.0,9,36.0,27013
27,14,60,20,33.33,7,11.67,21,35.0,12,20.0,27014
27,16,33,15,45.45,7,21.21,4,12.12,7,21.21,27016
27,20,179,90,50.28,11,6.15,41,22.91,37,20.67,27020
27,21,65,37,56.92,4,6.15,15,23.08,9,13.85,27021
27,28,96,39,40.63,14,14.58,16,16.67,27,28.13,27028
27,37,32,8,25.0,8,25.0,6,18.75,10,31.25,27037
27,39,82,58,70.73,2,2.44,11,13.41,11,13.41,27039
27,42,64,18,28.13,18,28.13,14,21.88,14,21.88,27042
27,43,92,43,46.74,9,9.78,25,27.17,15,16.3,27043
27,50,108,22,20.37,21,19.44,26,24.07,39,36.11,27050
27,51,98,67,68.37,3,3.06,16,16.33,12,12.24,27051
27,52,36,25,69.44,5,13.89,4,11.11,2,5.56,27052
27,65,24,10,41.67,3,12.5,4,16.67,7,29.17,27065
27,66,64,51,79.69,3,4.69,5,7.81,5,7.81,27066
32,7,59,9,15.25,17,28.81,13,22.03,20,33.9,32007
32,8,113,17,15.04,34,30.09,17,15.04,45,39.82,32008
32,10,72,13,18.06,24,33.33,15,20.83,20,27.78,32010
32,13,44,16,36.36,7,15.91,6,13.64,15,34.09,32013
32,18,81,21,25.93,29,35.8,5,6.17,26,32.1,32018
32,20,25,9,36.0,5,20.0,3,12.0,8,32.0,32020
32,23,124,35,28.23,32,25.81,21,16.94,36,29.03,32023
32,27,40,8,20.0,15,37.5,9,22.5,8,20.0,32027
32,32,92,23,25.0,20,21.74,16,17.39,33,35.87,32032
32,37,105,35,33.33,23,21.9,26,24.76,21,20.0,32037
32,38,91,32,35.16,21,23.08,14,15.38,24,26.37,32038
32,39,110,29,26.36,29,26.36,18,16.36,34,30.91,32039
32,43,97,25,25.77,37,38.14,9,9.28,26,26.8,32043
32,44,71,19,26.76,15,21.13,17,23.94,20,28.17,32044
32,46,2,0,0.0,0,0.0,1,50.0,1,50.0,32046
32,47,109,23,21.1,23,21.1,38,34.86,25,22.94,32047
32,48,105,24,22.86,35,33.33,18,17.14,28,26.67,32048
32,49,72,18,25.0,12,16.67,15,20.83,27,37.5,32049
32,50,116,25,21.55,38,32.76,20,17.24,33,28.45,32050
