ward,precinct,total,Thomas W. Murphy,Thomas W. Murphy Percent,precinct_id
18,1,154,154,100.0,18001
18,2,199,199,100.0,18002
18,3,188,188,100.0,18003
18,4,228,228,100.0,18004
18,5,188,188,100.0,18005
18,6,154,154,100.0,18006
18,7,182,182,100.0,18007
18,8,100,100,100.0,18008
18,9,203,203,100.0,18009
18,10,306,306,100.0,18010
18,11,184,184,100.0,18011
18,12,282,282,100.0,18012
18,13,222,222,100.0,18013
18,14,258,258,100.0,18014
18,15,127,127,100.0,18015
18,16,225,225,100.0,18016
18,17,192,192,100.0,18017
18,18,192,192,100.0,18018
18,19,172,172,100.0,18019
18,20,200,200,100.0,18020
18,21,277,277,100.0,18021
18,22,240,240,100.0,18022
18,23,224,224,100.0,18023
18,24,244,244,100.0,18024
18,25,208,208,100.0,18025
18,26,178,178,100.0,18026
18,27,211,211,100.0,18027
18,28,249,249,100.0,18028
18,29,200,200,100.0,18029
18,30,161,161,100.0,18030
18,31,185,185,100.0,18031
18,32,217,217,100.0,18032
18,33,146,146,100.0,18033
18,34,275,275,100.0,18034
18,35,247,247,100.0,18035
18,36,150,150,100.0,18036
18,37,174,174,100.0,18037
18,38,230,230,100.0,18038
18,39,184,184,100.0,18039
18,40,260,260,100.0,18040
18,41,222,222,100.0,18041
18,42,150,150,100.0,18042
18,43,134,134,100.0,18043
18,44,114,114,100.0,18044
18,45,212,212,100.0,18045
18,46,194,194,100.0,18046
18,47,158,158,100.0,18047
18,48,107,107,100.0,18048
18,49,172,172,100.0,18049
18,50,217,217,100.0,18050
18,51,100,100,100.0,18051
18,52,170,170,100.0,18052
18,53,143,143,100.0,18053
18,54,214,214,100.0,18054
18,55,202,202,100.0,18055
18,56,186,186,100.0,18056
18,57,161,161,100.0,18057
18,58,151,151,100.0,18058
18,59,127,127,100.0,18059
18,60,222,222,100.0,18060
18,61,192,192,100.0,18061
18,62,141,141,100.0,18062
18,63,150,150,100.0,18063
18,64,166,166,100.0,18064
