ward,precinct,total,Arthur L. Turner,Arthur L. Turner Percent,Mary Collins,Mary Collins Percent,precinct_id
2,2,9,4,44.44,5,55.56,02002
2,3,77,35,45.45,42,54.55,02003
2,4,121,56,46.28,65,53.72,02004
2,6,71,33,46.48,38,53.52,02006
2,9,122,48,39.34,74,60.66,02009
2,10,44,18,40.91,26,59.09,02010
2,12,78,28,35.9,50,64.1,02012
2,13,119,69,57.98,50,42.02,02013
2,16,92,39,42.39,53,57.61,02016
2,17,136,82,60.29,54,39.71,02017
2,23,0,0,0.0,0,0.0,02023
2,25,78,28,35.9,50,64.1,02025
2,28,45,13,28.89,32,71.11,02028
2,29,65,24,36.92,41,63.08,02029
2,30,99,29,29.29,70,70.71,02030
2,32,92,30,32.61,62,67.39,02032
2,33,100,51,51.0,49,49.0,02033
2,34,219,142,64.84,77,35.16,02034
2,36,79,36,45.57,43,54.43,02036
2,38,181,99,54.7,82,45.3,02038
2,39,145,61,42.07,84,57.93,02039
2,41,96,40,41.67,56,58.33,02041
2,42,52,27,51.92,25,48.08,02042
2,49,0,0,0.0,0,0.0,02049
2,50,105,29,27.62,76,72.38,02050
2,51,144,72,50.0,72,50.0,02051
11,50,0,0,0.0,0,0.0,11050
12,7,0,0,0.0,0,0.0,12007
22,7,175,136,77.71,39,22.29,22007
22,19,133,105,78.95,28,21.05,22019
22,21,203,173,85.22,30,14.78,22021
24,1,148,106,71.62,42,28.38,24001
24,2,155,102,65.81,53,34.19,24002
24,3,180,131,72.78,49,27.22,24003
24,4,136,81,59.56,55,40.44,24004
24,5,133,99,74.44,34,25.56,24005
24,6,196,168,85.71,28,14.29,24006
24,8,154,115,74.68,39,25.32,24008
24,9,169,126,74.56,43,25.44,24009
24,10,141,93,65.96,48,34.04,24010
24,11,80,63,78.75,17,21.25,24011
24,12,128,93,72.66,35,27.34,24012
24,13,130,102,78.46,28,21.54,24013
24,14,231,182,78.79,49,21.21,24014
24,15,133,113,84.96,20,15.04,24015
24,17,151,107,70.86,44,29.14,24017
24,19,119,73,61.34,46,38.66,24019
24,20,184,124,67.39,60,32.61,24020
24,21,121,89,73.55,32,26.45,24021
24,22,170,139,81.76,31,18.24,24022
24,23,156,106,67.95,50,32.05,24023
24,24,121,90,74.38,31,25.62,24024
24,25,157,125,79.62,32,20.38,24025
24,26,217,176,81.11,41,18.89,24026
24,27,113,72,63.72,41,36.28,24027
24,28,214,190,88.79,24,11.21,24028
24,29,17,11,64.71,6,35.29,24029
24,30,149,115,77.18,34,22.82,24030
24,31,154,130,84.42,24,15.58,24031
24,32,166,108,65.06,58,34.94,24032
24,34,145,100,68.97,45,31.03,24034
24,35,201,125,62.19,76,37.81,24035
24,36,152,118,77.63,34,22.37,24036
24,37,185,146,78.92,39,21.08,24037
24,38,176,127,72.16,49,27.84,24038
24,39,157,103,65.61,54,34.39,24039
24,40,245,217,88.57,28,11.43,24040
24,42,126,91,72.22,35,27.78,24042
24,43,176,127,72.16,49,27.84,24043
24,44,47,42,89.36,5,10.64,24044
24,45,136,100,73.53,36,26.47,24045
24,47,135,101,74.81,34,25.19,24047
24,48,78,43,55.13,35,44.87,24048
24,49,226,149,65.93,77,34.07,24049
24,50,248,154,62.1,94,37.9,24050
24,51,233,159,68.24,74,31.76,24051
24,52,154,92,59.74,62,40.26,24052
24,53,172,89,51.74,83,48.26,24053
24,54,149,108,72.48,41,27.52,24054
24,56,202,169,83.66,33,16.34,24056
24,58,189,155,82.01,34,17.99,24058
25,3,58,20,34.48,38,65.52,25003
25,4,176,81,46.02,95,53.98,25004
25,6,87,35,40.23,52,59.77,25006
25,9,0,0,0.0,0,0.0,25009
25,10,80,44,55.0,36,45.0,25010
25,12,139,37,26.62,102,73.38,25012
25,18,64,22,34.38,42,65.63,25018
25,21,120,52,43.33,68,56.67,25021
25,25,118,59,50.0,59,50.0,25025
25,26,101,35,34.65,66,65.35,25026
25,27,117,66,56.41,51,43.59,25027
25,28,174,81,46.55,93,53.45,25028
25,29,108,48,44.44,60,55.56,25029
25,31,85,27,31.76,58,68.24,25031
27,1,54,19,35.19,35,64.81,27001
27,7,82,28,34.15,54,65.85,27007
27,17,54,22,40.74,32,59.26,27017
27,18,0,0,0.0,0,0.0,27018
27,50,20,8,40.0,12,60.0,27050
27,54,71,29,40.85,42,59.15,27054
27,57,62,24,38.71,38,61.29,27057
27,58,112,50,44.64,62,55.36,27058
28,34,13,7,53.85,6,46.15,28034
28,35,97,42,43.3,55,56.7,28035
28,39,22,10,45.45,12,54.55,28039
28,52,107,56,52.34,51,47.66,28052
28,53,51,25,49.02,26,50.98,28053
28,54,96,42,43.75,54,56.25,28054
28,69,8,0,0.0,8,100.0,28069
28,73,46,21,45.65,25,54.35,28073
42,9,44,22,50.0,22,50.0,42009
42,12,75,34,45.33,41,54.67,42012
42,14,102,35,34.31,67,65.69,42014
42,18,105,47,44.76,58,55.24,42018
42,21,49,19,38.78,30,61.22,42021
42,67,68,26,38.24,42,61.76,42067
42,68,106,36,33.96,70,66.04,42068
42,69,147,61,41.5,86,58.5,42069
