ward,precinct,total,Harry Osterman,Harry Osterman Percent,precinct_id
40,3,128,128,100.0,40003
40,4,143,143,100.0,40004
40,7,118,118,100.0,40007
40,11,121,121,100.0,40011
40,12,111,111,100.0,40012
40,13,151,151,100.0,40013
40,16,207,207,100.0,40016
40,26,168,168,100.0,40026
40,27,102,102,100.0,40027
40,28,114,114,100.0,40028
40,35,77,77,100.0,40035
40,37,97,97,100.0,40037
40,42,19,19,100.0,40042
40,43,19,19,100.0,40043
40,47,158,158,100.0,40047
48,1,195,195,100.0,48001
48,2,143,143,100.0,48002
48,3,208,208,100.0,48003
48,5,140,140,100.0,48005
48,6,205,205,100.0,48006
48,7,155,155,100.0,48007
48,8,116,116,100.0,48008
48,9,160,160,100.0,48009
48,10,120,120,100.0,48010
48,11,231,231,100.0,48011
48,12,142,142,100.0,48012
48,13,116,116,100.0,48013
48,14,204,204,100.0,48014
48,15,121,121,100.0,48015
48,16,148,148,100.0,48016
48,18,136,136,100.0,48018
48,19,186,186,100.0,48019
48,20,77,77,100.0,48020
48,22,226,226,100.0,48022
48,26,172,172,100.0,48026
48,27,87,87,100.0,48027
48,28,162,162,100.0,48028
48,29,167,167,100.0,48029
48,30,182,182,100.0,48030
48,31,134,134,100.0,48031
48,32,159,159,100.0,48032
48,33,138,138,100.0,48033
48,36,139,139,100.0,48036
48,37,130,130,100.0,48037
48,38,216,216,100.0,48038
48,39,128,128,100.0,48039
48,41,89,89,100.0,48041
48,42,146,146,100.0,48042
48,43,174,174,100.0,48043
48,44,152,152,100.0,48044
48,45,129,129,100.0,48045
48,46,112,112,100.0,48046
48,47,120,120,100.0,48047
48,48,151,151,100.0,48048
48,50,184,184,100.0,48050
48,51,234,234,100.0,48051
48,52,104,104,100.0,48052
48,53,136,136,100.0,48053
48,54,112,112,100.0,48054
49,2,149,149,100.0,49002
49,3,100,100,100.0,49003
49,4,70,70,100.0,49004
49,7,109,109,100.0,49007
49,8,139,139,100.0,49008
49,9,127,127,100.0,49009
49,10,128,128,100.0,49010
49,11,87,87,100.0,49011
49,12,145,145,100.0,49012
49,13,179,179,100.0,49013
49,15,84,84,100.0,49015
49,17,19,19,100.0,49017
49,18,98,98,100.0,49018
49,19,119,119,100.0,49019
49,21,101,101,100.0,49021
49,22,129,129,100.0,49022
49,23,100,100,100.0,49023
49,24,51,51,100.0,49024
49,25,149,149,100.0,49025
49,26,143,143,100.0,49026
49,27,180,180,100.0,49027
49,29,156,156,100.0,49029
49,31,50,50,100.0,49031
49,32,109,109,100.0,49032
49,33,137,137,100.0,49033
49,36,195,195,100.0,49036
49,37,73,73,100.0,49037
49,39,106,106,100.0,49039
49,42,142,142,100.0,49042
49,43,147,147,100.0,49043
50,34,0,0,0.0,50034
