ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,Jeffrey K. Holewinski,Jeffrey K. Holewinski Percent,precinct_id
36,6,100,70,70.0,30,30.0,36006
36,13,43,33,76.74,10,23.26,36013
36,26,147,98,66.67,49,33.33,36026
36,41,44,36,81.82,8,18.18,36041
36,43,127,87,68.5,40,31.5,36043
38,1,161,116,72.05,45,27.95,38001
38,2,103,46,44.66,57,55.34,38002
38,4,63,39,61.9,24,38.1,38004
38,5,12,8,66.67,4,33.33,38005
38,6,101,55,54.46,46,45.54,38006
38,8,89,58,65.17,31,34.83,38008
38,9,114,83,72.81,31,27.19,38009
38,11,96,64,66.67,32,33.33,38011
38,12,149,81,54.36,68,45.64,38012
38,13,113,61,53.98,52,46.02,38013
38,14,102,68,66.67,34,33.33,38014
38,15,114,85,74.56,29,25.44,38015
38,17,115,67,58.26,48,41.74,38017
38,18,131,92,70.23,39,29.77,38018
38,19,151,94,62.25,57,37.75,38019
38,21,123,78,63.41,45,36.59,38021
38,22,136,101,74.26,35,25.74,38022
38,23,89,58,65.17,31,34.83,38023
38,25,101,60,59.41,41,40.59,38025
38,26,96,63,65.63,33,34.38,38026
38,27,64,36,56.25,28,43.75,38027
38,28,89,57,64.04,32,35.96,38028
38,29,91,51,56.04,40,43.96,38029
38,30,108,67,62.04,41,37.96,38030
38,31,143,79,55.24,64,44.76,38031
38,32,153,96,62.75,57,37.25,38032
38,33,106,78,73.58,28,26.42,38033
38,35,148,95,64.19,53,35.81,38035
38,36,121,68,56.2,53,43.8,38036
38,37,129,66,51.16,63,48.84,38037
38,39,146,77,52.74,69,47.26,38039
38,40,97,64,65.98,33,34.02,38040
38,41,211,144,68.25,67,31.75,38041
38,42,178,141,79.21,37,20.79,38042
38,43,147,87,59.18,60,40.82,38043
38,44,128,88,68.75,40,31.25,38044
38,45,120,83,69.17,37,30.83,38045
38,46,112,67,59.82,45,40.18,38046
38,47,127,72,56.69,55,43.31,38047
38,48,139,97,69.78,42,30.22,38048
38,49,96,65,67.71,31,32.29,38049
38,50,136,102,75.0,34,25.0,38050
38,51,100,65,65.0,35,35.0,38051
38,52,136,89,65.44,47,34.56,38052
41,65,175,110,62.86,65,37.14,41065
45,1,120,85,70.83,35,29.17,45001
45,2,106,71,66.98,35,33.02,45002
45,3,292,262,89.73,30,10.27,45003
45,6,173,136,78.61,37,21.39,45006
45,7,125,80,64.0,45,36.0,45007
45,8,135,90,66.67,45,33.33,45008
45,9,186,153,82.26,33,17.74,45009
45,11,152,112,73.68,40,26.32,45011
45,13,288,257,89.24,31,10.76,45013
45,15,227,167,73.57,60,26.43,45015
45,16,187,128,68.45,59,31.55,45016
45,17,199,155,77.89,44,22.11,45017
45,18,196,160,81.63,36,18.37,45018
45,19,190,146,76.84,44,23.16,45019
45,20,166,118,71.08,48,28.92,45020
45,21,146,93,63.7,53,36.3,45021
45,22,129,86,66.67,43,33.33,45022
45,23,174,123,70.69,51,29.31,45023
45,25,216,162,75.0,54,25.0,45025
45,26,212,168,79.25,44,20.75,45026
45,27,163,127,77.91,36,22.09,45027
45,28,178,96,53.93,82,46.07,45028
45,29,178,124,69.66,54,30.34,45029
45,30,200,164,82.0,36,18.0,45030
45,31,153,116,75.82,37,24.18,45031
45,32,107,72,67.29,35,32.71,45032
45,33,168,119,70.83,49,29.17,45033
45,34,129,88,68.22,41,31.78,45034
45,35,155,117,75.48,38,24.52,45035
45,37,149,106,71.14,43,28.86,45037
45,38,218,169,77.52,49,22.48,45038
45,39,204,152,74.51,52,25.49,45039
45,40,244,180,73.77,64,26.23,45040
45,41,114,87,76.32,27,23.68,45041
45,42,197,148,75.13,49,24.87,45042
45,43,157,118,75.16,39,24.84,45043
45,44,193,143,74.09,50,25.91,45044
45,45,136,87,63.97,49,36.03,45045
45,46,203,140,68.97,63,31.03,45046
45,47,176,137,77.84,39,22.16,45047
45,48,173,131,75.72,42,24.28,45048
45,49,145,115,79.31,30,20.69,45049
45,50,127,83,65.35,44,34.65,45050
45,51,147,108,73.47,39,26.53,45051
45,52,163,129,79.14,34,20.86,45052
45,53,136,98,72.06,38,27.94,45053
