ward,precinct,total,John P. Daley,John P. Daley Percent,precinct_id
11,1,184,184,100.0,11001
11,2,158,158,100.0,11002
11,3,136,136,100.0,11003
11,4,237,237,100.0,11004
11,5,99,99,100.0,11005
11,6,221,221,100.0,11006
11,7,182,182,100.0,11007
11,8,181,181,100.0,11008
11,9,190,190,100.0,11009
11,10,140,140,100.0,11010
11,11,211,211,100.0,11011
11,12,260,260,100.0,11012
11,13,192,192,100.0,11013
11,14,172,172,100.0,11014
11,15,136,136,100.0,11015
11,16,200,200,100.0,11016
11,17,202,202,100.0,11017
11,18,106,106,100.0,11018
11,19,143,143,100.0,11019
11,20,184,184,100.0,11020
11,21,226,226,100.0,11021
11,22,173,173,100.0,11022
11,23,167,167,100.0,11023
11,24,421,421,100.0,11024
11,25,132,132,100.0,11025
11,26,221,221,100.0,11026
11,27,162,162,100.0,11027
11,28,172,172,100.0,11028
11,29,245,245,100.0,11029
11,30,170,170,100.0,11030
11,31,173,173,100.0,11031
11,32,168,168,100.0,11032
11,33,143,143,100.0,11033
11,34,119,119,100.0,11034
11,35,266,266,100.0,11035
11,36,57,57,100.0,11036
11,37,221,221,100.0,11037
11,38,308,308,100.0,11038
11,39,315,315,100.0,11039
11,40,124,124,100.0,11040
11,41,130,130,100.0,11041
11,42,157,157,100.0,11042
11,43,209,209,100.0,11043
11,44,173,173,100.0,11044
11,45,86,86,100.0,11045
11,46,144,144,100.0,11046
11,47,185,185,100.0,11047
11,48,91,91,100.0,11048
11,49,181,181,100.0,11049
11,50,150,150,100.0,11050
