ward,precinct,total,Henry M. Singer,Henry M. Singer Percent,Timothy D. Nimrod,Timothy D. Nimrod Percent,Jeanne R. Cleveland Bernstein,Jeanne R. Cleveland Bernstein Percent,Michael Alan Strom,Michael Alan Strom Percent,Siobhan Maura Murphy,Siobhan Maura Murphy Percent,Richard H. Marcus,Richard H. Marcus Percent,precinct_id
39,32,223,169,75.78,18,8.07,13,5.83,6,2.69,8,3.59,9,4.04,39032
39,41,33,20,60.61,4,12.12,4,12.12,3,9.09,0,0.0,2,6.06,39041
40,9,80,17,21.25,18,22.5,20,25.0,9,11.25,4,5.0,12,15.0,40009
40,12,107,23,21.5,15,14.02,42,39.25,9,8.41,9,8.41,9,8.41,40012
40,13,154,22,14.29,17,11.04,65,42.21,18,11.69,22,14.29,10,6.49,40013
40,18,118,26,22.03,4,3.39,43,36.44,10,8.47,20,16.95,15,12.71,40018
40,26,164,22,13.41,15,9.15,79,48.17,22,13.41,18,10.98,8,4.88,40026
40,27,102,27,26.47,9,8.82,27,26.47,12,11.76,16,15.69,11,10.78,40027
40,28,115,27,23.48,14,12.17,40,34.78,11,9.57,11,9.57,12,10.43,40028
40,35,116,32,27.59,11,9.48,34,29.31,12,10.34,20,17.24,7,6.03,40035
40,37,87,25,28.74,12,13.79,27,31.03,8,9.2,6,6.9,9,10.34,40037
40,39,100,24,24.0,14,14.0,37,37.0,7,7.0,12,12.0,6,6.0,40039
40,47,144,17,11.81,25,17.36,54,37.5,14,9.72,23,15.97,11,7.64,40047
41,47,140,23,16.43,23,16.43,19,13.57,13,9.29,53,37.86,9,6.43,41047
41,54,140,25,17.86,16,11.43,7,5.0,21,15.0,65,46.43,6,4.29,41054
41,67,101,16,15.84,10,9.9,22,21.78,12,11.88,30,29.7,11,10.89,41067
41,69,108,17,15.74,13,12.04,18,16.67,10,9.26,44,40.74,6,5.56,41069
41,70,132,15,11.36,4,3.03,8,6.06,6,4.55,94,71.21,5,3.79,41070
41,71,84,12,14.29,3,3.57,15,17.86,10,11.9,35,41.67,9,10.71,41071
45,5,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,45005
48,2,129,33,25.58,11,8.53,35,27.13,13,10.08,21,16.28,16,12.4,48002
48,13,107,38,35.51,9,8.41,30,28.04,7,6.54,11,10.28,12,11.21,48013
48,22,190,53,27.89,20,10.53,61,32.11,15,7.89,11,5.79,30,15.79,48022
48,32,94,14,14.89,16,17.02,35,37.23,10,10.64,7,7.45,12,12.77,48032
48,33,128,26,20.31,11,8.59,48,37.5,14,10.94,13,10.16,16,12.5,48033
48,41,79,22,27.85,5,6.33,22,27.85,8,10.13,9,11.39,13,16.46,48041
48,53,128,20,15.63,13,10.16,40,31.25,14,10.94,24,18.75,17,13.28,48053
48,54,95,23,24.21,12,12.63,30,31.58,7,7.37,10,10.53,13,13.68,48054
49,1,173,40,23.12,12,6.94,77,44.51,14,8.09,8,4.62,22,12.72,49001
49,2,149,53,35.57,13,8.72,38,25.5,19,12.75,11,7.38,15,10.07,49002
49,3,101,17,16.83,10,9.9,43,42.57,17,16.83,6,5.94,8,7.92,49003
49,4,71,11,15.49,9,12.68,29,40.85,3,4.23,9,12.68,10,14.08,49004
49,5,161,44,27.33,14,8.7,61,37.89,20,12.42,14,8.7,8,4.97,49005
49,6,158,22,13.92,11,6.96,83,52.53,16,10.13,18,11.39,8,5.06,49006
49,7,109,11,10.09,9,8.26,44,40.37,27,24.77,9,8.26,9,8.26,49007
49,8,136,30,22.06,10,7.35,39,28.68,25,18.38,17,12.5,15,11.03,49008
49,9,125,14,11.2,24,19.2,48,38.4,14,11.2,13,10.4,12,9.6,49009
49,10,127,16,12.6,8,6.3,73,57.48,12,9.45,11,8.66,7,5.51,49010
49,11,87,24,27.59,5,5.75,32,36.78,8,9.2,11,12.64,7,8.05,49011
49,12,150,17,11.33,13,8.67,66,44.0,26,17.33,17,11.33,11,7.33,49012
49,13,172,27,15.7,18,10.47,90,52.33,14,8.14,14,8.14,9,5.23,49013
49,14,129,26,20.16,10,7.75,62,48.06,13,10.08,9,6.98,9,6.98,49014
49,15,85,13,15.29,6,7.06,35,41.18,12,14.12,9,10.59,10,11.76,49015
49,16,115,18,15.65,7,6.09,47,40.87,28,24.35,10,8.7,5,4.35,49016
49,18,102,18,17.65,13,12.75,46,45.1,16,15.69,4,3.92,5,4.9,49018
49,19,121,19,15.7,10,8.26,58,47.93,10,8.26,14,11.57,10,8.26,49019
49,20,174,28,16.09,14,8.05,62,35.63,31,17.82,21,12.07,18,10.34,49020
49,21,94,10,10.64,14,14.89,23,24.47,24,25.53,20,21.28,3,3.19,49021
49,22,123,22,17.89,8,6.5,57,46.34,18,14.63,10,8.13,8,6.5,49022
49,23,92,24,26.09,5,5.43,32,34.78,10,10.87,11,11.96,10,10.87,49023
49,24,48,11,22.92,5,10.42,17,35.42,5,10.42,4,8.33,6,12.5,49024
49,25,136,25,18.38,13,9.56,57,41.91,10,7.35,27,19.85,4,2.94,49025
49,26,142,41,28.87,7,4.93,55,38.73,16,11.27,8,5.63,15,10.56,49026
49,27,173,17,9.83,13,7.51,81,46.82,23,13.29,17,9.83,22,12.72,49027
49,28,108,20,18.52,8,7.41,47,43.52,12,11.11,8,7.41,13,12.04,49028
49,29,143,21,14.69,24,16.78,54,37.76,14,9.79,17,11.89,13,9.09,49029
49,30,140,25,17.86,13,9.29,55,39.29,19,13.57,14,10.0,14,10.0,49030
49,31,49,8,16.33,6,12.24,24,48.98,7,14.29,3,6.12,1,2.04,49031
49,32,115,18,15.65,7,6.09,50,43.48,24,20.87,13,11.3,3,2.61,49032
49,33,144,16,11.11,14,9.72,41,28.47,57,39.58,5,3.47,11,7.64,49033
49,34,128,24,18.75,13,10.16,53,41.41,17,13.28,8,6.25,13,10.16,49034
49,35,184,36,19.57,24,13.04,51,27.72,31,16.85,20,10.87,22,11.96,49035
49,36,184,23,12.5,19,10.33,76,41.3,21,11.41,27,14.67,18,9.78,49036
49,37,82,24,29.27,7,8.54,22,26.83,12,14.63,11,13.41,6,7.32,49037
49,38,97,20,20.62,5,5.15,47,48.45,6,6.19,5,5.15,14,14.43,49038
49,39,103,12,11.65,12,11.65,44,42.72,13,12.62,8,7.77,14,13.59,49039
49,40,122,25,20.49,17,13.93,48,39.34,6,4.92,13,10.66,13,10.66,49040
49,41,140,27,19.29,18,12.86,51,36.43,13,9.29,19,13.57,12,8.57,49041
49,42,142,31,21.83,17,11.97,48,33.8,18,12.68,13,9.15,15,10.56,49042
49,43,138,13,9.42,13,9.42,59,42.75,21,15.22,11,7.97,21,15.22,49043
49,44,150,38,25.33,15,10.0,53,35.33,21,14.0,12,8.0,11,7.33,49044
50,1,235,147,62.55,17,7.23,31,13.19,26,11.06,2,0.85,12,5.11,50001
50,2,185,88,47.57,22,11.89,35,18.92,16,8.65,10,5.41,14,7.57,50002
50,3,167,101,60.48,11,6.59,18,10.78,11,6.59,12,7.19,14,8.38,50003
50,4,141,81,57.45,7,4.96,21,14.89,17,12.06,7,4.96,8,5.67,50004
50,5,171,120,70.18,5,2.92,20,11.7,9,5.26,6,3.51,11,6.43,50005
50,6,119,51,42.86,13,10.92,30,25.21,8,6.72,10,8.4,7,5.88,50006
50,7,206,72,34.95,26,12.62,50,24.27,31,15.05,21,10.19,6,2.91,50007
50,9,131,51,38.93,9,6.87,26,19.85,23,17.56,10,7.63,12,9.16,50009
50,10,157,111,70.7,5,3.18,22,14.01,8,5.1,4,2.55,7,4.46,50010
50,11,155,119,76.77,2,1.29,16,10.32,4,2.58,8,5.16,6,3.87,50011
50,12,175,136,77.71,1,0.57,14,8.0,10,5.71,2,1.14,12,6.86,50012
50,13,155,65,41.94,12,7.74,26,16.77,19,12.26,13,8.39,20,12.9,50013
50,14,128,94,73.44,3,2.34,24,18.75,0,0.0,0,0.0,7,5.47,50014
50,15,182,70,38.46,18,9.89,57,31.32,16,8.79,15,8.24,6,3.3,50015
50,16,121,70,57.85,4,3.31,20,16.53,17,14.05,2,1.65,8,6.61,50016
50,17,126,78,61.9,9,7.14,25,19.84,2,1.59,5,3.97,7,5.56,50017
50,18,142,72,50.7,7,4.93,30,21.13,14,9.86,9,6.34,10,7.04,50018
50,19,121,59,48.76,11,9.09,23,19.01,12,9.92,9,7.44,7,5.79,50019
50,20,109,27,24.77,15,13.76,34,31.19,7,6.42,21,19.27,5,4.59,50020
50,21,165,62,37.58,18,10.91,43,26.06,14,8.48,17,10.3,11,6.67,50021
50,22,124,50,40.32,11,8.87,28,22.58,12,9.68,14,11.29,9,7.26,50022
50,24,162,70,43.21,18,11.11,31,19.14,13,8.02,14,8.64,16,9.88,50024
50,25,161,125,77.64,6,3.73,13,8.07,8,4.97,4,2.48,5,3.11,50025
50,26,110,55,50.0,11,10.0,17,15.45,6,5.45,5,4.55,16,14.55,50026
50,27,92,73,79.35,3,3.26,10,10.87,0,0.0,1,1.09,5,5.43,50027
50,28,160,109,68.13,10,6.25,18,11.25,5,3.13,10,6.25,8,5.0,50028
50,30,148,102,68.92,7,4.73,18,12.16,8,5.41,4,2.7,9,6.08,50030
50,31,101,83,82.18,0,0.0,13,12.87,0,0.0,0,0.0,5,4.95,50031
50,32,93,24,25.81,11,11.83,28,30.11,10,10.75,10,10.75,10,10.75,50032
50,33,91,53,58.24,10,10.99,14,15.38,6,6.59,3,3.3,5,5.49,50033
50,34,126,80,63.49,8,6.35,24,19.05,5,3.97,3,2.38,6,4.76,50034
50,35,161,49,30.43,18,11.18,44,27.33,30,18.63,14,8.7,6,3.73,50035
50,36,157,60,38.22,15,9.55,40,25.48,16,10.19,20,12.74,6,3.82,50036
50,37,160,40,25.0,25,15.63,39,24.38,11,6.88,22,13.75,23,14.38,50037
50,38,151,115,76.16,2,1.32,19,12.58,8,5.3,1,0.66,6,3.97,50038
50,39,170,121,71.18,5,2.94,15,8.82,5,2.94,12,7.06,12,7.06,50039
50,40,179,134,74.86,6,3.35,14,7.82,10,5.59,9,5.03,6,3.35,50040
50,41,216,133,61.57,14,6.48,25,11.57,22,10.19,11,5.09,11,5.09,50041
50,42,189,66,34.92,19,10.05,52,27.51,21,11.11,17,8.99,14,7.41,50042
50,43,111,52,46.85,4,3.6,17,15.32,10,9.01,14,12.61,14,12.61,50043
50,44,173,138,79.77,9,5.2,11,6.36,4,2.31,5,2.89,6,3.47,50044
50,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50045
