ward,precinct,total,Theris M. Gabinski,Theris M. Gabinski Percent,precinct_id
32,1,144,144,100.0,32001
32,2,110,110,100.0,32002
32,3,108,108,100.0,32003
32,4,148,148,100.0,32004
32,5,88,88,100.0,32005
32,6,109,109,100.0,32006
32,7,57,57,100.0,32007
32,8,104,104,100.0,32008
32,9,141,141,100.0,32009
32,10,63,63,100.0,32010
32,11,66,66,100.0,32011
32,12,74,74,100.0,32012
32,13,42,42,100.0,32013
32,14,116,116,100.0,32014
32,15,101,101,100.0,32015
32,16,136,136,100.0,32016
32,17,111,111,100.0,32017
32,18,63,63,100.0,32018
32,19,117,117,100.0,32019
32,20,106,106,100.0,32020
32,21,90,90,100.0,32021
32,22,126,126,100.0,32022
32,23,118,118,100.0,32023
32,24,84,84,100.0,32024
32,25,88,88,100.0,32025
32,26,108,108,100.0,32026
32,27,97,97,100.0,32027
32,28,90,90,100.0,32028
32,29,133,133,100.0,32029
32,30,50,50,100.0,32030
32,31,132,132,100.0,32031
32,32,89,89,100.0,32032
32,33,93,93,100.0,32033
32,34,132,132,100.0,32034
32,35,154,154,100.0,32035
32,36,128,128,100.0,32036
32,37,103,103,100.0,32037
32,38,88,88,100.0,32038
32,39,108,108,100.0,32039
32,40,110,110,100.0,32040
32,41,143,143,100.0,32041
32,42,125,125,100.0,32042
32,43,83,83,100.0,32043
32,44,69,69,100.0,32044
32,45,94,94,100.0,32045
32,46,63,63,100.0,32046
32,47,100,100,100.0,32047
32,48,95,95,100.0,32048
32,49,73,73,100.0,32049
32,50,102,102,100.0,32050
32,51,86,86,100.0,32051
32,52,66,66,100.0,32052
