ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,precinct_id
4,1,187,187,100.0,04001
4,2,246,246,100.0,04002
4,3,250,250,100.0,04003
4,4,204,204,100.0,04004
4,5,188,188,100.0,04005
4,6,88,88,100.0,04006
4,7,125,125,100.0,04007
4,8,177,177,100.0,04008
4,9,392,392,100.0,04009
4,10,210,210,100.0,04010
4,11,206,206,100.0,04011
4,12,95,95,100.0,04012
4,13,186,186,100.0,04013
4,14,104,104,100.0,04014
4,15,111,111,100.0,04015
4,16,243,243,100.0,04016
4,17,227,227,100.0,04017
4,18,189,189,100.0,04018
4,19,211,211,100.0,04019
4,20,54,54,100.0,04020
4,21,263,263,100.0,04021
4,22,278,278,100.0,04022
4,23,157,157,100.0,04023
4,24,261,261,100.0,04024
4,25,205,205,100.0,04025
4,26,171,171,100.0,04026
4,27,231,231,100.0,04027
4,28,164,164,100.0,04028
4,29,170,170,100.0,04029
4,30,54,54,100.0,04030
4,31,48,48,100.0,04031
4,32,248,248,100.0,04032
4,33,82,82,100.0,04033
4,34,163,163,100.0,04034
4,35,91,91,100.0,04035
4,36,86,86,100.0,04036
4,37,77,77,100.0,04037
4,38,301,301,100.0,04038
4,39,88,88,100.0,04039
4,40,175,175,100.0,04040
4,41,108,108,100.0,04041
4,42,218,218,100.0,04042
4,43,129,129,100.0,04043
4,44,140,140,100.0,04044
4,45,339,339,100.0,04045
4,46,176,176,100.0,04046
4,47,307,307,100.0,04047
4,48,293,293,100.0,04048
4,49,92,92,100.0,04049
4,50,157,157,100.0,04050
4,51,226,226,100.0,04051
4,52,30,30,100.0,04052
4,53,190,190,100.0,04053
4,54,101,101,100.0,04054
4,55,149,149,100.0,04055
4,56,232,232,100.0,04056
4,57,113,113,100.0,04057
