ward,precinct,total,James Michael McGing,James Michael McGing Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Carolyn Quinn,Carolyn Quinn Percent,precinct_id
1,7,6,1,16.67,4,66.67,1,16.67,01007
30,1,101,19,18.81,40,39.6,42,41.58,30001
30,3,53,7,13.21,38,71.7,8,15.09,30003
30,8,10,1,10.0,8,80.0,1,10.0,30008
30,15,110,23,20.91,55,50.0,32,29.09,30015
32,9,93,14,15.05,33,35.48,46,49.46,32009
32,15,23,5,21.74,10,43.48,8,34.78,32015
32,19,42,8,19.05,17,40.48,17,40.48,32019
32,21,94,21,22.34,39,41.49,34,36.17,32021
32,22,141,25,17.73,42,29.79,74,52.48,32022
32,25,91,23,25.27,33,36.26,35,38.46,32025
33,5,57,11,19.3,35,61.4,11,19.3,33005
33,14,121,26,21.49,64,52.89,31,25.62,33014
33,18,61,6,9.84,34,55.74,21,34.43,33018
33,29,136,18,13.24,76,55.88,42,30.88,33029
33,34,109,10,9.17,65,59.63,34,31.19,33034
35,22,55,7,12.73,18,32.73,30,54.55,35022
35,33,54,12,22.22,22,40.74,20,37.04,35033
38,1,147,47,31.97,61,41.5,39,26.53,38001
38,4,56,13,23.21,30,53.57,13,23.21,38004
38,5,197,48,24.37,82,41.62,67,34.01,38005
38,7,139,41,29.5,60,43.17,38,27.34,38007
38,10,50,9,18.0,23,46.0,18,36.0,38010
38,41,200,82,41.0,75,37.5,43,21.5,38041
38,42,166,85,51.2,56,33.73,25,15.06,38042
39,1,145,44,30.34,54,37.24,47,32.41,39001
39,2,224,79,35.27,79,35.27,66,29.46,39002
39,3,178,76,42.7,45,25.28,57,32.02,39003
39,4,108,35,32.41,39,36.11,34,31.48,39004
39,5,101,25,24.75,42,41.58,34,33.66,39005
39,6,132,26,19.7,63,47.73,43,32.58,39006
39,7,121,51,42.15,46,38.02,24,19.83,39007
39,8,190,75,39.47,70,36.84,45,23.68,39008
39,9,200,94,47.0,70,35.0,36,18.0,39009
39,10,132,46,34.85,54,40.91,32,24.24,39010
39,11,205,92,44.88,69,33.66,44,21.46,39011
39,12,84,19,22.62,40,47.62,25,29.76,39012
39,13,77,26,33.77,19,24.68,32,41.56,39013
39,14,121,47,38.84,45,37.19,29,23.97,39014
39,15,118,46,38.98,47,39.83,25,21.19,39015
