ward,precinct,total,Burton F. Natarus,Burton F. Natarus Percent,Kenneth L. Gillis,Kenneth L. Gillis Percent,precinct_id
42,1,167,108,64.67,59,35.33,42001
42,2,104,55,52.88,49,47.12,42002
42,3,104,62,59.62,42,40.38,42003
42,4,131,72,54.96,59,45.04,42004
42,5,133,61,45.86,72,54.14,42005
42,6,286,163,56.99,123,43.01,42006
42,7,161,107,66.46,54,33.54,42007
42,8,204,126,61.76,78,38.24,42008
42,9,131,61,46.56,70,53.44,42009
42,10,83,43,51.81,40,48.19,42010
42,11,140,95,67.86,45,32.14,42011
42,12,93,77,82.8,16,17.2,42012
42,13,255,134,52.55,121,47.45,42013
42,14,122,87,71.31,35,28.69,42014
42,15,165,47,28.48,118,71.52,42015
42,16,78,56,71.79,22,28.21,42016
42,17,135,67,49.63,68,50.37,42017
42,18,121,72,59.5,49,40.5,42018
42,19,43,28,65.12,15,34.88,42019
42,20,75,44,58.67,31,41.33,42020
42,21,53,36,67.92,17,32.08,42021
42,22,94,68,72.34,26,27.66,42022
42,23,176,104,59.09,72,40.91,42023
42,24,183,110,60.11,73,39.89,42024
42,25,136,50,36.76,86,63.24,42025
42,26,158,93,58.86,65,41.14,42026
42,27,221,165,74.66,56,25.34,42027
42,28,164,77,46.95,87,53.05,42028
42,29,161,90,55.9,71,44.1,42029
42,30,84,49,58.33,35,41.67,42030
42,31,72,49,68.06,23,31.94,42031
42,32,160,75,46.88,85,53.13,42032
42,33,225,120,53.33,105,46.67,42033
42,34,156,95,60.9,61,39.1,42034
42,35,118,62,52.54,56,47.46,42035
42,36,112,77,68.75,35,31.25,42036
42,37,154,89,57.79,65,42.21,42037
42,38,136,74,54.41,62,45.59,42038
42,39,161,130,80.75,31,19.25,42039
42,40,105,38,36.19,67,63.81,42040
42,41,116,65,56.03,51,43.97,42041
42,42,76,45,59.21,31,40.79,42042
42,43,142,66,46.48,76,53.52,42043
42,44,131,77,58.78,54,41.22,42044
42,45,124,67,54.03,57,45.97,42045
42,46,86,55,63.95,31,36.05,42046
42,47,86,47,54.65,39,45.35,42047
42,48,101,51,50.5,50,49.5,42048
42,49,70,50,71.43,20,28.57,42049
42,50,106,42,39.62,64,60.38,42050
42,51,132,60,45.45,72,54.55,42051
42,52,74,39,52.7,35,47.3,42052
42,53,88,65,73.86,23,26.14,42053
42,54,88,48,54.55,40,45.45,42054
42,55,123,68,55.28,55,44.72,42055
42,56,106,62,58.49,44,41.51,42056
42,57,99,72,72.73,27,27.27,42057
42,58,49,27,55.1,22,44.9,42058
42,59,27,7,25.93,20,74.07,42059
42,60,79,53,67.09,26,32.91,42060
42,61,66,22,33.33,44,66.67,42061
42,62,94,47,50.0,47,50.0,42062
42,63,137,81,59.12,56,40.88,42063
42,64,67,41,61.19,26,38.81,42064
42,65,102,59,57.84,43,42.16,42065
42,66,91,53,58.24,38,41.76,42066
42,67,85,48,56.47,37,43.53,42067
42,68,127,74,58.27,53,41.73,42068
42,69,143,78,54.55,65,45.45,42069
