ward,precinct,total,Richard F. Mell,Richard F. Mell Percent,precinct_id
33,1,153,153,100.0,33001
33,2,228,228,100.0,33002
33,3,125,125,100.0,33003
33,4,163,163,100.0,33004
33,5,57,57,100.0,33005
33,6,205,205,100.0,33006
33,7,184,184,100.0,33007
33,8,175,175,100.0,33008
33,9,80,80,100.0,33009
33,10,249,249,100.0,33010
33,11,174,174,100.0,33011
33,12,196,196,100.0,33012
33,13,237,237,100.0,33013
33,14,111,111,100.0,33014
33,15,100,100,100.0,33015
33,16,61,61,100.0,33016
33,17,157,157,100.0,33017
33,18,49,49,100.0,33018
33,19,158,158,100.0,33019
33,20,117,117,100.0,33020
33,21,175,175,100.0,33021
33,22,238,238,100.0,33022
33,23,205,205,100.0,33023
33,24,159,159,100.0,33024
33,25,219,219,100.0,33025
33,26,120,120,100.0,33026
33,27,82,82,100.0,33027
33,28,189,189,100.0,33028
33,29,143,143,100.0,33029
33,30,91,91,100.0,33030
33,31,158,158,100.0,33031
33,32,146,146,100.0,33032
33,33,102,102,100.0,33033
33,34,107,107,100.0,33034
