ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,161,161,100.0,13003
13,18,109,109,100.0,13018
13,20,132,132,100.0,13020
13,31,133,133,100.0,13031
14,1,117,117,100.0,14001
14,2,112,112,100.0,14002
14,3,164,164,100.0,14003
14,4,93,93,100.0,14004
14,5,171,171,100.0,14005
14,6,116,116,100.0,14006
14,9,146,146,100.0,14009
14,11,112,112,100.0,14011
14,13,147,147,100.0,14013
14,15,209,209,100.0,14015
14,24,118,118,100.0,14024
14,25,154,154,100.0,14025
14,27,82,82,100.0,14027
14,28,123,123,100.0,14028
14,32,93,93,100.0,14032
14,34,105,105,100.0,14034
14,35,69,69,100.0,14035
15,1,34,34,100.0,15001
15,10,89,89,100.0,15010
15,16,68,68,100.0,15016
16,17,135,135,100.0,16017
16,32,50,50,100.0,16032
16,39,49,49,100.0,16039
22,2,54,54,100.0,22002
22,3,60,60,100.0,22003
22,4,71,71,100.0,22004
22,5,95,95,100.0,22005
22,6,66,66,100.0,22006
22,10,68,68,100.0,22010
22,12,64,64,100.0,22012
22,13,88,88,100.0,22013
22,14,50,50,100.0,22014
22,16,79,79,100.0,22016
22,17,73,73,100.0,22017
22,18,69,69,100.0,22018
22,20,84,84,100.0,22020
22,23,43,43,100.0,22023
22,24,69,69,100.0,22024
22,25,62,62,100.0,22025
22,26,61,61,100.0,22026
22,27,66,66,100.0,22027
22,28,1,1,100.0,22028
22,30,73,73,100.0,22030
23,5,131,131,100.0,23005
23,6,181,181,100.0,23006
23,7,23,23,100.0,23007
23,9,137,137,100.0,23009
23,10,255,255,100.0,23010
23,14,30,30,100.0,23014
23,24,90,90,100.0,23024
23,25,100,100,100.0,23025
23,29,128,128,100.0,23029
23,31,104,104,100.0,23031
23,32,207,207,100.0,23032
23,33,198,198,100.0,23033
23,37,30,30,100.0,23037
23,41,120,120,100.0,23041
23,50,100,100,100.0,23050
23,51,155,155,100.0,23051
23,53,106,106,100.0,23053
