ward,precinct,total,Ralph C. Capparelli,Ralph C. Capparelli Percent,precinct_id
29,24,5,5,100.0,29024
36,5,92,92,100.0,36005
36,7,76,76,100.0,36007
36,8,117,117,100.0,36008
36,9,97,97,100.0,36009
36,10,89,89,100.0,36010
36,11,159,159,100.0,36011
36,12,75,75,100.0,36012
36,13,142,142,100.0,36013
36,14,111,111,100.0,36014
36,15,75,75,100.0,36015
36,17,101,101,100.0,36017
36,18,151,151,100.0,36018
36,19,175,175,100.0,36019
36,20,149,149,100.0,36020
36,21,182,182,100.0,36021
36,25,79,79,100.0,36025
36,27,66,66,100.0,36027
36,28,79,79,100.0,36028
36,29,92,92,100.0,36029
36,30,123,123,100.0,36030
36,31,125,125,100.0,36031
36,32,128,128,100.0,36032
36,34,75,75,100.0,36034
36,35,134,134,100.0,36035
36,37,80,80,100.0,36037
36,38,70,70,100.0,36038
36,39,108,108,100.0,36039
36,40,119,119,100.0,36040
36,42,96,96,100.0,36042
36,46,91,91,100.0,36046
36,47,74,74,100.0,36047
36,48,103,103,100.0,36048
36,49,130,130,100.0,36049
36,50,95,95,100.0,36050
36,52,87,87,100.0,36052
36,53,4,4,100.0,36053
38,3,83,83,100.0,38003
38,38,128,128,100.0,38038
41,1,78,78,100.0,41001
41,2,172,172,100.0,41002
41,3,78,78,100.0,41003
41,4,117,117,100.0,41004
41,5,136,136,100.0,41005
41,6,110,110,100.0,41006
41,7,159,159,100.0,41007
41,8,121,121,100.0,41008
41,9,95,95,100.0,41009
41,11,80,80,100.0,41011
41,12,133,133,100.0,41012
41,13,27,27,100.0,41013
41,15,71,71,100.0,41015
41,16,130,130,100.0,41016
41,17,132,132,100.0,41017
41,18,95,95,100.0,41018
41,19,97,97,100.0,41019
41,20,169,169,100.0,41020
41,21,123,123,100.0,41021
41,22,103,103,100.0,41022
41,24,78,78,100.0,41024
41,30,100,100,100.0,41030
41,31,130,130,100.0,41031
41,33,84,84,100.0,41033
41,34,79,79,100.0,41034
41,35,111,111,100.0,41035
41,36,114,114,100.0,41036
41,37,116,116,100.0,41037
41,39,66,66,100.0,41039
41,40,113,113,100.0,41040
41,41,107,107,100.0,41041
41,42,93,93,100.0,41042
41,43,91,91,100.0,41043
41,44,95,95,100.0,41044
41,45,99,99,100.0,41045
41,46,109,109,100.0,41046
41,49,99,99,100.0,41049
41,50,111,111,100.0,41050
41,51,88,88,100.0,41051
41,52,131,131,100.0,41052
41,53,114,114,100.0,41053
41,55,68,68,100.0,41055
41,56,115,115,100.0,41056
41,57,98,98,100.0,41057
41,58,71,71,100.0,41058
41,60,79,79,100.0,41060
41,61,143,143,100.0,41061
41,62,105,105,100.0,41062
41,63,117,117,100.0,41063
41,64,132,132,100.0,41064
41,68,108,108,100.0,41068
