ward,precinct,total,Lou Lang,Lou Lang Percent,Michael Charles Moses,Michael Charles Moses Percent,precinct_id
40,8,47,35,74.47,12,25.53,40008
49,28,112,75,66.96,37,33.04,49028
49,38,113,69,61.06,44,38.94,49038
49,40,124,78,62.9,46,37.1,49040
49,41,152,87,57.24,65,42.76,49041
49,44,169,99,58.58,70,41.42,49044
50,1,248,117,47.18,131,52.82,50001
50,2,205,104,50.73,101,49.27,50002
50,3,187,106,56.68,81,43.32,50003
50,4,158,89,56.33,69,43.67,50004
50,5,194,88,45.36,106,54.64,50005
50,6,157,63,40.13,94,59.87,50006
50,7,226,105,46.46,121,53.54,50007
50,8,138,52,37.68,86,62.32,50008
50,9,149,99,66.44,50,33.56,50009
50,10,178,63,35.39,115,64.61,50010
50,11,162,70,43.21,92,56.79,50011
50,12,192,77,40.1,115,59.9,50012
50,13,194,93,47.94,101,52.06,50013
50,14,133,55,41.35,78,58.65,50014
50,15,208,142,68.27,66,31.73,50015
50,16,132,81,61.36,51,38.64,50016
50,17,135,66,48.89,69,51.11,50017
50,18,162,85,52.47,77,47.53,50018
50,19,133,69,51.88,64,48.12,50019
50,20,125,85,68.0,40,32.0,50020
50,21,192,126,65.63,66,34.38,50021
50,22,152,59,38.82,93,61.18,50022
50,23,81,44,54.32,37,45.68,50023
50,24,170,85,50.0,85,50.0,50024
50,25,140,86,61.43,54,38.57,50025
50,26,133,45,33.83,88,66.17,50026
50,27,95,37,38.95,58,61.05,50027
50,28,196,50,25.51,146,74.49,50028
50,29,171,95,55.56,76,44.44,50029
50,30,157,76,48.41,81,51.59,50030
50,31,102,55,53.92,47,46.08,50031
50,32,95,56,58.95,39,41.05,50032
50,33,97,43,44.33,54,55.67,50033
50,34,126,31,24.6,95,75.4,50034
50,35,185,101,54.59,84,45.41,50035
50,36,182,115,63.19,67,36.81,50036
50,37,173,118,68.21,55,31.79,50037
50,38,160,88,55.0,72,45.0,50038
50,39,182,62,34.07,120,65.93,50039
50,40,185,82,44.32,103,55.68,50040
50,41,236,116,49.15,120,50.85,50041
50,42,213,115,53.99,98,46.01,50042
50,43,145,59,40.69,86,59.31,50043
