ward,precinct,total,Michael D. Chandler,Michael D. Chandler Percent,precinct_id
24,1,127,127,100.0,24001
24,2,151,151,100.0,24002
24,3,173,173,100.0,24003
24,4,137,137,100.0,24004
24,5,113,113,100.0,24005
24,6,174,174,100.0,24006
24,7,158,158,100.0,24007
24,8,139,139,100.0,24008
24,9,161,161,100.0,24009
24,10,118,118,100.0,24010
24,11,67,67,100.0,24011
24,12,105,105,100.0,24012
24,13,116,116,100.0,24013
24,14,224,224,100.0,24014
24,15,115,115,100.0,24015
24,16,114,114,100.0,24016
24,17,151,151,100.0,24017
24,18,118,118,100.0,24018
24,19,103,103,100.0,24019
24,20,175,175,100.0,24020
24,21,111,111,100.0,24021
24,22,145,145,100.0,24022
24,23,158,158,100.0,24023
24,24,113,113,100.0,24024
24,25,142,142,100.0,24025
24,26,197,197,100.0,24026
24,27,98,98,100.0,24027
24,28,190,190,100.0,24028
24,29,164,164,100.0,24029
24,30,129,129,100.0,24030
24,31,122,122,100.0,24031
24,32,168,168,100.0,24032
24,33,104,104,100.0,24033
24,34,124,124,100.0,24034
24,35,180,180,100.0,24035
24,36,136,136,100.0,24036
24,37,167,167,100.0,24037
24,38,160,160,100.0,24038
24,39,149,149,100.0,24039
24,40,207,207,100.0,24040
24,41,121,121,100.0,24041
24,42,123,123,100.0,24042
24,43,187,187,100.0,24043
24,44,42,42,100.0,24044
24,45,116,116,100.0,24045
24,46,155,155,100.0,24046
24,47,124,124,100.0,24047
24,48,70,70,100.0,24048
24,49,207,207,100.0,24049
24,50,230,230,100.0,24050
24,51,207,207,100.0,24051
24,52,139,139,100.0,24052
24,53,161,161,100.0,24053
24,54,127,127,100.0,24054
24,55,72,72,100.0,24055
24,56,174,174,100.0,24056
24,57,98,98,100.0,24057
24,58,166,166,100.0,24058
24,59,81,81,100.0,24059
