ward,precinct,total,Charles G. Morrow III,Charles G. Morrow III Percent,"Milton """"Milt"""" Patterson","Milton """"Milt"""" Patterson Percent",Erold Elysee,Erold Elysee Percent,precinct_id
6,4,136,51,37.5,80,58.82,5,3.68,06004
6,5,103,56,54.37,45,43.69,2,1.94,06005
6,6,208,105,50.48,102,49.04,1,0.48,06006
6,7,267,176,65.92,89,33.33,2,0.75,06007
6,11,176,94,53.41,79,44.89,3,1.7,06011
6,12,116,65,56.03,51,43.97,0,0.0,06012
6,15,188,66,35.11,118,62.77,4,2.13,06015
6,18,60,19,31.67,39,65.0,2,3.33,06018
6,20,214,87,40.65,119,55.61,8,3.74,06020
6,30,201,105,52.24,91,45.27,5,2.49,06030
6,32,240,139,57.92,99,41.25,2,0.83,06032
6,33,294,190,64.63,96,32.65,8,2.72,06033
6,36,41,18,43.9,23,56.1,0,0.0,06036
6,40,141,58,41.13,81,57.45,2,1.42,06040
6,48,269,147,54.65,118,43.87,4,1.49,06048
6,61,152,77,50.66,73,48.03,2,1.32,06061
6,65,70,28,40.0,41,58.57,1,1.43,06065
6,66,206,110,53.4,95,46.12,1,0.49,06066
13,19,211,151,71.56,56,26.54,4,1.9,13019
13,26,133,89,66.92,37,27.82,7,5.26,13026
13,30,149,91,61.07,48,32.21,10,6.71,13030
13,47,156,113,72.44,40,25.64,3,1.92,13047
15,1,66,8,12.12,57,86.36,1,1.52,15001
15,6,134,43,32.09,84,62.69,7,5.22,15006
15,7,138,67,48.55,67,48.55,4,2.9,15007
15,8,187,101,54.01,79,42.25,7,3.74,15008
15,9,147,87,59.18,56,38.1,4,2.72,15009
15,11,164,78,47.56,84,51.22,2,1.22,15011
15,12,115,39,33.91,76,66.09,0,0.0,15012
15,13,78,21,26.92,56,71.79,1,1.28,15013
15,14,171,60,35.09,106,61.99,5,2.92,15014
15,15,105,35,33.33,67,63.81,3,2.86,15015
15,21,145,58,40.0,81,55.86,6,4.14,15021
15,25,108,35,32.41,70,64.81,3,2.78,15025
