ward,precinct,total,Charles G. Morrow III,Charles G. Morrow III Percent,"Milton """"Milt"""" Patterson","Milton """"Milt"""" Patterson Percent",Erold Elysee,Erold Elysee Percent,precinct_id
15,27,104,56,53.85,43,41.35,5,4.81,15027
15,28,134,37,27.61,91,67.91,6,4.48,15028
15,30,0,0,0.0,0,0.0,0,0.0,15030
15,32,139,39,28.06,100,71.94,0,0.0,15032
15,34,107,57,53.27,49,45.79,1,0.93,15034
15,41,190,111,58.42,74,38.95,5,2.63,15041
15,42,94,28,29.79,63,67.02,3,3.19,15042
15,44,143,50,34.97,91,63.64,2,1.4,15044
15,45,57,30,52.63,26,45.61,1,1.75,15045
15,46,139,63,45.32,74,53.24,2,1.44,15046
15,47,169,76,44.97,83,49.11,10,5.92,15047
15,49,33,9,27.27,23,69.7,1,3.03,15049
15,51,113,72,63.72,41,36.28,0,0.0,15051
16,35,78,27,34.62,47,60.26,4,5.13,16035
16,41,71,18,25.35,52,73.24,1,1.41,16041
17,1,139,40,28.78,98,70.5,1,0.72,17001
17,6,164,50,30.49,112,68.29,2,1.22,17006
17,8,150,30,20.0,118,78.67,2,1.33,17008
17,11,45,3,6.67,42,93.33,0,0.0,17011
17,13,109,26,23.85,80,73.39,3,2.75,17013
17,14,15,2,13.33,12,80.0,1,6.67,17014
17,16,166,63,37.95,102,61.45,1,0.6,17016
17,17,125,30,24.0,95,76.0,0,0.0,17017
17,19,76,22,28.95,53,69.74,1,1.32,17019
17,34,160,68,42.5,91,56.88,1,0.63,17034
17,36,109,39,35.78,69,63.3,1,0.92,17036
17,39,137,33,24.09,102,74.45,2,1.46,17039
17,40,22,3,13.64,19,86.36,0,0.0,17040
17,41,165,52,31.52,110,66.67,3,1.82,17041
17,42,144,47,32.64,95,65.97,2,1.39,17042
17,43,164,39,23.78,119,72.56,6,3.66,17043
17,45,125,27,21.6,94,75.2,4,3.2,17045
17,46,192,65,33.85,120,62.5,7,3.65,17046
17,49,160,41,25.63,118,73.75,1,0.63,17049
17,56,90,14,15.56,75,83.33,1,1.11,17056
17,58,154,49,31.82,102,66.23,3,1.95,17058
17,59,116,16,13.79,100,86.21,0,0.0,17059
17,60,230,59,25.65,167,72.61,4,1.74,17060
17,62,153,42,27.45,110,71.9,1,0.65,17062
17,63,133,18,13.53,112,84.21,3,2.26,17063
17,64,147,27,18.37,120,81.63,0,0.0,17064
18,1,155,42,27.1,112,72.26,1,0.65,18001
18,2,208,85,40.87,116,55.77,7,3.37,18002
18,5,196,63,32.14,128,65.31,5,2.55,18005
18,11,156,44,28.21,104,66.67,8,5.13,18011
18,15,127,23,18.11,97,76.38,7,5.51,18015
18,17,189,30,15.87,153,80.95,6,3.17,18017
18,21,288,138,47.92,146,50.69,4,1.39,18021
18,23,232,61,26.29,166,71.55,5,2.16,18023
18,27,218,69,31.65,143,65.6,6,2.75,18027
18,29,198,60,30.3,126,63.64,12,6.06,18029
18,31,194,82,42.27,110,56.7,2,1.03,18031
18,33,149,62,41.61,84,56.38,3,2.01,18033
18,39,192,85,44.27,102,53.13,5,2.6,18039
18,42,153,41,26.8,109,71.24,3,1.96,18042
18,43,135,36,26.67,89,65.93,10,7.41,18043
18,44,110,35,31.82,71,64.55,4,3.64,18044
18,47,171,46,26.9,123,71.93,2,1.17,18047
18,49,179,56,31.28,122,68.16,1,0.56,18049
18,50,221,43,19.46,173,78.28,5,2.26,18050
18,56,198,42,21.21,146,73.74,10,5.05,18056
18,57,144,44,30.56,89,61.81,11,7.64,18057
18,58,165,69,41.82,87,52.73,9,5.45,18058
18,59,132,50,37.88,78,59.09,4,3.03,18059
18,64,135,58,42.96,72,53.33,5,3.7,18064
20,10,142,52,36.62,88,61.97,2,1.41,20010
20,18,0,0,0.0,0,0.0,0,0.0,20018
20,25,70,36,51.43,33,47.14,1,1.43,20025
20,28,210,109,51.9,98,46.67,3,1.43,20028
20,30,166,73,43.98,90,54.22,3,1.81,20030
20,35,89,23,25.84,62,69.66,4,4.49,20035
20,49,156,82,52.56,72,46.15,2,1.28,20049
