ward,precinct,total,Jean L. Hart (Gephardt),Jean L. Hart (Gephardt) Percent,Irene H. Brodie (Braun),Irene H. Brodie (Braun) Percent,Thelma Jean Quince (Edwards),Thelma Jean Quince (Edwards) Percent,Tanya Baker (Kerry),Tanya Baker (Kerry) Percent,precinct_id
2,14,189,21,11.11,45,23.81,21,11.11,102,53.97,02014
2,20,143,20,13.99,25,17.48,18,12.59,80,55.94,02020
2,31,166,13,7.83,34,20.48,14,8.43,105,63.25,02031
2,44,94,10,10.64,29,30.85,9,9.57,46,48.94,02044
2,46,213,9,4.23,49,23.0,26,12.21,129,60.56,02046
3,5,76,3,3.95,10,13.16,6,7.89,57,75.0,03005
3,7,127,10,7.87,24,18.9,14,11.02,79,62.2,03007
3,30,98,4,4.08,25,25.51,11,11.22,58,59.18,03030
3,34,97,6,6.19,22,22.68,8,8.25,61,62.89,03034
3,36,1,1,100.0,0,0.0,0,0.0,0,0.0,03036
3,38,36,4,11.11,4,11.11,5,13.89,23,63.89,03038
3,41,38,5,13.16,3,7.89,2,5.26,28,73.68,03041
3,44,53,2,3.77,17,32.08,8,15.09,26,49.06,03044
3,46,124,12,9.68,24,19.35,14,11.29,74,59.68,03046
3,49,1,0,0.0,1,100.0,0,0.0,0,0.0,03049
3,53,122,11,9.02,24,19.67,12,9.84,75,61.48,03053
3,56,8,7,87.5,0,0.0,1,12.5,0,0.0,03056
3,58,41,3,7.32,12,29.27,5,12.2,21,51.22,03058
4,1,186,8,4.3,32,17.2,16,8.6,130,69.89,04001
4,2,223,15,6.73,39,17.49,22,9.87,147,65.92,04002
4,3,212,12,5.66,52,24.53,29,13.68,119,56.13,04003
4,8,165,17,10.3,37,22.42,13,7.88,98,59.39,04008
4,9,354,14,3.95,66,18.64,35,9.89,239,67.51,04009
4,12,104,6,5.77,32,30.77,10,9.62,56,53.85,04012
4,13,172,8,4.65,25,14.53,26,15.12,113,65.7,04013
4,16,216,26,12.04,61,28.24,24,11.11,105,48.61,04016
4,17,197,11,5.58,31,15.74,24,12.18,131,66.5,04017
4,18,166,9,5.42,54,32.53,19,11.45,84,50.6,04018
4,19,194,27,13.92,56,28.87,18,9.28,93,47.94,04019
4,20,52,7,13.46,17,32.69,6,11.54,22,42.31,04020
4,21,252,10,3.97,56,22.22,25,9.92,161,63.89,04021
4,22,255,13,5.1,41,16.08,27,10.59,174,68.24,04022
4,23,154,1,0.65,30,19.48,17,11.04,106,68.83,04023
4,24,232,14,6.03,46,19.83,24,10.34,148,63.79,04024
4,26,170,20,11.76,40,23.53,19,11.18,91,53.53,04026
4,28,148,4,2.7,19,12.84,15,10.14,110,74.32,04028
4,29,151,8,5.3,27,17.88,7,4.64,109,72.19,04029
4,30,51,7,13.73,12,23.53,7,13.73,25,49.02,04030
4,31,38,7,18.42,13,34.21,6,15.79,12,31.58,04031
4,32,240,9,3.75,33,13.75,25,10.42,173,72.08,04032
4,33,67,7,10.45,17,25.37,12,17.91,31,46.27,04033
4,34,155,6,3.87,11,7.1,11,7.1,127,81.94,04034
4,37,81,16,19.75,29,35.8,12,14.81,24,29.63,04037
4,38,277,14,5.05,51,18.41,20,7.22,192,69.31,04038
4,39,74,3,4.05,25,33.78,7,9.46,39,52.7,04039
4,40,152,12,7.89,36,23.68,17,11.18,87,57.24,04040
4,41,104,4,3.85,13,12.5,17,16.35,70,67.31,04041
4,42,0,0,0.0,0,0.0,0,0.0,0,0.0,04042
4,43,118,4,3.39,28,23.73,16,13.56,70,59.32,04043
4,44,132,7,5.3,19,14.39,14,10.61,92,69.7,04044
4,45,310,22,7.1,54,17.42,23,7.42,211,68.06,04045
4,46,170,9,5.29,46,27.06,17,10.0,98,57.65,04046
4,47,270,12,4.44,53,19.63,20,7.41,185,68.52,04047
4,48,284,9,3.17,41,14.44,30,10.56,204,71.83,04048
4,49,79,15,18.99,19,24.05,10,12.66,35,44.3,04049
4,50,144,13,9.03,35,24.31,9,6.25,87,60.42,04050
4,51,200,11,5.5,44,22.0,17,8.5,128,64.0,04051
4,52,31,3,9.68,9,29.03,4,12.9,15,48.39,04052
4,54,90,6,6.67,16,17.78,14,15.56,54,60.0,04054
4,55,140,0,0.0,17,12.14,17,12.14,106,75.71,04055
4,56,201,25,12.44,58,28.86,14,6.97,104,51.74,04056
4,57,107,10,9.35,26,24.3,9,8.41,62,57.94,04057
5,2,167,17,10.18,48,28.74,16,9.58,86,51.5,05002
5,3,105,4,3.81,11,10.48,10,9.52,80,76.19,05003
5,5,147,22,14.97,31,21.09,24,16.33,70,47.62,05005
5,8,239,8,3.35,25,10.46,23,9.62,183,76.57,05008
5,9,173,17,9.83,47,27.17,18,10.4,91,52.6,05009
5,10,179,25,13.97,45,25.14,20,11.17,89,49.72,05010
5,12,124,14,11.29,27,21.77,19,15.32,64,51.61,05012
5,13,136,14,10.29,31,22.79,20,14.71,71,52.21,05013
5,15,185,10,5.41,38,20.54,25,13.51,112,60.54,05015
5,16,138,10,7.25,37,26.81,18,13.04,73,52.9,05016
5,17,175,25,14.29,34,19.43,18,10.29,98,56.0,05017
5,18,209,18,8.61,48,22.97,21,10.05,122,58.37,05018
