ward,precinct,total,William M. Beavers,William M. Beavers Percent,precinct_id
7,1,219,219,100.0,07001
7,2,205,205,100.0,07002
7,3,116,116,100.0,07003
7,4,137,137,100.0,07004
7,5,117,117,100.0,07005
7,6,132,132,100.0,07006
7,7,112,112,100.0,07007
7,8,50,50,100.0,07008
7,9,169,169,100.0,07009
7,10,120,120,100.0,07010
7,11,161,161,100.0,07011
7,12,127,127,100.0,07012
7,13,121,121,100.0,07013
7,14,184,184,100.0,07014
7,15,101,101,100.0,07015
7,16,112,112,100.0,07016
7,17,102,102,100.0,07017
7,18,102,102,100.0,07018
7,19,259,259,100.0,07019
7,20,78,78,100.0,07020
7,21,168,168,100.0,07021
7,22,126,126,100.0,07022
7,23,98,98,100.0,07023
7,24,127,127,100.0,07024
7,25,175,175,100.0,07025
7,26,222,222,100.0,07026
7,27,231,231,100.0,07027
7,28,153,153,100.0,07028
7,29,113,113,100.0,07029
7,30,207,207,100.0,07030
7,31,172,172,100.0,07031
7,32,122,122,100.0,07032
7,33,131,131,100.0,07033
7,34,165,165,100.0,07034
7,35,91,91,100.0,07035
7,36,205,205,100.0,07036
7,37,83,83,100.0,07037
7,38,113,113,100.0,07038
7,39,132,132,100.0,07039
7,40,153,153,100.0,07040
7,41,127,127,100.0,07041
7,42,216,216,100.0,07042
7,43,179,179,100.0,07043
7,44,212,212,100.0,07044
7,45,258,258,100.0,07045
7,46,66,66,100.0,07046
7,47,137,137,100.0,07047
7,48,64,64,100.0,07048
7,49,98,98,100.0,07049
7,50,121,121,100.0,07050
7,51,130,130,100.0,07051
7,52,134,134,100.0,07052
7,53,143,143,100.0,07053
7,54,62,62,100.0,07054
7,55,147,147,100.0,07055
7,56,116,116,100.0,07056
7,57,123,123,100.0,07057
7,58,214,214,100.0,07058
7,59,84,84,100.0,07059
7,60,124,124,100.0,07060
7,61,145,145,100.0,07061
7,62,170,170,100.0,07062
7,63,108,108,100.0,07063
7,64,130,130,100.0,07064
7,65,127,127,100.0,07065
