ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,JeRome Brown,JeRome Brown Percent,precinct_id
9,10,207,174,84.06,33,15.94,09010
9,20,249,196,78.71,53,21.29,09020
9,21,180,161,89.44,19,10.56,09021
9,27,129,116,89.92,13,10.08,09027
9,51,152,133,87.5,19,12.5,09051
19,13,222,201,90.54,21,9.46,19013
19,20,226,184,81.42,42,18.58,19020
19,27,170,131,77.06,39,22.94,19027
19,28,313,272,86.9,41,13.1,19028
19,31,233,184,78.97,49,21.03,19031
19,40,228,181,79.39,47,20.61,19040
19,42,204,166,81.37,38,18.63,19042
19,43,276,230,83.33,46,16.67,19043
19,48,179,135,75.42,44,24.58,19048
19,49,310,268,86.45,42,13.55,19049
19,50,250,192,76.8,58,23.2,19050
19,60,244,204,83.61,40,16.39,19060
19,63,183,159,86.89,24,13.11,19063
19,64,313,257,82.11,56,17.89,19064
19,66,212,163,76.89,49,23.11,19066
19,67,46,39,84.78,7,15.22,19067
21,1,320,271,84.69,49,15.31,21001
21,3,322,299,92.86,23,7.14,21003
21,4,311,281,90.35,30,9.65,21004
21,5,214,198,92.52,16,7.48,21005
21,6,178,147,82.58,31,17.42,21006
21,7,230,211,91.74,19,8.26,21007
21,8,271,242,89.3,29,10.7,21008
21,9,233,194,83.26,39,16.74,21009
21,10,153,111,72.55,42,27.45,21010
21,11,224,199,88.84,25,11.16,21011
21,12,197,172,87.31,25,12.69,21012
21,13,101,88,87.13,13,12.87,21013
21,14,198,164,82.83,34,17.17,21014
21,18,219,190,86.76,29,13.24,21018
21,19,194,179,92.27,15,7.73,21019
21,20,107,89,83.18,18,16.82,21020
21,21,239,193,80.75,46,19.25,21021
21,22,222,178,80.18,44,19.82,21022
21,24,209,180,86.12,29,13.88,21024
21,27,249,209,83.94,40,16.06,21027
21,28,163,137,84.05,26,15.95,21028
21,31,285,223,78.25,62,21.75,21031
21,33,207,174,84.06,33,15.94,21033
21,38,190,173,91.05,17,8.95,21038
21,40,217,186,85.71,31,14.29,21040
21,42,237,211,89.03,26,10.97,21042
21,44,210,149,70.95,61,29.05,21044
21,45,195,156,80.0,39,20.0,21045
21,47,298,262,87.92,36,12.08,21047
21,49,298,244,81.88,54,18.12,21049
21,50,216,179,82.87,37,17.13,21050
21,51,238,206,86.55,32,13.45,21051
21,53,27,24,88.89,3,11.11,21053
21,54,218,184,84.4,34,15.6,21054
21,56,173,153,88.44,20,11.56,21056
21,58,158,142,89.87,16,10.13,21058
21,59,289,260,89.97,29,10.03,21059
21,60,199,163,81.91,36,18.09,21060
21,61,235,205,87.23,30,12.77,21061
21,63,202,173,85.64,29,14.36,21063
21,66,175,114,65.14,61,34.86,21066
21,68,197,180,91.37,17,8.63,21068
34,1,282,212,75.18,70,24.82,34001
34,7,286,199,69.58,87,30.42,34007
34,8,254,195,76.77,59,23.23,34008
34,12,195,151,77.44,44,22.56,34012
34,13,178,140,78.65,38,21.35,34013
34,21,245,167,68.16,78,31.84,34021
34,25,129,97,75.19,32,24.81,34025
34,29,289,187,64.71,102,35.29,34029
34,32,264,194,73.48,70,26.52,34032
34,33,123,73,59.35,50,40.65,34033
34,34,240,192,80.0,48,20.0,34034
34,44,287,187,65.16,100,34.84,34044
34,45,280,220,78.57,60,21.43,34045
34,46,154,131,85.06,23,14.94,34046
34,47,126,68,53.97,58,46.03,34047
34,48,238,206,86.55,32,13.45,34048
34,49,261,196,75.1,65,24.9,34049
34,51,297,214,72.05,83,27.95,34051
34,61,0,0,0.0,0,0.0,34061
34,62,261,214,81.99,47,18.01,34062
34,64,44,29,65.91,15,34.09,34064
34,66,195,141,72.31,54,27.69,34066
34,67,181,128,70.72,53,29.28,34067
34,68,119,95,79.83,24,20.17,34068
34,69,167,131,78.44,36,21.56,34069
34,70,215,182,84.65,33,15.35,34070
34,71,170,140,82.35,30,17.65,34071
34,72,139,97,69.78,42,30.22,34072
34,73,158,104,65.82,54,34.18,34073
