ward,precinct,total,Anthony A. Beale,Anthony A. Beale Percent,precinct_id
9,1,262,262,100.0,09001
9,2,237,237,100.0,09002
9,3,125,125,100.0,09003
9,4,230,230,100.0,09004
9,5,187,187,100.0,09005
9,6,212,212,100.0,09006
9,7,186,186,100.0,09007
9,8,158,158,100.0,09008
9,9,245,245,100.0,09009
9,10,204,204,100.0,09010
9,11,111,111,100.0,09011
9,12,198,198,100.0,09012
9,13,268,268,100.0,09013
9,14,302,302,100.0,09014
9,15,86,86,100.0,09015
9,16,186,186,100.0,09016
9,17,181,181,100.0,09017
9,18,206,206,100.0,09018
9,19,262,262,100.0,09019
9,20,250,250,100.0,09020
9,21,165,165,100.0,09021
9,22,236,236,100.0,09022
9,23,158,158,100.0,09023
9,24,98,98,100.0,09024
9,25,90,90,100.0,09025
9,26,126,126,100.0,09026
9,27,113,113,100.0,09027
9,28,107,107,100.0,09028
9,29,160,160,100.0,09029
9,30,168,168,100.0,09030
9,31,164,164,100.0,09031
9,32,219,219,100.0,09032
9,33,129,129,100.0,09033
9,34,155,155,100.0,09034
9,35,202,202,100.0,09035
9,36,82,82,100.0,09036
9,37,110,110,100.0,09037
9,38,206,206,100.0,09038
9,39,191,191,100.0,09039
9,40,243,243,100.0,09040
9,41,257,257,100.0,09041
9,42,122,122,100.0,09042
9,43,133,133,100.0,09043
9,44,148,148,100.0,09044
9,45,187,187,100.0,09045
9,46,168,168,100.0,09046
9,47,109,109,100.0,09047
9,48,224,224,100.0,09048
9,49,71,71,100.0,09049
9,50,82,82,100.0,09050
9,51,149,149,100.0,09051
9,52,236,236,100.0,09052
9,53,147,147,100.0,09053
9,54,159,159,100.0,09054
9,55,114,114,100.0,09055
9,56,120,120,100.0,09056
9,57,107,107,100.0,09057
9,58,138,138,100.0,09058
