ward,precinct,total,"Margaret J. """"Peggy"""" Bell (Kucinich)","Margaret J. """"Peggy"""" Bell (Kucinich) Percent",James C. Sorrels (Kucinich),James C. Sorrels (Kucinich) Percent,Mary Ellen McDonagh (Kucinich),Mary Ellen McDonagh (Kucinich) Percent,Jason F. Keppe (Kucinich),Jason F. Keppe (Kucinich) Percent,"Jacqueline """"Jackie"""" McKay (Kucinich)","Jacqueline """"Jackie"""" McKay (Kucinich) Percent",Daniel Birkhahn-Rommelfanger (Kucin),Daniel Birkhahn-Rommelfanger (Kucin) Percent,Joseph Berrios (Dean),Joseph Berrios (Dean) Percent,Sara Feigenholtz (Dean),Sara Feigenholtz (Dean) Percent,Gene Schulter (Dean),Gene Schulter (Dean) Percent,Pamela Cullerton (Dean),Pamela Cullerton (Dean) Percent,Frances Sarra Johns (Dean),Frances Sarra Johns (Dean) Percent,"Ronald R. Bettag (LaRouche, Jr.)","Ronald R. Bettag (LaRouche, Jr.) Percent","Judith A. Clark (LaRouche, Jr.)","Judith A. Clark (LaRouche, Jr.) Percent","Donald S. Clark (LaRouche, Jr.)","Donald S. Clark (LaRouche, Jr.) Percent","Mindy R. Pechenuk (LaRouche, Jr.)","Mindy R. Pechenuk (LaRouche, Jr.) Percent","Gerald Pechenuk (LaRouche, Jr.)","Gerald Pechenuk (LaRouche, Jr.) Percent","Allison Merriam (LaRouche, Jr.)","Allison Merriam (LaRouche, Jr.) Percent","Gary Genazzio (LaRouche, Jr.)","Gary Genazzio (LaRouche, Jr.) Percent",Ann Williams (Gephardt),Ann Williams (Gephardt) Percent,William B. Kaplan (Gephardt),William B. Kaplan (Gephardt) Percent,Teree E. Foster (Gephardt),Teree E. Foster (Gephardt) Percent,Barrett Pedersen (Edwards),Barrett Pedersen (Edwards) Percent,Judith Gold (Edwards),Judith Gold (Edwards) Percent,Michael Bauer (Edwards),Michael Bauer (Edwards) Percent,Cynthia Ramirez (Edwards),Cynthia Ramirez (Edwards) Percent,"Rudyard """"Rudy"""" E. Urian (Edwards)","Rudyard """"Rudy"""" E. Urian (Edwards) Percent",Margaret Mell (Edwards),Margaret Mell (Edwards) Percent,Margaret Laurino (Clark),Margaret Laurino (Clark) Percent,John L. Borovicka (Clark),John L. Borovicka (Clark) Percent,Marilyn Katz (Clark),Marilyn Katz (Clark) Percent,Charles R. Bernardini (Clark),Charles R. Bernardini (Clark) Percent,Gail Morse (Clark),Gail Morse (Clark) Percent,John A. Fritchey (Clark),John A. Fritchey (Clark) Percent,Daisy Cintron (Kerry),Daisy Cintron (Kerry) Percent,Mike Quigley (Kerry),Mike Quigley (Kerry) Percent,Degee Wilhelm (Kerry),Degee Wilhelm (Kerry) Percent,William S Singer (Kerry),William S Singer (Kerry) Percent,Cynthia Rosario (Kerry),Cynthia Rosario (Kerry) Percent,M. Blair Hull (Braun),M. Blair Hull (Braun) Percent,Mary Bennett (Braun),Mary Bennett (Braun) Percent,Nancy Skinner (Braun),Nancy Skinner (Braun) Percent,Brian O'Connor (Braun),Brian O'Connor (Braun) Percent,precinct_id
0,10,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,00010
0,28,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,00028
1,7,93,0,0.0,1,1.08,0,0.0,0,0.0,0,0.0,1,1.08,2,2.15,2,2.15,3,3.23,1,1.08,1,1.08,1,1.08,1,1.08,1,1.08,0,0.0,0,0.0,0,0.0,0,0.0,1,1.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.08,0,0.0,2,2.15,2,2.15,1,1.08,3,3.23,0,0.0,0,0.0,2,2.15,8,8.6,11,11.83,9,9.68,12,12.9,12,12.9,3,3.23,0,0.0,1,1.08,1,1.08,01007
1,28,173,5,2.89,3,1.73,2,1.16,2,1.16,4,2.31,2,1.16,8,4.62,2,1.16,1,0.58,4,2.31,3,1.73,0,0.0,0,0.0,1,0.58,0,0.0,0,0.0,1,0.58,1,0.58,0,0.0,1,0.58,0,0.0,1,0.58,5,2.89,2,1.16,6,3.47,1,0.58,3,1.73,0,0.0,1,0.58,1,0.58,0,0.0,3,1.73,2,1.16,21,12.14,14,8.09,10,5.78,14,8.09,18,10.4,6,3.47,4,2.31,2,1.16,2,1.16,01028
6,2,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,06002
6,5,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,06005
6,10,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,06010
6,21,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,06021
6,26,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,06026
6,45,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,06045
8,26,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,08026
29,2,299,11,3.68,8,2.68,8,2.68,4,1.34,5,1.67,3,1.0,33,11.04,8,2.68,8,2.68,8,2.68,8,2.68,1,0.33,2,0.67,3,1.0,0,0.0,0,0.0,0,0.0,4,1.34,0,0.0,1,0.33,0,0.0,5,1.67,3,1.0,2,0.67,18,6.02,3,1.0,5,1.67,7,2.34,3,1.0,1,0.33,4,1.34,4,1.34,4,1.34,17,5.69,15,5.02,13,4.35,14,4.68,31,10.37,7,2.34,1,0.33,3,1.0,4,1.34,29002
29,9,179,5,2.79,9,5.03,13,7.26,5,2.79,3,1.68,2,1.12,17,9.5,11,6.15,5,2.79,2,1.12,3,1.68,2,1.12,0,0.0,1,0.56,0,0.0,0,0.0,0,0.0,0,0.0,1,0.56,0,0.0,0,0.0,2,1.12,0,0.0,2,1.12,3,1.68,0,0.0,3,1.68,2,1.12,0,0.0,0,0.0,0,0.0,0,0.0,1,0.56,14,7.82,14,7.82,11,6.15,12,6.7,16,8.94,2,1.12,1,0.56,0,0.0,0,0.0,29009
29,24,126,3,2.38,4,3.17,6,4.76,0,0.0,2,1.59,1,0.79,12,9.52,6,4.76,5,3.97,4,3.17,4,3.17,1,0.79,0,0.0,1,0.79,0,0.0,0,0.0,1,0.79,0,0.0,1,0.79,0,0.0,0,0.0,4,3.17,4,3.17,3,2.38,9,7.14,3,2.38,4,3.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.79,7,5.56,7,5.56,6,4.76,8,6.35,8,6.35,2,1.59,0,0.0,1,0.79,0,0.0,29024
29,32,223,6,2.69,7,3.14,9,4.04,3,1.35,4,1.79,0,0.0,21,9.42,13,5.83,3,1.35,7,3.14,5,2.24,0,0.0,1,0.45,0,0.0,2,0.9,2,0.9,2,0.9,1,0.45,3,1.35,2,0.9,1,0.45,2,0.9,2,0.9,1,0.45,10,4.48,1,0.45,3,1.35,3,1.35,4,1.79,2,0.9,5,2.24,5,2.24,3,1.35,11,4.93,10,4.48,9,4.04,9,4.04,15,6.73,13,5.83,2,0.9,1,0.45,7,3.14,29032
29,53,187,4,2.14,3,1.6,4,2.14,1,0.53,3,1.6,1,0.53,16,8.56,1,0.53,1,0.53,6,3.21,1,0.53,0,0.0,4,2.14,0,0.0,2,1.07,3,1.6,1,0.53,4,2.14,0,0.0,3,1.6,0,0.0,1,0.53,2,1.07,3,1.6,10,5.35,3,1.6,3,1.6,1,0.53,2,1.07,0,0.0,1,0.53,5,2.67,2,1.07,15,8.02,12,6.42,12,6.42,14,7.49,20,10.7,5,2.67,1,0.53,0,0.0,2,1.07,29053
29,54,282,7,2.48,12,4.26,14,4.96,1,0.35,3,1.06,2,0.71,27,9.57,11,3.9,5,1.77,9,3.19,2,0.71,4,1.42,1,0.35,2,0.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.71,0,0.0,6,2.13,4,1.42,4,1.42,10,3.55,3,1.06,4,1.42,5,1.77,1,0.35,1,0.35,3,1.06,2,0.71,6,2.13,18,6.38,20,7.09,16,5.67,22,7.8,24,8.51,4,1.42,0,0.0,0,0.0,2,0.71,29054
30,1,435,15,3.45,9,2.07,12,2.76,7,1.61,8,1.84,8,1.84,8,1.84,8,1.84,11,2.53,5,1.15,4,0.92,3,0.69,6,1.38,4,0.92,1,0.23,1,0.23,1,0.23,0,0.0,0,0.0,0,0.0,0,0.0,7,1.61,8,1.84,6,1.38,7,1.61,6,1.38,7,1.61,6,1.38,1,0.23,2,0.46,2,0.46,1,0.23,5,1.15,43,9.89,44,10.11,40,9.2,41,9.43,43,9.89,5,1.15,0,0.0,3,0.69,2,0.46,30001
30,2,166,8,4.82,3,1.81,6,3.61,5,3.01,7,4.22,4,2.41,12,7.23,6,3.61,4,2.41,8,4.82,5,3.01,1,0.6,0,0.0,1,0.6,0,0.0,0,0.0,1,0.6,0,0.0,1,0.6,0,0.0,0,0.0,0,0.0,2,1.2,0,0.0,5,3.01,1,0.6,1,0.6,0,0.0,0,0.0,1,0.6,0,0.0,0,0.0,3,1.81,12,7.23,12,7.23,11,6.63,12,7.23,14,8.43,1,0.6,0,0.0,0,0.0,2,1.2,30002
30,3,430,13,3.02,8,1.86,12,2.79,9,2.09,14,3.26,8,1.86,13,3.02,10,2.33,11,2.56,14,3.26,5,1.16,1,0.23,2,0.47,2,0.47,1,0.23,2,0.47,2,0.47,0,0.0,5,1.16,0,0.0,1,0.23,5,1.16,4,0.93,5,1.16,9,2.09,3,0.7,5,1.16,3,0.7,5,1.16,0,0.0,0,0.0,2,0.47,3,0.7,39,9.07,39,9.07,37,8.6,37,8.6,43,10.0,8,1.86,0,0.0,2,0.47,4,0.93,30003
30,7,265,14,5.28,7,2.64,9,3.4,6,2.26,9,3.4,3,1.13,16,6.04,9,3.4,8,3.02,5,1.89,4,1.51,0,0.0,2,0.75,1,0.38,1,0.38,0,0.0,4,1.51,3,1.13,1,0.38,1,0.38,0,0.0,1,0.38,3,1.13,1,0.38,10,3.77,2,0.75,1,0.38,0,0.0,1,0.38,0,0.0,1,0.38,3,1.13,3,1.13,25,9.43,18,6.79,17,6.42,17,6.42,27,10.19,4,1.51,2,0.75,3,1.13,1,0.38,30007
30,8,418,12,2.87,8,1.91,9,2.15,6,1.44,12,2.87,9,2.15,25,5.98,12,2.87,12,2.87,16,3.83,9,2.15,1,0.24,4,0.96,2,0.48,3,0.72,2,0.48,3,0.72,1,0.24,4,0.96,1,0.24,3,0.72,3,0.72,4,0.96,5,1.2,14,3.35,1,0.24,2,0.48,4,0.96,5,1.2,5,1.2,3,0.72,4,0.96,3,0.72,36,8.61,30,7.18,30,7.18,31,7.42,37,8.85,2,0.48,1,0.24,1,0.24,3,0.72,30008
30,9,622,12,1.93,8,1.29,15,2.41,11,1.77,13,2.09,5,0.8,38,6.11,19,3.05,14,2.25,23,3.7,16,2.57,7,1.13,4,0.64,5,0.8,3,0.48,4,0.64,7,1.13,2,0.32,4,0.64,3,0.48,4,0.64,9,1.45,10,1.61,10,1.61,28,4.5,6,0.96,7,1.13,7,1.13,10,1.61,4,0.64,8,1.29,4,0.64,8,1.29,42,6.75,38,6.11,41,6.59,40,6.43,58,9.32,9,1.45,2,0.32,5,0.8,4,0.64,30009
30,10,293,4,1.37,1,0.34,3,1.02,3,1.02,3,1.02,4,1.37,17,5.8,4,1.37,8,2.73,3,1.02,2,0.68,5,1.71,2,0.68,3,1.02,1,0.34,2,0.68,2,0.68,2,0.68,3,1.02,3,1.02,2,0.68,2,0.68,4,1.37,2,0.68,12,4.1,3,1.02,4,1.37,5,1.71,8,2.73,3,1.02,2,0.68,5,1.71,5,1.71,21,7.17,24,8.19,20,6.83,20,6.83,30,10.24,12,4.1,1,0.34,4,1.37,5,1.71,30010
30,11,233,9,3.86,3,1.29,6,2.58,3,1.29,6,2.58,2,0.86,19,8.15,7,3.0,6,2.58,12,5.15,8,3.43,1,0.43,2,0.86,2,0.86,1,0.43,1,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2.58,7,3.0,6,2.58,16,6.87,7,3.0,6,2.58,2,0.86,1,0.43,1,0.43,2,0.86,1,0.43,1,0.43,14,6.01,14,6.01,9,3.86,10,4.29,15,6.44,4,1.72,1,0.43,2,0.86,3,1.29,30011
