ward,precinct,total,Sheila M. Murphy (Dean),Sheila M. Murphy (Dean) Percent,Gail E. Schlesinger (Kucinich),Gail E. Schlesinger (Kucinich) Percent,Linda D. Stevanovich (Gephardt),Linda D. Stevanovich (Gephardt) Percent,Cristina De La Rosa (Edwards),Cristina De La Rosa (Edwards) Percent,Tamie Sepulveda (Kerry),Tamie Sepulveda (Kerry) Percent,Laura Lee Nieciak (Lieberman),Laura Lee Nieciak (Lieberman) Percent,precinct_id
3,51,32,8,25.0,1,3.13,3,9.38,10,31.25,9,28.13,1,3.13,03051
11,1,127,25,19.69,14,11.02,7,5.51,10,7.87,65,51.18,6,4.72,11001
11,2,140,22,15.71,8,5.71,6,4.29,38,27.14,61,43.57,5,3.57,11002
11,4,126,13,10.32,2,1.59,10,7.94,28,22.22,67,53.17,6,4.76,11004
11,5,71,9,12.68,6,8.45,9,12.68,16,22.54,28,39.44,3,4.23,11005
11,6,174,31,17.82,10,5.75,9,5.17,44,25.29,72,41.38,8,4.6,11006
11,7,119,22,18.49,7,5.88,6,5.04,26,21.85,53,44.54,5,4.2,11007
11,8,149,36,24.16,11,7.38,10,6.71,22,14.77,64,42.95,6,4.03,11008
11,9,118,17,14.41,13,11.02,5,4.24,22,18.64,58,49.15,3,2.54,11009
11,11,150,30,20.0,4,2.67,12,8.0,25,16.67,69,46.0,10,6.67,11011
11,12,128,31,24.22,2,1.56,1,0.78,17,13.28,72,56.25,5,3.91,11012
11,13,108,21,19.44,9,8.33,5,4.63,14,12.96,55,50.93,4,3.7,11013
11,15,87,16,18.39,3,3.45,3,3.45,8,9.2,53,60.92,4,4.6,11015
11,16,136,27,19.85,4,2.94,7,5.15,33,24.26,59,43.38,6,4.41,11016
11,17,171,26,15.2,6,3.51,9,5.26,36,21.05,87,50.88,7,4.09,11017
11,18,65,10,15.38,3,4.62,5,7.69,14,21.54,31,47.69,2,3.08,11018
11,19,107,19,17.76,14,13.08,7,6.54,18,16.82,47,43.93,2,1.87,11019
11,20,88,18,20.45,2,2.27,5,5.68,16,18.18,43,48.86,4,4.55,11020
