ward,precinct,total,Arenda Troutman,Arenda Troutman Percent,precinct_id
20,1,133,133,100.0,20001
20,2,126,126,100.0,20002
20,3,138,138,100.0,20003
20,4,74,74,100.0,20004
20,5,91,91,100.0,20005
20,6,128,128,100.0,20006
20,7,69,69,100.0,20007
20,8,45,45,100.0,20008
20,9,127,127,100.0,20009
20,10,115,115,100.0,20010
20,11,77,77,100.0,20011
20,12,57,57,100.0,20012
20,13,32,32,100.0,20013
20,14,179,179,100.0,20014
20,15,40,40,100.0,20015
20,16,53,53,100.0,20016
20,17,120,120,100.0,20017
20,18,147,147,100.0,20018
20,19,65,65,100.0,20019
20,20,73,73,100.0,20020
20,21,44,44,100.0,20021
20,22,139,139,100.0,20022
20,23,161,161,100.0,20023
20,24,251,251,100.0,20024
20,25,79,79,100.0,20025
20,26,127,127,100.0,20026
20,27,81,81,100.0,20027
20,28,197,197,100.0,20028
20,29,115,115,100.0,20029
20,30,142,142,100.0,20030
20,31,136,136,100.0,20031
20,32,221,221,100.0,20032
20,33,167,167,100.0,20033
20,34,164,164,100.0,20034
20,35,78,78,100.0,20035
20,36,126,126,100.0,20036
20,37,102,102,100.0,20037
20,38,15,15,100.0,20038
20,39,111,111,100.0,20039
20,40,67,67,100.0,20040
20,41,7,7,100.0,20041
20,42,111,111,100.0,20042
20,43,56,56,100.0,20043
20,44,193,193,100.0,20044
20,45,23,23,100.0,20045
20,46,87,87,100.0,20046
20,47,87,87,100.0,20047
20,48,71,71,100.0,20048
20,49,144,144,100.0,20049
20,50,77,77,100.0,20050
20,51,36,36,100.0,20051
20,52,66,66,100.0,20052
20,53,21,21,100.0,20053
20,54,102,102,100.0,20054
20,55,54,54,100.0,20055
