ward,precinct,total,"Bernard J. """"Bernie"""" Gray (Kucinich)","Bernard J. """"Bernie"""" Gray (Kucinich) Percent",Heather Poppe (Kucinich),Heather Poppe (Kucinich) Percent,John Schlitt (Kucinich),John Schlitt (Kucinich) Percent,Katherine Felt Armstrong (Kucinich),Katherine Felt Armstrong (Kucinich) Percent,Gary Kuzminski (Kucinich),Gary Kuzminski (Kucinich) Percent,Bernadette Maune (Kucinich),Bernadette Maune (Kucinich) Percent,Marc O'Connor (Kucinich),Marc O'Connor (Kucinich) Percent,Deborah Sims (Dean),Deborah Sims (Dean) Percent,James T. Meeks (Dean),James T. Meeks (Dean) Percent,Michelle Markiewicz Qualkinbush (Dean,Michelle Markiewicz Qualkinbush (Dean Percent,Sandi S. Jackson (Dean),Sandi S. Jackson (Dean) Percent,"William """"Will"""" Davis (Dean)","William """"Will"""" Davis (Dean) Percent",Dorian M. Morley (Dean),Dorian M. Morley (Dean) Percent,Michael Hartt (Dean),Michael Hartt (Dean) Percent,Larry Williams (Edwards),Larry Williams (Edwards) Percent,Bertha M. Scott (Edwards),Bertha M. Scott (Edwards) Percent,James E. Young (Edwards),James E. Young (Edwards) Percent,Henrietta Battle (Edwards),Henrietta Battle (Edwards) Percent,Jeremy Alexander (Edwards),Jeremy Alexander (Edwards) Percent,Archia Lakiska Lucas (Edwards),Archia Lakiska Lucas (Edwards) Percent,Lawrence N. Hill (Edwards),Lawrence N. Hill (Edwards) Percent,Nather L. Jones (Edwards),Nather L. Jones (Edwards) Percent,Al Riley (Clark),Al Riley (Clark) Percent,Johnny Holmes (Clark),Johnny Holmes (Clark) Percent,Kevin McCaffrey (Clark),Kevin McCaffrey (Clark) Percent,Paul Lynch (Clark),Paul Lynch (Clark) Percent,Barbara J. Moore (Clark),Barbara J. Moore (Clark) Percent,Harriet Salk (Clark),Harriet Salk (Clark) Percent,Myrtle Martin (Clark),Myrtle Martin (Clark) Percent,Karen Olson (Clark),Karen Olson (Clark) Percent,Frederick Young (Kerry),Frederick Young (Kerry) Percent,Sharon Latiker (Kerry),Sharon Latiker (Kerry) Percent,Kurt Elling (Kerry),Kurt Elling (Kerry) Percent,Lisa Dunbar (Kerry),Lisa Dunbar (Kerry) Percent,Jonathan D Karmel (Kerry),Jonathan D Karmel (Kerry) Percent,Thu Anh Vo (Kerry),Thu Anh Vo (Kerry) Percent,Gregory Arlen Diephouse (Kerry),Gregory Arlen Diephouse (Kerry) Percent,Edonna Brazzle (Kerry),Edonna Brazzle (Kerry) Percent,Lamar Britt (Lieberman),Lamar Britt (Lieberman) Percent,Jerry Doss (Lieberman),Jerry Doss (Lieberman) Percent,Shirley Doss (Lieberman),Shirley Doss (Lieberman) Percent,Marc Hamilton (Lieberman),Marc Hamilton (Lieberman) Percent,Myra Handy (Lieberman),Myra Handy (Lieberman) Percent,Janet Williams (Lieberman),Janet Williams (Lieberman) Percent,William M. Beavers (Braun),William M. Beavers (Braun) Percent,Dorothy James (Braun),Dorothy James (Braun) Percent,Diane Phillips (Braun),Diane Phillips (Braun) Percent,Donne Trotter (Braun),Donne Trotter (Braun) Percent,Dorothy Brown (Braun),Dorothy Brown (Braun) Percent,William Shaw (Braun),William Shaw (Braun) Percent,Carrie Austin (Braun),Carrie Austin (Braun) Percent,precinct_id
5,1,786,9,1.15,4,0.51,3,0.38,9,1.15,3,0.38,5,0.64,3,0.38,33,4.2,55,7.0,6,0.76,21,2.67,29,3.69,12,1.53,8,1.02,10,1.27,11,1.4,6,0.76,11,1.4,7,0.89,5,0.64,5,0.64,6,0.76,4,0.51,6,0.76,3,0.38,2,0.25,9,1.15,1,0.13,4,0.51,4,0.51,44,5.6,44,5.6,35,4.45,48,6.11,34,4.33,34,4.33,30,3.82,28,3.56,2,0.25,0,0.0,1,0.13,0,0.0,1,0.13,1,0.13,22,2.8,13,1.65,10,1.27,25,3.18,37,4.71,39,4.96,24,3.05,05001
5,4,630,9,1.43,4,0.63,1,0.16,5,0.79,1,0.16,5,0.79,3,0.48,27,4.29,49,7.78,7,1.11,16,2.54,14,2.22,11,1.75,5,0.79,7,1.11,8,1.27,8,1.27,8,1.27,8,1.27,4,0.63,4,0.63,4,0.63,2,0.32,5,0.79,1,0.16,2,0.32,8,1.27,3,0.48,0,0.0,1,0.16,39,6.19,25,3.97,23,3.65,29,4.6,20,3.17,20,3.17,17,2.7,16,2.54,4,0.63,0,0.0,3,0.48,2,0.32,1,0.16,3,0.48,15,2.38,21,3.33,14,2.22,28,4.44,46,7.3,32,5.08,28,4.44,05004
5,6,1205,18,1.49,13,1.08,12,1.0,13,1.08,9,0.75,7,0.58,8,0.66,32,2.66,84,6.97,8,0.66,29,2.41,26,2.16,25,2.07,17,1.41,16,1.33,17,1.41,13,1.08,12,1.0,4,0.33,4,0.33,8,0.66,5,0.41,6,0.5,7,0.58,2,0.17,4,0.33,21,1.74,5,0.41,4,0.33,2,0.17,61,5.06,55,4.56,49,4.07,60,4.98,50,4.15,39,3.24,45,3.73,37,3.07,3,0.25,1,0.08,4,0.33,1,0.08,1,0.08,3,0.25,42,3.49,33,2.74,33,2.74,42,3.49,72,5.98,68,5.64,56,4.65,05006
5,7,941,18,1.91,8,0.85,8,0.85,11,1.17,7,0.74,10,1.06,4,0.43,34,3.61,83,8.82,14,1.49,31,3.29,23,2.44,10,1.06,7,0.74,9,0.96,11,1.17,7,0.74,28,2.98,2,0.21,2,0.21,1,0.11,3,0.32,4,0.43,7,0.74,2,0.21,5,0.53,9,0.96,1,0.11,4,0.43,3,0.32,52,5.53,43,4.57,36,3.83,40,4.25,36,3.83,32,3.4,28,2.98,30,3.19,3,0.32,1,0.11,4,0.43,1,0.11,1,0.11,5,0.53,31,3.29,20,2.13,21,2.23,30,3.19,55,5.84,49,5.21,34,3.61,05007
5,11,1547,26,1.68,31,2.0,17,1.1,28,1.81,20,1.29,27,1.75,17,1.1,40,2.59,57,3.68,31,2.0,34,2.2,30,1.94,19,1.23,16,1.03,9,0.58,11,0.71,8,0.52,10,0.65,7,0.45,8,0.52,6,0.39,3,0.19,14,0.9,6,0.39,3,0.19,4,0.26,10,0.65,4,0.26,4,0.26,4,0.26,116,7.5,118,7.63,117,7.56,122,7.89,104,6.72,106,6.85,99,6.4,89,5.75,3,0.19,3,0.19,3,0.19,6,0.39,4,0.26,5,0.32,12,0.78,19,1.23,15,0.97,17,1.1,25,1.62,19,1.23,15,0.97,05011
5,14,1966,37,1.88,34,1.73,30,1.53,33,1.68,24,1.22,30,1.53,27,1.37,50,2.54,58,2.95,25,1.27,42,2.14,33,1.68,23,1.17,15,0.76,13,0.66,20,1.02,14,0.71,16,0.81,9,0.46,9,0.46,8,0.41,7,0.36,18,0.92,6,0.31,6,0.31,3,0.15,14,0.71,8,0.41,6,0.31,4,0.2,147,7.48,152,7.73,149,7.58,159,8.09,138,7.02,142,7.22,129,6.56,127,6.46,5,0.25,3,0.15,3,0.15,4,0.2,4,0.2,3,0.15,19,0.97,14,0.71,12,0.61,26,1.32,29,1.48,24,1.22,22,1.12,05014
5,21,794,15,1.89,6,0.76,7,0.88,8,1.01,5,0.63,7,0.88,4,0.5,31,3.9,84,10.58,7,0.88,20,2.52,24,3.02,16,2.02,5,0.63,11,1.39,16,2.02,9,1.13,14,1.76,4,0.5,5,0.63,8,1.01,8,1.01,5,0.63,2,0.25,1,0.13,0,0.0,22,2.77,1,0.13,4,0.5,5,0.63,39,4.91,30,3.78,22,2.77,40,5.04,20,2.52,19,2.39,16,2.02,19,2.39,2,0.25,1,0.13,4,0.5,3,0.38,1,0.13,5,0.63,25,3.15,19,2.39,15,1.89,17,2.14,44,5.54,53,6.68,34,4.28,05021
5,24,1114,17,1.53,15,1.35,13,1.17,14,1.26,9,0.81,13,1.17,8,0.72,21,1.89,33,2.96,11,0.99,21,1.89,15,1.35,3,0.27,4,0.36,14,1.26,13,1.17,9,0.81,11,0.99,11,0.99,9,0.81,9,0.81,8,0.72,3,0.27,2,0.18,2,0.18,3,0.27,4,0.36,1,0.09,4,0.36,1,0.09,94,8.44,87,7.81,88,7.9,87,7.81,86,7.72,80,7.18,81,7.27,73,6.55,1,0.09,1,0.09,1,0.09,1,0.09,1,0.09,3,0.27,16,1.44,9,0.81,12,1.08,23,2.06,25,2.24,15,1.35,15,1.35,05024
5,26,767,11,1.43,7,0.91,7,0.91,5,0.65,3,0.39,2,0.26,5,0.65,28,3.65,81,10.56,18,2.35,24,3.13,21,2.74,17,2.22,14,1.83,6,0.78,7,0.91,7,0.91,6,0.78,5,0.65,3,0.39,1,0.13,3,0.39,4,0.52,1,0.13,0,0.0,2,0.26,13,1.69,0,0.0,2,0.26,3,0.39,48,6.26,40,5.22,37,4.82,38,4.95,31,4.04,27,3.52,23,3.0,27,3.52,2,0.26,3,0.39,2,0.26,2,0.26,1,0.13,1,0.13,12,1.56,12,1.56,9,1.17,22,2.87,36,4.69,41,5.35,23,3.0,05026
5,28,1022,17,1.66,13,1.27,7,0.68,11,1.08,5,0.49,6,0.59,5,0.49,28,2.74,66,6.46,11,1.08,21,2.05,23,2.25,12,1.17,10,0.98,15,1.47,11,1.08,12,1.17,9,0.88,23,2.25,6,0.59,6,0.59,7,0.68,3,0.29,3,0.29,1,0.1,2,0.2,12,1.17,0,0.0,0,0.0,1,0.1,64,6.26,61,5.97,56,5.48,65,6.36,51,4.99,50,4.89,48,4.7,40,3.91,3,0.29,4,0.39,2,0.2,2,0.2,2,0.2,3,0.29,26,2.54,19,1.86,21,2.05,35,3.42,39,3.82,40,3.91,23,2.25,05028
