ward,precinct,total,Thomas C. Hynes,Thomas C. Hynes Percent,precinct_id
19,1,347,347,100.0,19001
19,2,233,233,100.0,19002
19,3,207,207,100.0,19003
19,4,233,233,100.0,19004
19,5,252,252,100.0,19005
19,6,202,202,100.0,19006
19,7,249,249,100.0,19007
19,8,185,185,100.0,19008
19,9,185,185,100.0,19009
19,10,336,336,100.0,19010
19,11,270,270,100.0,19011
19,12,266,266,100.0,19012
19,13,188,188,100.0,19013
19,14,155,155,100.0,19014
19,15,138,138,100.0,19015
19,16,298,298,100.0,19016
19,17,316,316,100.0,19017
19,18,282,282,100.0,19018
19,19,252,252,100.0,19019
19,20,220,220,100.0,19020
19,21,195,195,100.0,19021
19,22,307,307,100.0,19022
19,23,276,276,100.0,19023
19,24,209,209,100.0,19024
19,25,284,284,100.0,19025
19,26,259,259,100.0,19026
19,27,150,150,100.0,19027
19,28,286,286,100.0,19028
19,29,196,196,100.0,19029
19,30,225,225,100.0,19030
19,31,221,221,100.0,19031
19,32,319,319,100.0,19032
19,33,232,232,100.0,19033
19,34,263,263,100.0,19034
19,35,246,246,100.0,19035
19,36,248,248,100.0,19036
19,37,232,232,100.0,19037
19,38,290,290,100.0,19038
19,39,105,105,100.0,19039
19,40,240,240,100.0,19040
19,41,226,226,100.0,19041
19,42,190,190,100.0,19042
19,43,236,236,100.0,19043
19,44,178,178,100.0,19044
19,45,298,298,100.0,19045
19,46,394,394,100.0,19046
19,47,175,175,100.0,19047
19,48,166,166,100.0,19048
19,49,273,273,100.0,19049
19,50,219,219,100.0,19050
19,51,216,216,100.0,19051
19,52,172,172,100.0,19052
19,53,270,270,100.0,19053
19,54,215,215,100.0,19054
19,55,210,210,100.0,19055
19,56,295,295,100.0,19056
19,57,277,277,100.0,19057
19,58,240,240,100.0,19058
19,59,275,275,100.0,19059
19,60,227,227,100.0,19060
19,61,370,370,100.0,19061
19,62,277,277,100.0,19062
19,63,179,179,100.0,19063
19,64,313,313,100.0,19064
19,65,174,174,100.0,19065
19,66,203,203,100.0,19066
19,67,56,56,100.0,19067
