ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,precinct_id
1,1,48,48,100.0,01001
1,2,128,128,100.0,01002
1,3,87,87,100.0,01003
1,4,140,140,100.0,01004
1,5,105,105,100.0,01005
1,7,122,122,100.0,01007
1,8,115,115,100.0,01008
1,9,140,140,100.0,01009
1,10,88,88,100.0,01010
1,11,119,119,100.0,01011
1,12,104,104,100.0,01012
1,13,143,143,100.0,01013
1,14,116,116,100.0,01014
1,15,86,86,100.0,01015
1,16,87,87,100.0,01016
1,17,122,122,100.0,01017
1,18,108,108,100.0,01018
1,19,147,147,100.0,01019
1,20,125,125,100.0,01020
1,21,144,144,100.0,01021
1,22,111,111,100.0,01022
1,23,124,124,100.0,01023
1,24,200,200,100.0,01024
1,25,95,95,100.0,01025
1,26,111,111,100.0,01026
1,27,114,114,100.0,01027
1,28,66,66,100.0,01028
1,29,114,114,100.0,01029
1,30,178,178,100.0,01030
1,31,65,65,100.0,01031
1,32,108,108,100.0,01032
1,33,132,132,100.0,01033
1,34,66,66,100.0,01034
1,35,57,57,100.0,01035
1,36,108,108,100.0,01036
1,37,128,128,100.0,01037
1,38,68,68,100.0,01038
1,39,158,158,100.0,01039
1,40,46,46,100.0,01040
3,13,115,115,100.0,03013
11,3,110,110,100.0,11003
11,10,118,118,100.0,11010
11,18,8,8,100.0,11018
11,26,0,0,0.0,11026
12,1,43,43,100.0,12001
12,2,64,64,100.0,12002
12,3,74,74,100.0,12003
12,4,84,84,100.0,12004
12,5,78,78,100.0,12005
12,6,56,56,100.0,12006
12,7,40,40,100.0,12007
12,8,124,124,100.0,12008
12,9,66,66,100.0,12009
12,10,53,53,100.0,12010
12,11,86,86,100.0,12011
12,12,58,58,100.0,12012
12,13,51,51,100.0,12013
12,14,53,53,100.0,12014
12,15,76,76,100.0,12015
12,16,66,66,100.0,12016
12,17,65,65,100.0,12017
12,18,36,36,100.0,12018
12,19,81,81,100.0,12019
12,20,86,86,100.0,12020
12,21,89,89,100.0,12021
12,22,69,69,100.0,12022
12,23,61,61,100.0,12023
12,24,122,122,100.0,12024
12,25,71,71,100.0,12025
12,26,65,65,100.0,12026
12,27,35,35,100.0,12027
12,28,86,86,100.0,12028
12,29,93,93,100.0,12029
13,3,139,139,100.0,13003
14,1,116,116,100.0,14001
14,3,153,153,100.0,14003
14,4,87,87,100.0,14004
14,5,189,189,100.0,14005
14,6,121,121,100.0,14006
14,7,123,123,100.0,14007
14,8,85,85,100.0,14008
14,9,128,128,100.0,14009
14,10,131,131,100.0,14010
14,11,110,110,100.0,14011
14,12,106,106,100.0,14012
14,13,127,127,100.0,14013
14,14,83,83,100.0,14014
14,15,208,208,100.0,14015
14,16,118,118,100.0,14016
14,17,181,181,100.0,14017
14,18,86,86,100.0,14018
14,19,212,212,100.0,14019
14,20,102,102,100.0,14020
14,21,161,161,100.0,14021
14,22,129,129,100.0,14022
14,23,105,105,100.0,14023
14,24,105,105,100.0,14024
14,26,84,84,100.0,14026
14,27,80,80,100.0,14027
14,29,153,153,100.0,14029
14,30,104,104,100.0,14030
14,31,172,172,100.0,14031
14,32,99,99,100.0,14032
14,33,121,121,100.0,14033
14,34,127,127,100.0,14034
