ward,precinct,total,Dorothy J. Tillman,Dorothy J. Tillman Percent,precinct_id
3,1,112,112,100.0,03001
3,2,237,237,100.0,03002
3,3,97,97,100.0,03003
3,4,51,51,100.0,03004
3,5,84,84,100.0,03005
3,6,101,101,100.0,03006
3,7,148,148,100.0,03007
3,8,25,25,100.0,03008
3,9,110,110,100.0,03009
3,10,90,90,100.0,03010
3,11,75,75,100.0,03011
3,12,169,169,100.0,03012
3,13,89,89,100.0,03013
3,14,83,83,100.0,03014
3,15,132,132,100.0,03015
3,16,248,248,100.0,03016
3,17,107,107,100.0,03017
3,18,103,103,100.0,03018
3,19,19,19,100.0,03019
3,20,5,5,100.0,03020
3,21,102,102,100.0,03021
3,22,107,107,100.0,03022
3,23,25,25,100.0,03023
3,24,123,123,100.0,03024
3,25,20,20,100.0,03025
3,26,98,98,100.0,03026
3,27,5,5,100.0,03027
3,28,75,75,100.0,03028
3,29,108,108,100.0,03029
3,30,107,107,100.0,03030
3,31,201,201,100.0,03031
3,32,103,103,100.0,03032
3,33,173,173,100.0,03033
3,34,88,88,100.0,03034
3,35,115,115,100.0,03035
3,36,87,87,100.0,03036
3,37,69,69,100.0,03037
3,38,36,36,100.0,03038
3,39,262,262,100.0,03039
3,40,122,122,100.0,03040
3,41,154,154,100.0,03041
3,42,110,110,100.0,03042
3,43,68,68,100.0,03043
3,44,65,65,100.0,03044
3,45,47,47,100.0,03045
3,46,159,159,100.0,03046
3,47,89,89,100.0,03047
3,48,120,120,100.0,03048
3,49,29,29,100.0,03049
3,50,152,152,100.0,03050
3,51,31,31,100.0,03051
3,52,63,63,100.0,03052
3,53,118,118,100.0,03053
3,54,75,75,100.0,03054
3,55,108,108,100.0,03055
3,56,109,109,100.0,03056
3,57,178,178,100.0,03057
3,58,40,40,100.0,03058
3,59,66,66,100.0,03059
3,60,137,137,100.0,03060
3,61,105,105,100.0,03061
3,62,78,78,100.0,03062
3,63,66,66,100.0,03063
