ward,precinct,total,Melanie R. Nuby,Melanie R. Nuby Percent,Orville E. Hambright,Orville E. Hambright Percent,Robert Balanoff,Robert Balanoff Percent,LaGuina Clay-Clark,LaGuina Clay-Clark Percent,precinct_id
5,12,129,33,25.58,28,21.71,43,33.33,25,19.38,05012
5,50,4,2,50.0,1,25.0,0,0.0,1,25.0,05050
6,1,282,85,30.14,86,30.5,55,19.5,56,19.86,06001
6,2,273,71,26.01,76,27.84,70,25.64,56,20.51,06002
6,3,238,57,23.95,87,36.55,50,21.01,44,18.49,06003
6,4,119,23,19.33,28,23.53,31,26.05,37,31.09,06004
6,5,90,24,26.67,18,20.0,25,27.78,23,25.56,06005
6,6,195,44,22.56,65,33.33,36,18.46,50,25.64,06006
6,8,203,45,22.17,49,24.14,53,26.11,56,27.59,06008
6,9,171,47,27.49,66,38.6,24,14.04,34,19.88,06009
6,10,287,64,22.3,102,35.54,77,26.83,44,15.33,06010
6,11,211,53,25.12,51,24.17,50,23.7,57,27.01,06011
6,12,135,44,32.59,26,19.26,27,20.0,38,28.15,06012
6,13,195,74,37.95,46,23.59,24,12.31,51,26.15,06013
6,14,196,45,22.96,59,30.1,39,19.9,53,27.04,06014
6,16,250,52,20.8,75,30.0,73,29.2,50,20.0,06016
6,17,275,59,21.45,90,32.73,70,25.45,56,20.36,06017
6,19,246,62,25.2,53,21.54,67,27.24,64,26.02,06019
6,21,213,59,27.7,55,25.82,59,27.7,40,18.78,06021
6,22,215,46,21.4,87,40.47,48,22.33,34,15.81,06022
6,23,176,36,20.45,84,47.73,31,17.61,25,14.2,06023
6,24,234,69,29.49,51,21.79,64,27.35,50,21.37,06024
6,25,150,47,31.33,40,26.67,25,16.67,38,25.33,06025
6,26,236,72,30.51,67,28.39,42,17.8,55,23.31,06026
6,27,302,65,21.52,114,37.75,65,21.52,58,19.21,06027
6,28,388,126,32.47,126,32.47,60,15.46,76,19.59,06028
6,29,270,53,19.63,82,30.37,61,22.59,74,27.41,06029
6,31,262,73,27.86,86,32.82,59,22.52,44,16.79,06031
6,34,188,39,20.74,69,36.7,37,19.68,43,22.87,06034
6,35,261,46,17.62,86,32.95,73,27.97,56,21.46,06035
6,36,38,10,26.32,9,23.68,11,28.95,8,21.05,06036
6,37,276,51,18.48,104,37.68,52,18.84,69,25.0,06037
6,38,253,65,25.69,73,28.85,66,26.09,49,19.37,06038
6,39,130,27,20.77,58,44.62,23,17.69,22,16.92,06039
6,40,115,27,23.48,33,28.7,28,24.35,27,23.48,06040
6,41,222,48,21.62,89,40.09,45,20.27,40,18.02,06041
6,42,96,23,23.96,35,36.46,17,17.71,21,21.88,06042
6,43,215,38,17.67,84,39.07,47,21.86,46,21.4,06043
6,44,215,62,28.84,87,40.47,37,17.21,29,13.49,06044
6,45,150,30,20.0,42,28.0,36,24.0,42,28.0,06045
6,46,186,35,18.82,71,38.17,39,20.97,41,22.04,06046
6,47,242,51,21.07,87,35.95,44,18.18,60,24.79,06047
6,49,199,44,22.11,47,23.62,63,31.66,45,22.61,06049
6,50,240,60,25.0,70,29.17,63,26.25,47,19.58,06050
6,51,168,39,23.21,52,30.95,50,29.76,27,16.07,06051
6,52,159,59,37.11,46,28.93,24,15.09,30,18.87,06052
6,53,204,62,30.39,44,21.57,38,18.63,60,29.41,06053
6,54,204,81,39.71,36,17.65,48,23.53,39,19.12,06054
6,55,164,39,23.78,67,40.85,28,17.07,30,18.29,06055
6,56,140,27,19.29,50,35.71,33,23.57,30,21.43,06056
6,57,116,34,29.31,33,28.45,22,18.97,27,23.28,06057
6,58,256,53,20.7,93,36.33,43,16.8,67,26.17,06058
6,59,221,45,20.36,94,42.53,37,16.74,45,20.36,06059
6,60,143,29,20.28,37,25.87,40,27.97,37,25.87,06060
6,62,70,24,34.29,18,25.71,14,20.0,14,20.0,06062
6,63,187,86,45.99,29,15.51,32,17.11,40,21.39,06063
6,64,273,61,22.34,92,33.7,78,28.57,42,15.38,06064
7,1,243,52,21.4,45,18.52,78,32.1,68,27.98,07001
7,2,239,40,16.74,37,15.48,74,30.96,88,36.82,07002
7,3,145,28,19.31,25,17.24,32,22.07,60,41.38,07003
7,4,150,19,12.67,11,7.33,47,31.33,73,48.67,07004
7,5,142,29,20.42,13,9.15,39,27.46,61,42.96,07005
7,6,146,27,18.49,23,15.75,33,22.6,63,43.15,07006
7,7,110,21,19.09,13,11.82,21,19.09,55,50.0,07007
7,8,57,15,26.32,2,3.51,25,43.86,15,26.32,07008
7,10,117,33,28.21,14,11.97,34,29.06,36,30.77,07010
7,12,133,26,19.55,22,16.54,45,33.83,40,30.08,07012
7,13,134,33,24.63,23,17.16,29,21.64,49,36.57,07013
7,14,219,104,47.49,37,16.89,30,13.7,48,21.92,07014
7,15,114,30,26.32,17,14.91,17,14.91,50,43.86,07015
7,16,135,22,16.3,22,16.3,35,25.93,56,41.48,07016
7,17,116,27,23.28,20,17.24,31,26.72,38,32.76,07017
7,18,119,28,23.53,10,8.4,37,31.09,44,36.97,07018
7,19,294,75,25.51,50,17.01,74,25.17,95,32.31,07019
7,20,84,20,23.81,10,11.9,38,45.24,16,19.05,07020
7,21,185,39,21.08,26,14.05,60,32.43,60,32.43,07021
7,22,143,17,11.89,26,18.18,38,26.57,62,43.36,07022
7,23,118,24,20.34,25,21.19,34,28.81,35,29.66,07023
7,24,164,19,11.59,20,12.2,74,45.12,51,31.1,07024
7,25,214,34,15.89,29,13.55,89,41.59,62,28.97,07025
7,26,251,51,20.32,41,16.33,63,25.1,96,38.25,07026
7,27,283,74,26.15,40,14.13,91,32.16,78,27.56,07027
7,28,165,27,16.36,23,13.94,47,28.48,68,41.21,07028
7,29,123,10,8.13,16,13.01,44,35.77,53,43.09,07029
7,30,237,21,8.86,64,27.0,107,45.15,45,18.99,07030
7,31,211,21,9.95,59,27.96,95,45.02,36,17.06,07031
7,32,147,41,27.89,14,9.52,57,38.78,35,23.81,07032
7,33,146,7,4.79,31,21.23,87,59.59,21,14.38,07033
7,34,179,42,23.46,24,13.41,35,19.55,78,43.58,07034
7,36,240,36,15.0,45,18.75,85,35.42,74,30.83,07036
7,37,94,13,13.83,6,6.38,48,51.06,27,28.72,07037
7,38,136,24,17.65,11,8.09,60,44.12,41,30.15,07038
7,39,159,35,22.01,47,29.56,28,17.61,49,30.82,07039
7,41,140,17,12.14,14,10.0,55,39.29,54,38.57,07041
7,42,242,54,22.31,45,18.6,61,25.21,82,33.88,07042
7,43,201,30,14.93,19,9.45,113,56.22,39,19.4,07043
7,46,77,14,18.18,5,6.49,47,61.04,11,14.29,07046
7,47,143,26,18.18,10,6.99,60,41.96,47,32.87,07047
7,48,72,17,23.61,11,15.28,19,26.39,25,34.72,07048
7,49,117,19,16.24,10,8.55,46,39.32,42,35.9,07049
7,51,150,29,19.33,49,32.67,36,24.0,36,24.0,07051
7,52,170,29,17.06,13,7.65,75,44.12,53,31.18,07052
