ward,precinct,total,Thomas G. Lyons,Thomas G. Lyons Percent,Ronald C. Pacelt,Ronald C. Pacelt Percent,Robert A. Bank,Robert A. Bank Percent,precinct_id
45,1,114,77,67.54,16,14.04,21,18.42,45001
45,2,108,74,68.52,6,5.56,28,25.93,45002
45,3,284,249,87.68,7,2.46,28,9.86,45003
45,4,214,161,75.23,16,7.48,37,17.29,45004
45,5,179,125,69.83,14,7.82,40,22.35,45005
45,6,170,131,77.06,13,7.65,26,15.29,45006
45,7,121,76,62.81,9,7.44,36,29.75,45007
45,8,128,85,66.41,9,7.03,34,26.56,45008
45,9,179,143,79.89,11,6.15,25,13.97,45009
45,10,193,122,63.21,12,6.22,59,30.57,45010
45,11,144,109,75.69,6,4.17,29,20.14,45011
45,12,168,97,57.74,16,9.52,55,32.74,45012
45,13,283,263,92.93,4,1.41,16,5.65,45013
45,14,197,115,58.38,16,8.12,66,33.5,45014
45,15,221,164,74.21,21,9.5,36,16.29,45015
45,16,179,139,77.65,5,2.79,35,19.55,45016
45,17,196,151,77.04,19,9.69,26,13.27,45017
45,18,191,137,71.73,6,3.14,48,25.13,45018
45,19,182,118,64.84,36,19.78,28,15.38,45019
45,20,161,108,67.08,5,3.11,48,29.81,45020
45,21,144,98,68.06,8,5.56,38,26.39,45021
45,22,127,95,74.8,8,6.3,24,18.9,45022
45,23,170,126,74.12,17,10.0,27,15.88,45023
45,24,179,121,67.6,7,3.91,51,28.49,45024
45,25,211,147,69.67,13,6.16,51,24.17,45025
45,26,208,160,76.92,11,5.29,37,17.79,45026
45,27,156,127,81.41,6,3.85,23,14.74,45027
45,28,171,119,69.59,5,2.92,47,27.49,45028
45,29,173,128,73.99,9,5.2,36,20.81,45029
45,30,189,156,82.54,9,4.76,24,12.7,45030
45,31,145,101,69.66,9,6.21,35,24.14,45031
45,32,103,69,66.99,8,7.77,26,25.24,45032
45,33,158,117,74.05,11,6.96,30,18.99,45033
45,34,123,90,73.17,5,4.07,28,22.76,45034
45,35,156,115,73.72,9,5.77,32,20.51,45035
45,36,132,79,59.85,11,8.33,42,31.82,45036
45,37,143,100,69.93,12,8.39,31,21.68,45037
45,38,212,153,72.17,16,7.55,43,20.28,45038
45,39,201,140,69.65,13,6.47,48,23.88,45039
45,40,246,173,70.33,14,5.69,59,23.98,45040
45,41,109,78,71.56,9,8.26,22,20.18,45041
45,42,192,144,75.0,18,9.38,30,15.63,45042
45,43,146,108,73.97,7,4.79,31,21.23,45043
45,44,187,140,74.87,10,5.35,37,19.79,45044
45,45,127,84,66.14,12,9.45,31,24.41,45045
45,46,194,124,63.92,14,7.22,56,28.87,45046
45,47,173,137,79.19,7,4.05,29,16.76,45047
45,48,173,124,71.68,11,6.36,38,21.97,45048
45,49,141,116,82.27,8,5.67,17,12.06,45049
45,50,118,82,69.49,8,6.78,28,23.73,45050
45,51,138,105,76.09,10,7.25,23,16.67,45051
45,52,156,121,77.56,11,7.05,24,15.38,45052
45,53,132,95,71.97,11,8.33,26,19.7,45053
