ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,precinct_id
1,1,61,61,100.0,01001
1,2,45,45,100.0,01002
1,3,31,31,100.0,01003
1,4,40,40,100.0,01004
1,5,52,52,100.0,01005
1,8,0,0,0.0,01008
1,10,33,33,100.0,01010
1,11,56,56,100.0,01011
1,14,54,54,100.0,01014
1,15,38,38,100.0,01015
1,17,43,43,100.0,01017
1,18,49,49,100.0,01018
1,21,31,31,100.0,01021
1,22,43,43,100.0,01022
1,23,45,45,100.0,01023
1,25,31,31,100.0,01025
1,26,29,29,100.0,01026
1,27,42,42,100.0,01027
1,32,61,61,100.0,01032
1,33,51,51,100.0,01033
1,35,0,0,0.0,01035
1,36,40,40,100.0,01036
1,37,44,44,100.0,01037
1,40,18,18,100.0,01040
26,1,27,27,100.0,26001
26,2,27,27,100.0,26002
26,3,17,17,100.0,26003
26,5,45,45,100.0,26005
26,7,19,19,100.0,26007
26,9,22,22,100.0,26009
26,10,27,27,100.0,26010
26,11,28,28,100.0,26011
26,12,19,19,100.0,26012
26,14,23,23,100.0,26014
26,15,23,23,100.0,26015
26,18,21,21,100.0,26018
26,20,36,36,100.0,26020
26,21,33,33,100.0,26021
26,22,25,25,100.0,26022
26,23,24,24,100.0,26023
26,24,27,27,100.0,26024
26,25,16,16,100.0,26025
26,27,21,21,100.0,26027
26,28,23,23,100.0,26028
26,29,27,27,100.0,26029
26,31,25,25,100.0,26031
26,32,28,28,100.0,26032
26,35,32,32,100.0,26035
26,36,17,17,100.0,26036
26,37,17,17,100.0,26037
26,38,19,19,100.0,26038
26,39,26,26,100.0,26039
26,40,9,9,100.0,26040
26,41,20,20,100.0,26041
26,43,34,34,100.0,26043
26,44,22,22,100.0,26044
26,45,17,17,100.0,26045
26,47,18,18,100.0,26047
26,48,47,47,100.0,26048
26,49,29,29,100.0,26049
26,50,20,20,100.0,26050
26,52,17,17,100.0,26052
26,53,23,23,100.0,26053
26,55,25,25,100.0,26055
26,56,29,29,100.0,26056
26,57,12,12,100.0,26057
26,58,27,27,100.0,26058
26,59,65,65,100.0,26059
26,61,19,19,100.0,26061
26,63,7,7,100.0,26063
27,4,70,70,100.0,27004
27,10,77,77,100.0,27010
27,27,0,0,0.0,27027
27,32,63,63,100.0,27032
27,35,75,75,100.0,27035
27,38,39,39,100.0,27038
27,41,26,26,100.0,27041
27,56,34,34,100.0,27056
27,59,63,63,100.0,27059
30,20,30,30,100.0,30020
30,23,28,28,100.0,30023
30,26,22,22,100.0,30026
30,29,22,22,100.0,30029
30,31,29,29,100.0,30031
30,32,12,12,100.0,30032
30,33,40,40,100.0,30033
32,1,58,58,100.0,32001
32,3,33,33,100.0,32003
32,11,27,27,100.0,32011
32,12,36,36,100.0,32012
32,17,46,46,100.0,32017
32,46,0,0,0.0,32046
35,14,0,0,0.0,35014
35,32,31,31,100.0,35032
37,42,0,0,0.0,37042
