ward,precinct,total,Robert Shaw,Robert Shaw Percent,"Larry R. Rogers, Jr.","Larry R. Rogers, Jr. Percent",precinct_id
2,3,102,60,58.82,42,41.18,02003
2,4,131,78,59.54,53,40.46,02004
2,5,94,36,38.3,58,61.7,02005
2,6,69,35,50.72,34,49.28,02006
2,7,243,123,50.62,120,49.38,02007
2,9,124,58,46.77,66,53.23,02009
2,10,50,25,50.0,25,50.0,02010
2,12,71,35,49.3,36,50.7,02012
2,13,129,45,34.88,84,65.12,02013
2,14,310,136,43.87,174,56.13,02014
2,15,34,17,50.0,17,50.0,02015
2,16,99,51,51.52,48,48.48,02016
2,17,133,78,58.65,55,41.35,02017
2,18,246,109,44.31,137,55.69,02018
2,19,95,47,49.47,48,50.53,02019
2,20,183,80,43.72,103,56.28,02020
2,21,211,96,45.5,115,54.5,02021
2,23,120,68,56.67,52,43.33,02023
2,24,105,50,47.62,55,52.38,02024
2,25,92,50,54.35,42,45.65,02025
2,26,192,81,42.19,111,57.81,02026
2,27,112,59,52.68,53,47.32,02027
2,29,75,32,42.67,43,57.33,02029
2,30,103,47,45.63,56,54.37,02030
2,31,200,81,40.5,119,59.5,02031
2,33,99,62,62.63,37,37.37,02033
2,34,207,89,43.0,118,57.0,02034
2,36,77,40,51.95,37,48.05,02036
2,38,173,87,50.29,86,49.71,02038
2,39,137,53,38.69,84,61.31,02039
2,40,19,11,57.89,8,42.11,02040
2,41,88,47,53.41,41,46.59,02041
2,42,47,28,59.57,19,40.43,02042
2,44,111,55,49.55,56,50.45,02044
2,45,134,65,48.51,69,51.49,02045
2,46,290,116,40.0,174,60.0,02046
2,47,169,92,54.44,77,45.56,02047
2,48,107,64,59.81,43,40.19,02048
2,51,136,67,49.26,69,50.74,02051
2,52,149,80,53.69,69,46.31,02052
2,53,72,37,51.39,35,48.61,02053
2,56,160,78,48.75,82,51.25,02056
2,57,86,59,68.6,27,31.4,02057
3,1,149,89,59.73,60,40.27,03001
3,2,277,129,46.57,148,53.43,03002
3,4,62,47,75.81,15,24.19,03004
3,5,100,46,46.0,54,54.0,03005
3,6,99,60,60.61,39,39.39,03006
3,7,157,79,50.32,78,49.68,03007
3,8,31,19,61.29,12,38.71,03008
3,9,132,78,59.09,54,40.91,03009
3,10,92,63,68.48,29,31.52,03010
