ward,precinct,total,"Lovana S. """"Lou"""" Jones","Lovana S. """"Lou"""" Jones Percent",precinct_id
2,7,186,186,100.0,02007
2,8,142,142,100.0,02008
2,14,0,0,0.0,02014
2,18,238,238,100.0,02018
2,20,154,154,100.0,02020
2,21,157,157,100.0,02021
2,26,151,151,100.0,02026
2,31,103,103,100.0,02031
2,37,134,134,100.0,02037
2,40,183,183,100.0,02040
2,44,110,110,100.0,02044
2,46,248,248,100.0,02046
2,49,6,6,100.0,02049
3,2,244,244,100.0,03002
3,5,86,86,100.0,03005
3,7,146,146,100.0,03007
3,9,6,6,100.0,03009
3,16,273,273,100.0,03016
3,30,129,129,100.0,03030
3,31,186,186,100.0,03031
3,34,101,101,100.0,03034
3,39,238,238,100.0,03039
3,46,148,148,100.0,03046
3,49,0,0,0.0,03049
3,56,115,115,100.0,03056
3,58,49,49,100.0,03058
3,61,55,55,100.0,03061
4,2,247,247,100.0,04002
4,3,239,239,100.0,04003
4,4,224,224,100.0,04004
4,5,223,223,100.0,04005
4,7,131,131,100.0,04007
4,8,194,194,100.0,04008
4,10,204,204,100.0,04010
4,11,208,208,100.0,04011
4,12,109,109,100.0,04012
4,13,172,172,100.0,04013
4,14,104,104,100.0,04014
4,15,121,121,100.0,04015
4,16,262,262,100.0,04016
4,18,209,209,100.0,04018
4,19,236,236,100.0,04019
4,20,65,65,100.0,04020
4,23,145,145,100.0,04023
4,24,255,255,100.0,04024
4,25,206,206,100.0,04025
4,26,199,199,100.0,04026
4,27,237,237,100.0,04027
4,30,62,62,100.0,04030
4,31,53,53,100.0,04031
4,33,88,88,100.0,04033
4,35,112,112,100.0,04035
4,36,81,81,100.0,04036
4,37,93,93,100.0,04037
4,39,88,88,100.0,04039
4,40,174,174,100.0,04040
4,42,209,209,100.0,04042
4,46,191,191,100.0,04046
4,49,102,102,100.0,04049
4,50,178,178,100.0,04050
4,51,238,238,100.0,04051
4,52,39,39,100.0,04052
4,53,174,174,100.0,04053
4,56,250,250,100.0,04056
4,57,106,106,100.0,04057
5,2,179,179,100.0,05002
5,9,182,182,100.0,05009
5,10,186,186,100.0,05010
5,13,155,155,100.0,05013
5,15,179,179,100.0,05015
5,16,121,121,100.0,05016
5,18,231,231,100.0,05018
5,19,80,80,100.0,05019
5,23,139,139,100.0,05023
5,45,111,111,100.0,05045
5,51,144,144,100.0,05051
5,52,47,47,100.0,05052
6,39,1,1,100.0,06039
20,2,120,120,100.0,20002
20,5,89,89,100.0,20005
20,9,115,115,100.0,20009
20,14,0,0,0.0,20014
20,18,152,152,100.0,20018
20,22,129,129,100.0,20022
20,24,257,257,100.0,20024
20,29,120,120,100.0,20029
20,32,215,215,100.0,20032
20,36,114,114,100.0,20036
20,47,71,71,100.0,20047
42,1,100,100,100.0,42001
42,2,79,79,100.0,42002
42,5,80,80,100.0,42005
42,6,182,182,100.0,42006
42,7,94,94,100.0,42007
42,9,6,6,100.0,42009
42,11,96,96,100.0,42011
42,13,186,186,100.0,42013
42,23,93,93,100.0,42023
42,24,99,99,100.0,42024
42,25,82,82,100.0,42025
42,29,92,92,100.0,42029
42,31,51,51,100.0,42031
42,35,70,70,100.0,42035
42,37,89,89,100.0,42037
42,38,87,87,100.0,42038
42,40,67,67,100.0,42040
42,41,94,94,100.0,42041
42,42,58,58,100.0,42042
42,43,100,100,100.0,42043
42,44,102,102,100.0,42044
42,47,62,62,100.0,42047
42,48,62,62,100.0,42048
42,50,68,68,100.0,42050
42,51,98,98,100.0,42051
42,52,57,57,100.0,42052
42,53,71,71,100.0,42053
42,54,62,62,100.0,42054
42,61,37,37,100.0,42061
42,62,62,62,100.0,42062
42,63,70,70,100.0,42063
42,64,53,53,100.0,42064
42,65,76,76,100.0,42065
42,66,75,75,100.0,42066
43,62,59,59,100.0,43062
43,66,33,33,100.0,43066
