ward,precinct,total,"Leonard """"Lenny"""" Brody (Kucinich)","Leonard """"Lenny"""" Brody (Kucinich) Percent","Proco """"Joe"""" Moreno (Dean)","Proco """"Joe"""" Moreno (Dean) Percent",Francisco Cisneros (Gephardt),Francisco Cisneros (Gephardt) Percent,Nicholas J. Delgado (Edwards),Nicholas J. Delgado (Edwards) Percent,Gary Klein (Kerry),Gary Klein (Kerry) Percent,William Bennett (Braun),William Bennett (Braun) Percent,precinct_id
1,1,53,6,11.32,8,15.09,2,3.77,6,11.32,24,45.28,6,11.32,01001
1,2,120,17,14.17,10,8.33,9,7.5,12,10.0,66,55.0,4,3.33,01002
1,3,104,10,9.62,17,16.35,3,2.88,9,8.65,54,51.92,2,1.92,01003
1,4,126,21,16.67,11,8.73,6,4.76,9,7.14,69,54.76,7,5.56,01004
1,5,112,18,16.07,12,10.71,3,2.68,9,8.04,59,52.68,5,4.46,01005
1,7,122,9,7.38,12,9.84,16,13.11,9,7.38,66,54.1,5,4.1,01007
1,8,115,10,8.7,15,13.04,8,6.96,11,9.57,53,46.09,12,10.43,01008
1,9,128,10,7.81,29,22.66,9,7.03,15,11.72,53,41.41,7,5.47,01009
1,10,92,8,8.7,12,13.04,0,0.0,10,10.87,57,61.96,3,3.26,01010
1,11,108,14,12.96,12,11.11,10,9.26,11,10.19,50,46.3,8,7.41,01011
1,12,102,13,12.75,7,6.86,2,1.96,12,11.76,63,61.76,1,0.98,01012
1,13,128,14,10.94,17,13.28,12,9.38,21,16.41,56,43.75,2,1.56,01013
1,14,115,13,11.3,9,7.83,4,3.48,10,8.7,71,61.74,5,4.35,01014
1,15,82,8,9.76,13,15.85,6,7.32,11,13.41,31,37.8,5,6.1,01015
1,16,80,8,10.0,10,12.5,7,8.75,10,12.5,29,36.25,13,16.25,01016
1,17,123,17,13.82,16,13.01,4,3.25,10,8.13,63,51.22,8,6.5,01017
1,18,107,20,18.69,14,13.08,6,5.61,18,16.82,34,31.78,6,5.61,01018
1,19,138,11,7.97,16,11.59,9,6.52,24,17.39,68,49.28,6,4.35,01019
1,20,115,14,12.17,20,17.39,8,6.96,19,16.52,45,39.13,4,3.48,01020
1,21,137,19,13.87,11,8.03,3,2.19,15,10.95,78,56.93,5,3.65,01021
1,22,102,6,5.88,13,12.75,14,13.73,18,17.65,39,38.24,8,7.84,01022
1,23,118,16,13.56,13,11.02,8,6.78,12,10.17,54,45.76,8,6.78,01023
1,24,208,26,12.5,26,12.5,15,7.21,21,10.1,109,52.4,7,3.37,01024
1,25,91,12,13.19,10,10.99,5,5.49,9,9.89,47,51.65,5,5.49,01025
1,26,105,14,13.33,10,9.52,8,7.62,8,7.62,54,51.43,6,5.71,01026
1,27,109,12,11.01,10,9.17,5,4.59,20,18.35,51,46.79,8,7.34,01027
1,28,70,3,4.29,12,17.14,7,10.0,4,5.71,21,30.0,17,24.29,01028
1,29,99,14,14.14,7,7.07,11,11.11,14,14.14,43,43.43,6,6.06,01029
1,30,171,15,8.77,25,14.62,20,11.7,23,13.45,71,41.52,6,3.51,01030
1,31,61,7,11.48,4,6.56,1,1.64,7,11.48,40,65.57,2,3.28,01031
1,32,91,11,12.09,20,21.98,10,10.99,13,14.29,26,28.57,9,9.89,01032
1,33,125,15,12.0,24,19.2,13,10.4,17,13.6,44,35.2,8,6.4,01033
1,34,76,12,15.79,5,6.58,8,10.53,7,9.21,35,46.05,5,6.58,01034
1,35,54,4,7.41,5,9.26,2,3.7,8,14.81,33,61.11,1,1.85,01035
1,36,125,17,13.6,21,16.8,3,2.4,17,13.6,62,49.6,2,1.6,01036
1,37,128,14,10.94,15,11.72,6,4.69,11,8.59,67,52.34,11,8.59,01037
1,38,66,5,7.58,5,7.58,8,12.12,8,12.12,34,51.52,5,7.58,01038
1,39,166,10,6.02,18,10.84,22,13.25,27,16.27,75,45.18,8,4.82,01039
1,40,48,4,8.33,7,14.58,6,12.5,2,4.17,25,52.08,3,6.25,01040
3,13,108,4,3.7,20,18.52,25,23.15,16,14.81,39,36.11,0,0.0,03013
11,3,112,7,6.25,22,19.64,10,8.93,13,11.61,58,51.79,0,0.0,11003
11,10,113,4,3.54,22,19.47,16,14.16,8,7.08,55,48.67,4,3.54,11010
11,18,10,0,0.0,3,30.0,0,0.0,2,20.0,3,30.0,2,20.0,11018
11,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11026
12,1,46,4,8.7,7,15.22,14,30.43,8,17.39,12,26.09,0,0.0,12001
12,2,66,3,4.55,16,24.24,20,30.3,3,4.55,20,30.3,1,1.52,12002
12,3,77,5,6.49,10,12.99,18,23.38,12,15.58,29,37.66,2,2.6,12003
12,4,73,5,6.85,11,15.07,13,17.81,14,19.18,27,36.99,1,1.37,12004
12,5,87,11,12.64,13,14.94,17,19.54,9,10.34,32,36.78,3,3.45,12005
12,6,49,2,4.08,15,30.61,9,18.37,6,12.24,14,28.57,2,4.08,12006
12,7,43,7,16.28,9,20.93,6,13.95,6,13.95,11,25.58,1,2.33,12007
12,8,132,10,7.58,19,14.39,21,15.91,15,11.36,57,43.18,8,6.06,12008
12,9,69,6,8.7,14,20.29,13,18.84,5,7.25,29,42.03,1,1.45,12009
12,10,59,7,11.86,10,16.95,11,18.64,5,8.47,26,44.07,0,0.0,12010
12,11,101,7,6.93,15,14.85,23,22.77,10,9.9,36,35.64,4,3.96,12011
12,12,59,3,5.08,12,20.34,10,16.95,7,11.86,21,35.59,2,3.39,12012
12,13,59,6,10.17,11,18.64,2,3.39,9,15.25,26,44.07,2,3.39,12013
12,14,58,9,15.52,10,17.24,12,20.69,4,6.9,18,31.03,3,5.17,12014
12,15,75,6,8.0,22,29.33,16,21.33,5,6.67,21,28.0,3,4.0,12015
12,16,83,5,6.02,21,25.3,15,18.07,8,9.64,26,31.33,6,7.23,12016
12,17,73,2,2.74,9,12.33,18,24.66,10,13.7,25,34.25,5,6.85,12017
12,18,36,2,5.56,11,30.56,9,25.0,2,5.56,12,33.33,0,0.0,12018
12,19,87,8,9.2,22,25.29,15,17.24,12,13.79,24,27.59,3,3.45,12019
12,20,87,7,8.05,12,13.79,20,22.99,11,12.64,36,41.38,1,1.15,12020
12,21,91,1,1.1,19,20.88,9,9.89,9,9.89,42,46.15,7,7.69,12021
12,22,78,9,11.54,23,29.49,19,24.36,10,12.82,13,16.67,4,5.13,12022
12,23,70,4,5.71,12,17.14,16,22.86,12,17.14,19,27.14,2,2.86,12023
12,24,136,13,9.56,18,13.24,29,21.32,16,11.76,48,35.29,7,5.15,12024
12,25,78,2,2.56,17,21.79,13,16.67,16,20.51,26,33.33,3,3.85,12025
12,26,76,7,9.21,12,15.79,18,23.68,7,9.21,25,32.89,4,5.26,12026
12,27,44,3,6.82,4,9.09,9,20.45,6,13.64,15,34.09,1,2.27,12027
12,28,90,8,8.89,10,11.11,12,13.33,16,17.78,35,38.89,5,5.56,12028
12,29,98,4,4.08,18,18.37,19,19.39,7,7.14,42,42.86,5,5.1,12029
13,3,155,19,12.26,20,12.9,34,21.94,19,12.26,53,34.19,6,3.87,13003
14,1,114,4,3.51,8,7.02,11,9.65,12,10.53,76,66.67,2,1.75,14001
14,3,166,6,3.61,24,14.46,10,6.02,19,11.45,106,63.86,1,0.6,14003
14,4,92,4,4.35,8,8.7,11,11.96,10,10.87,53,57.61,3,3.26,14004
14,5,177,8,4.52,12,6.78,13,7.34,5,2.82,132,74.58,5,2.82,14005
14,6,122,3,2.46,17,13.93,26,21.31,15,12.3,53,43.44,5,4.1,14006
14,7,127,12,9.45,9,7.09,10,7.87,9,7.09,81,63.78,5,3.94,14007
14,8,78,3,3.85,11,14.1,7,8.97,5,6.41,48,61.54,2,2.56,14008
14,9,144,2,1.39,20,13.89,22,15.28,14,9.72,75,52.08,7,4.86,14009
14,10,132,8,6.06,9,6.82,17,12.88,10,7.58,79,59.85,5,3.79,14010
14,11,103,3,2.91,18,17.48,9,8.74,14,13.59,56,54.37,1,0.97,14011
14,12,105,4,3.81,3,2.86,7,6.67,13,12.38,77,73.33,0,0.0,14012
14,13,144,12,8.33,18,12.5,14,9.72,13,9.03,82,56.94,3,2.08,14013
14,14,76,3,3.95,6,7.89,14,18.42,5,6.58,44,57.89,4,5.26,14014
14,15,215,9,4.19,11,5.12,15,6.98,13,6.05,157,73.02,3,1.4,14015
14,16,126,9,7.14,13,10.32,17,13.49,18,14.29,60,47.62,5,3.97,14016
14,17,175,9,5.14,9,5.14,9,5.14,3,1.71,142,81.14,0,0.0,14017
14,18,104,11,10.58,17,16.35,14,13.46,7,6.73,48,46.15,3,2.88,14018
14,19,205,10,4.88,17,8.29,21,10.24,11,5.37,130,63.41,9,4.39,14019
14,20,115,10,8.7,11,9.57,11,9.57,14,12.17,65,56.52,0,0.0,14020
14,21,151,3,1.99,8,5.3,9,5.96,10,6.62,115,76.16,2,1.32,14021
14,22,133,3,2.26,6,4.51,13,9.77,12,9.02,90,67.67,5,3.76,14022
14,23,104,8,7.69,9,8.65,7,6.73,8,7.69,67,64.42,2,1.92,14023
14,24,109,8,7.34,5,4.59,7,6.42,4,3.67,84,77.06,1,0.92,14024
14,26,82,8,9.76,7,8.54,11,13.41,8,9.76,41,50.0,4,4.88,14026
14,27,88,6,6.82,7,7.95,11,12.5,10,11.36,50,56.82,2,2.27,14027
14,29,153,4,2.61,10,6.54,21,13.73,16,10.46,89,58.17,9,5.88,14029
14,30,111,4,3.6,15,13.51,13,11.71,4,3.6,71,63.96,3,2.7,14030
14,31,172,3,1.74,5,2.91,7,4.07,11,6.4,139,80.81,3,1.74,14031
14,32,95,4,4.21,3,3.16,21,22.11,8,8.42,54,56.84,4,4.21,14032
14,33,126,4,3.17,8,6.35,17,13.49,10,7.94,78,61.9,5,3.97,14033
14,34,130,4,3.08,9,6.92,13,10.0,7,5.38,94,72.31,1,0.77,14034
14,35,66,9,13.64,10,15.15,7,10.61,8,12.12,29,43.94,2,3.03,14035
14,36,171,6,3.51,23,13.45,21,12.28,20,11.7,94,54.97,1,0.58,14036
14,37,109,6,5.5,6,5.5,8,7.34,7,6.42,77,70.64,3,2.75,14037
16,21,94,6,6.38,17,18.09,18,19.15,15,15.96,24,25.53,8,8.51,16021
16,32,53,2,3.77,9,16.98,12,22.64,7,13.21,21,39.62,1,1.89,16032
20,4,85,8,9.41,9,10.59,28,32.94,8,9.41,25,29.41,5,5.88,20004
20,8,46,0,0.0,9,19.57,14,30.43,2,4.35,18,39.13,2,4.35,20008
20,15,41,0,0.0,9,21.95,10,24.39,3,7.32,15,36.59,2,4.88,20015
20,21,49,4,8.16,14,28.57,11,22.45,6,12.24,12,24.49,0,0.0,20021
20,43,49,2,4.08,8,16.33,16,32.65,6,12.24,13,26.53,1,2.04,20043
22,1,60,3,5.0,8,13.33,17,28.33,9,15.0,19,31.67,4,6.67,22001
22,2,65,3,4.62,14,21.54,18,27.69,12,18.46,18,27.69,0,0.0,22002
22,3,70,10,14.29,14,20.0,22,31.43,3,4.29,17,24.29,1,1.43,22003
22,4,81,4,4.94,21,25.93,29,35.8,10,12.35,16,19.75,0,0.0,22004
22,5,104,3,2.88,23,22.12,28,26.92,16,15.38,30,28.85,1,0.96,22005
22,6,82,6,7.32,13,15.85,26,31.71,12,14.63,23,28.05,1,1.22,22006
22,8,70,4,5.71,18,25.71,19,27.14,8,11.43,15,21.43,3,4.29,22008
22,9,106,4,3.77,22,20.75,37,34.91,9,8.49,29,27.36,4,3.77,22009
22,10,88,5,5.68,20,22.73,25,28.41,10,11.36,22,25.0,3,3.41,22010
22,11,104,1,0.96,19,18.27,34,32.69,12,11.54,32,30.77,1,0.96,22011
22,12,73,3,4.11,14,19.18,25,34.25,9,12.33,20,27.4,1,1.37,22012
22,13,106,3,2.83,32,30.19,18,16.98,8,7.55,40,37.74,4,3.77,22013
22,14,61,3,4.92,9,14.75,5,8.2,4,6.56,27,44.26,10,16.39,22014
22,15,120,8,6.67,19,15.83,28,23.33,15,12.5,38,31.67,6,5.0,22015
22,16,96,5,5.21,12,12.5,25,26.04,8,8.33,37,38.54,6,6.25,22016
22,17,76,2,2.63,17,22.37,22,28.95,6,7.89,26,34.21,2,2.63,22017
22,18,76,4,5.26,11,14.47,23,30.26,7,9.21,22,28.95,7,9.21,22018
